$1_superfecta.numbers,$1_superfecta.paid,$1_trifecta.numbers,$1_trifecta.paid,$2_exacta.numbers,$2_exacta.paid,1.daily_double.numbers,1.daily_double.paid,1.exacta.numbers,1.exacta.paid,1.first.gate,1.first.name,1.first.place,1.first.show,1.first.win,1.second.gate,1.second.name,1.second.place,1.second.show,1.superfecta.numbers,1.superfecta.paid,1.third.gate,1.third.name,1.third.show,1.trifecta.numbers,1.trifecta.paid,10.daily_double.numbers,10.daily_double.paid,10.exacta.numbers,10.exacta.paid,10.first.gate,10.first.name,10.first.place,10.first.show,10.first.win,10.pick_3.numbers,10.pick_3.paid,10.pick_4.numbers,10.pick_4.paid,10.pick_5.numbers,10.pick_5.paid,10.second.gate,10.second.name,10.second.place,10.second.show,10.superfecta.numbers,10.superfecta.paid,10.third.gate,10.third.name,10.third.show,11.daily_double.numbers,11.daily_double.paid,11.exacta.numbers,11.exacta.paid,11.first.gate,11.first.name,11.first.place,11.first.show,11.first.win,11.pick_3.numbers,11.pick_3.paid,11.pick_4.numbers,11.pick_4.paid,11.pick_5.numbers,11.pick_5.paid,11.second.gate,11.second.name,11.second.place,11.second.show,11.superfecta.numbers,11.superfecta.paid,11.third.gate,11.third.name,11.third.show,11.trifecta.numbers,11.trifecta.paid,2.daily_double.numbers,2.daily_double.paid,2.exacta.numbers,2.exacta.paid,2.first.gate,2.first.name,2.first.place,2.first.show,2.first.win,2.second.gate,2.second.name,2.second.place,2.second.show,2.superfecta.numbers,2.superfecta.paid,2.third.gate,2.third.name,2.third.show,2.trifecta.numbers,2.trifecta.paid,3.daily_double.numbers,3.daily_double.paid,3.exacta.numbers,3.exacta.paid,3.first.gate,3.first.name,3.first.place,3.first.show,3.first.win,3.pick_3.numbers,3.pick_3.paid,3.second.gate,3.second.name,3.second.place,3.second.show,3.superfecta.numbers,3.superfecta.paid,3.third.gate,3.third.name,3.third.show,3.trifecta.numbers,3.trifecta.paid,4.daily_double.numbers,4.daily_double.paid,4.exacta.numbers,4.exacta.paid,4.first.gate,4.first.name,4.first.place,4.first.show,4.first.win,4.pick_3.numbers,4.pick_3.paid,4.pick_4.numbers,4.pick_4.paid,4.second.gate,4.second.name,4.second.place,4.second.show,4.superfecta.numbers,4.superfecta.paid,4.third.gate,4.third.name,4.third.show,4.trifecta.numbers,4.trifecta.paid,5.daily_double.numbers,5.daily_double.paid,5.exacta.numbers,5.exacta.paid,5.first.gate,5.first.name,5.first.place,5.first.show,5.first.win,5.pick_3.numbers,5.pick_3.paid,5.second.gate,5.second.name,5.second.place,5.second.show,5.superfecta.numbers,5.superfecta.paid,5.third.gate,5.third.name,5.third.show,5.trifecta.numbers,5.trifecta.paid,6.daily_double.numbers,6.daily_double.paid,6.exacta.numbers,6.exacta.paid,6.first.gate,6.first.name,6.first.place,6.first.show,6.first.win,6.pick_3.numbers,6.pick_3.paid,6.second.gate,6.second.name,6.second.place,6.second.show,6.superfecta.numbers,6.superfecta.paid,6.third.gate,6.third.name,6.third.show,6.trifecta.numbers,6.trifecta.paid,7.daily_double.numbers,7.daily_double.paid,7.exacta.numbers,7.exacta.paid,7.first.gate,7.first.name,7.first.place,7.first.show,7.first.win,7.pick_3.numbers,7.pick_3.paid,7.pick_4.numbers,7.pick_4.paid,7.second.gate,7.second.name,7.second.place,7.second.show,7.superfecta.numbers,7.superfecta.paid,7.third.gate,7.third.name,7.third.show,7.trifecta.numbers,7.trifecta.paid,8.daily_double.numbers,8.daily_double.paid,8.exacta.numbers,8.exacta.paid,8.first.gate,8.first.name,8.first.place,8.first.show,8.first.win,8.pick_3.numbers,8.pick_3.paid,8.second.gate,8.second.name,8.second.place,8.second.show,8.superfecta.numbers,8.superfecta.paid,8.third.gate,8.third.name,8.third.show,8.trifecta.numbers,8.trifecta.paid,9.daily_double.numbers,9.daily_double.paid,9.exacta.numbers,9.exacta.paid,9.first.gate,9.first.name,9.first.place,9.first.show,9.first.win,9.pick_3.numbers,9.pick_3.paid,9.pick_4.numbers,9.pick_4.paid,9.pick_5.numbers,9.pick_5.paid,9.second.gate,9.second.name,9.second.place,9.second.show,9.superfecta.numbers,9.superfecta.paid,9.third.gate,9.third.name,9.third.show,9.trifecta.numbers,9.trifecta.paid,year
,,,,,,,,1-2,39.4,1,Estrickator,5.0,4.2,12.8,2,The Roofer,3.6,2.8,1-2-4-6,205.8,4,Malibu Double,3.6,1-2-4,110.8,7-2,56.8,2-1,111.0,2,Sam's Bliss,6.8,5.2,12.2,,,,,,,1,Brushed By A Star,10.2,5.8,2-1-3-4,2419.2,3,Garnet Crystals,7.0,2-10,50.2,10-3,65.2,10,Itsnottheright,3.8,3.0,4.8,,,,,,,3,Eldridge,12.4,6.6,10-3-1-12,2245.0,1,Cash And Cookies,6.4,,,1-2,63.0,2-6,33.8,2,Sympathy Act,3.8,2.8,11.0,6,Point,2.6,2.1,2-6-4-1,237.0,4,Superstardom,3.0,,,2-3,30.8,3-1,12.4,3,Beamer,2.6,2.1,4.6,,,1,Godard,2.8,2.6,3-1-4-2,186.0,4,Yaroslav,3.4,,,3-4,24.8,4-8,55.8,4,Tully's Dreamer,4.2,3.4,5.2,,,,,8,Signing Off,6.2,3.8,4-8-11-7,1685.6,11,Aiden's Indy,4.2,,,4-2,22.0,2-5,11.0,2,Tater Downs,2.4,2.4,4.6,,,5,A. P. Eli,2.6,2.2,2-5-1-7,123.6,1,Golden Husker,3.2,,,2-8,29.4,8-1,36.2,8,Valerius,5.0,2.8,12.0,,,1,Lunar Fleet,2.6,2.2,8-1-2-3,406.2,2,Chef Eric,2.6,,,8-5,68.4,5-9,35.8,5,Harmony Hills,4.6,3.0,8.4,,,,,9,Bourbon Kitty,5.4,3.4,5-9-7-4,1443.2,7,Eleven Of Hearts,4.0,,,5-1,98.8,1-11,143.6,1,Saratoga Bound,7.6,5.0,14.0,,,11,Bentley Danielle,9.4,5.8,1-11-5-2,12541.6,5,A Time To Love,9.4,,,1-7,65.2,7-5,35.2,7,Fitz'n To Go,4.6,3.4,8.4,,,,,,,5,Dangerous Lover,3.6,3.0,7-5-10-9,1126.6,10,With Excellence,7.0,,,2012-05-11
,,,,,,,,2-3,9.4,2,Floral Sky,2.6,2.2,4.6,3,Krazy For Kaya,2.4,2.2,,,1,Track That Cat,3.2,2-3-1,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-1,25.4,1-3,38.0,1,Donoharm,4.2,2.6,7.2,3,Scat Chief,7.0,3.6,1-3-6-4,270.0,6,Manly,2.6,,,1-6,25.2,6-5,30.2,6,Shraded Edge,3.6,2.4,6.0,,,5,Silent Pipe,5.0,2.8,6-5-1-4,181.8,1,Pedrolino,2.2,,,6-2,16.2,2-5,11.2,2,Gentle Tap,2.8,2.1,4.8,,,,,5,Good Chemistry,2.8,2.4,2-5-6-4,37.8,6,Ellio,3.2,,,2-2,42.0,2-5,80.0,2,Doctor Doss,7.8,6.0,18.2,,,5,Grand Avenue,6.6,4.4,2-5-4-7,3165.6,4,Grand Idol,12.2,,,2-6,39.8,6-5,39.6,6,Guile,2.4,2.1,3.2,,,5,Fawning,9.2,3.8,6-5-9-10,361.0,9,Savannah's Glory,2.4,,,6-6,24.4,6-2,39.6,6,She's Picky,5.2,3.6,13.8,,,,,2,Doilookfatnthese,3.6,2.6,6-2-4-5,515.4,4,Puddy Tap,3.4,,,6-6,180.6,6-7,85.0,6,Silver Hustler,13.0,6.0,32.4,,,7,Heart Of Destiny,3.6,2.6,6-7-9-5,1503.6,9,M'dearest,3.2,,,6-2,111.0,2-10,55.4,2,Virginia Ann,3.2,2.8,4.6,,,,,,,10,Chinchilla Lady,8.0,6.8,2-10-3-12,9708.8,3,Janice Sue,17.0,,,2012-05-17
,,,,,,,,1-6,7.4,1,Red Ace,2.4,2.1,3.0,6,Shortbread,3.8,2.8,1-6-2-5,71.8,2,Shootdeworx,5.2,1-6-2,40.8,4-3,153.2,3-11,366.8,3,Temeraine,15.0,9.8,32.2,,,,,,,11,Quick Wit,8.8,5.4,3-11-8-2,9281.4,8,Burn The Mortgage,5.0,3-4,114.6,4-1,13.6,4,Burr Jimmy,3.2,2.4,7.2,,,,,,,1,Doc Heath,2.2,2.2,4-1-7-9,229.6,7,Song Of Life,3.0,,,1-4,24.4,4-6,68.8,4,Clear The Clover,7.6,4.2,22.4,6,Flashy American,3.8,2.4,4-6-3-8,1173.6,3,Molly Morgan,2.6,,,4-7,186.6,7-5,61.8,7,Dodie Jo,5.8,3.6,15.4,,,5,Annelle,3.6,2.4,7-5-2-4,731.4,2,Original Kitten,2.8,,,7-9,177.0,9-7,21.8,9,Honor In Peace,3.8,3.0,6.8,,,,,7,Lou Brissie,3.6,2.8,9-7-6-3,451.4,6,Gruenewald,4.6,,,9-1,15.0,1-8,9.8,1,Adena's Chance,2.6,2.4,3.6,,,8,Kitty's Turn,3.4,2.8,1-8-5-6,75.6,5,Kingpost,3.2,,,1-3,10.0,3-9,14.8,3,Good Tickled,2.6,2.2,3.6,,,9,John Gordon,5.8,3.4,3-9-8-2,76.4,8,Positively,2.8,,,3-6,8.6,6-7,44.0,6,Jimmy Simms,2.6,2.2,2.8,,,,,7,Redboard,9.6,4.6,6-7-1-3,945.2,1,Bell By The Ridge,3.2,,,6-6,26.4,6-3,86.8,6,Start The Party,5.8,4.2,12.8,,,3,Silent Score,8.0,5.8,6-3-1-4,641.4,1,Saratoga Red,4.2,,,6-4,60.0,4-2,38.8,4,Zimmer,5.2,3.6,8.0,,,,,,,2,Chilled,6.0,3.6,4-2-3-7,1816.6,3,Slick Pardoned Me,10.4,,,2012-05-18
,,,,,,,,1-4,53.4,1,Crowne Room,2.6,2.2,3.0,4,A J's Fortune,14.0,6.0,1-4-3-7,722.8,3,Nickelwood,4.0,1-4-3,233.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1,7.8,1-5,13.0,1,Wayward Sailor,2.4,2.1,3.6,5,Dogwoods Barto,4.2,2.8,,,2,Danger Storm,3.4,1-5-2,47.6,1-6,12.2,6-5,28.8,6,Golden Frontier,3.4,2.6,5.0,,,5,Le Mans,6.0,3.0,6-5-1-3,164.2,1,Prince Silver,2.2,,,6-1,16.8,1-7,10.0,1,Matty's Avenger,3.0,2.2,5.0,,,,,7,King Archibald,2.8,2.1,1-7-6-4,138.0,6,Kid Flatter,2.8,,,1-5,71.4,5-2,122.2,5,Cape Hatchet,11.2,5.0,23.0,,,2,Uno Mas,6.2,3.6,5-2-6-4,2566.4,6,Pure Rush,4.2,,,5-6,92.8,6-5,16.4,6,Condurre,3.0,2.8,5.8,,,5,Dr Ballenger,4.0,2.8,6-5-3-4,118.0,3,Itsnottheright,3.4,,,6-3,18.0,3-6,22.4,3,Bouquet Booth,3.4,2.8,5.2,,,,,6,Rattlin Gyspy,5.6,3.2,3-6-8-1,498.6,8,Grand Illumination,4.6,,,3-8,147.8,8-6,283.2,8,Walker Bay,17.8,9.6,49.0,,,6,Singn On Themoon,4.8,3.2,8-6-13-4,6658.0,13,Eagle Hall,3.8,,,8-2,857.0,2-1,136.2,2,Saviano,11.2,5.2,29.8,,,,,,,1,Scariff Island,4.6,3.2,2-1-3-9,2304.6,3,Tommy And Buster,3.2,,,2012-05-24
,,,,,,6-1,10.6,1-4,18.4,1,Major Marvel,2.2,2.1,3.0,4,Political Agenda,6.8,4.0,1-4-3-7,158.4,3,Ridge Dance (gb),3.2,,,7-7,246.2,7-6,18.6,7,Jamaican Smoke,3.4,3.0,6.6,,,,,,,6,Refugio,2.8,3.0,7-6-8-4,452.6,8,Royal Start,5.0,7-4,215.6,4-6,682.4,4,Manx,18.6,7.8,43.4,,,,,,,6,Aviation Show,12.0,6.4,4-6-1-10,18939.2,1,Cactus Cognac,5.6,,,4-6,30.4,6-5,78.0,6,Longhammer,4.2,2.4,6.4,5,Killin Time,17.2,6.0,6-5-3-2,836.6,3,Caldo Cat,2.4,,,6-1,10.6,1-4,18.4,1,Major Marvel,2.2,2.1,3.0,,,4,Political Agenda,6.8,4.0,1-4-3-7,158.4,3,Ridge Dance (gb),3.2,,,1-4,6.2,4-6,15.8,4,Special Jo,2.8,2.2,3.4,,,,,6,Gunderman,6.8,3.8,4-6-7-2,326.0,7,Southern Blast,3.0,,,4-6,29.4,6-3,63.4,6,Noyoucan't,7.0,4.4,15.4,,,3,Got It Together,5.0,4.2,6-3-1-4,452.6,1,Karma's Comin,4.4,,,6-6,115.4,6-8,166.2,6,Pagosa Peak,13.2,7.2,31.4,,,8,Mad Aftershock,10.4,5.6,6-8-4-5,1157.2,4,Why I Am,3.6,,,6-6,87.2,6-5,15.4,6,Jungle Juice,3.0,2.4,4.6,,,,,5,Virginia Ann,4.2,3.0,6-5-4-2,266.2,4,Monono,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3-7,280.8,7-5,92.0,7,Chief's Revenge,15.0,6.8,57.6,,,,,,,5,Vasten,2.6,2.2,7-5-1-6,3895.8,1,Captain Genius,4.4,,,2012-05-25
,,,,,,,,4-3,61.6,4,Awesome's Eleven,5.4,2.4,11.4,3,Savage Vow,7.2,3.0,4-3-6-5,354.8,6,Stinking Creek,2.1,4-3-6,166.4,3-7,38.6,7-5,53.2,7,Simmard,4.4,2.6,9.4,,,,,,,5,Joinem,5.0,2.6,7-5-2-4,394.4,2,Tahoe Lake (brz),2.4,7-11,65.6,11-9,561.2,11,Signing Off,8.2,4.4,17.8,,,,,,,9,Call To Taps,41.6,12.6,11-9-4-7,6722.0,4,Hava Dream,2.6,,,4-1,23.0,1-4,4.8,1,Cheery,2.1,2.1,2.6,4,Ticket To Broadway,2.8,2.2,1-4-2-5,119.0,2,Any Given Moment,5.2,,,1-5,4.0,5-4,3.2,5,Ice Cream Silence,,,2.6,4-1-5,32.4,4,Livi Makenzie,,,,,1,Scat Baby,,,,5-5,6.2,5-4,19.8,4,Matar,4.6,2.6,,,,,,8,Double Rah Rah,,2.2,5-4-8-6,150.8,6,Show Me The Way,,,,5-4,28.0,4-3,31.6,4,Five Star David,4.4,3.2,10.2,,,3,Coffee Boy,3.0,2.4,4-3-5-1,131.8,5,Grand Traverse,2.4,,,4-1,163.4,1-6,71.0,1,Whispering Wisdom,8.4,5.4,34.6,,,6,Dark Nebula,2.4,2.1,1-6-2-3,1503.4,2,Magic Hour,3.6,,,1-2,131.0,2-7,20.8,2,A Time To Love,3.2,2.6,6.6,,,,,7,Wish Keeper,3.6,2.8,2-7-1-6,824.8,1,Red Vixen,6.6,,,2-6,14.8,6-7,11.2,6,Sweet Jody,3.2,2.4,4.8,,,7,Voodoo's Vision,3.4,2.6,6-7-2-8,253.2,2,Tip Along,3.0,,,6-3,23.8,3-6,36.6,3,Force De La Nature,3.4,2.4,5.8,,,,,,,6,Holiday Soiree,5.4,2.6,3-6-7-1,211.2,7,Lobshot,2.2,,,2012-05-26
,,,,,,,,6-5,370.2,6,Echoes Resounding,24.8,9.4,72.0,5,Alberta's Book,8.0,4.4,6-5-2-1,3962.8,2,Checkitoff,2.6,6-5-2,1900.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-7,308.8,7-2,17.6,7,Dancin' Lil,2.8,2.2,5.4,2,Time Thief,3.0,2.4,7-2-6-5,119.6,6,Diamond D'oro,3.0,,,7-7,19.2,7-5,20.8,7,Tank's Letter,3.2,2.8,6.4,,,5,Cabe,3.8,3.4,7-5-4-3,121.8,4,Lumpy's Ace,3.0,,,7-3,14.4,3-4,9.8,3,Burban,2.8,2.1,3.6,,,,,4,Young And Lovely,3.4,2.6,,,6,Accessorize,3.2,3-4-6,53.8,3-5,19.6,5-3,33.6,5,Scat Chief,3.8,3.0,7.2,,,3,Hurricane Elvis,5.2,3.4,5-3-2-1,425.0,2,Double Crossing (ire),2.6,,,5-2,9.2,2-6,13.6,2,Regal Nurse,2.1,,2.4,,,6,True,5.6,,,,3,Lady Durlyn,,2-6-3,47.6,2-1,11.6,1-3,21.8,1,Guys Reward,3.2,2.1,5.2,,,,,3,A Diehl,5.2,3.0,1-3-5-6,114.6,5,Strike Impact,2.2,,,1-5,10.4,5-4,16.0,5,Stealcase,2.4,2.2,3.2,,,4,Morgan's Guerrilla,2.8,2.6,5-4-8-2,176.6,8,Seven Lively Sins,4.4,,,5-6,19.6,6-4,32.8,6,Blueeyesintherein,4.2,3.0,6.6,,,,,,,4,Shesakitty,6.4,4.8,6-4-5-7,5802.8,5,Alluring Lady,10.4,,,2012-05-31
,,,,,,,,5-6,21.8,5,Little Feat,3.2,2.2,6.0,6,U Hush,4.0,2.4,5-6-7-3,200.8,7,Canyon Drive,2.2,5-6-7,34.4,9-2,235.6,2-5,382.6,2,Goodtimehadbyall,13.8,4.6,31.2,,,,,,,5,Philippe,11.6,5.6,2-5-1-7,4287.2,1,Shrill,2.6,2-7,161.2,7-3,30.6,7,Miss Femme Fatale,3.4,3.0,7.6,,,,,,,3,Sweet On Kitten,3.8,3.0,7-3-2-5,822.4,2,Janice Sue,4.8,,,5-5,30.0,5-2,56.2,5,Night Vision,4.2,3.2,9.6,2,Tiban,4.4,3.4,5-2-6-3,578.4,6,Lou Brissie,4.0,,,5-5,45.4,5-6,19.8,5,Vivi's Party Girl,3.6,3.2,8.6,,,6,Miz Wounded Knee,2.6,2.2,5-6-8-2,431.4,8,Centripetal Force,5.6,,,5-1,22.4,1-4,9.6,1,Burr Jimmy,2.6,2.4,4.4,,,,,4,Dover Beach,2.2,2.2,1-4-2-5,184.2,2,Ritual,3.6,,,1-8,68.8,8-6,75.6,8,Malibu High,7.6,4.2,21.8,,,6,Stage Street,3.6,3.0,8-6-5-2,839.2,5,Let's Have Us One,4.2,,,8-9,140.8,9-4,244.6,9,Southern Velvet,12.6,8.4,42.2,,,4,Kiss And A Peck,4.4,3.2,9-4-7-3,2711.8,7,Savannah's Glory,3.4,,,9-2,222.4,2-9,36.6,2,Valerius,4.0,2.6,5.2,,,,,9,D' Wildcard,6.0,3.2,2-9-7-1,399.4,7,Silent Pipe,3.6,,,2-7,71.6,7-1,183.6,7,Discussion Closed,8.4,6.4,19.4,,,1,Doc Heath,7.6,4.6,7-1-8-3,6435.8,8,Afleet Triumph,3.8,,,7-9,178.4,9-8,105.0,9,Channeling,8.0,4.4,20.0,,,,,,,8,Tater Downs,5.0,4.2,9-8-7-5,1902.8,7,Adena's Chance,4.4,,,2012-06-01
,,,,,,,,5-1,151.6,5,Mikes Dixie Dancer,13.2,9.0,35.4,1,Song Ahead,3.6,3.2,5-1-3-2,6275.2,3,Cousteau,4.6,5-1-3,845.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-5,126.2,5-6,25.0,5,My Irish Girl,4.2,2.8,7.8,6,My Lost Silver,4.0,3.0,5-6-3-4,167.6,3,Parade Of Homes,2.4,,,5-3,66.6,3-1,51.4,3,Paoli,5.2,3.0,15.2,,,1,Original Kitten,2.6,2.2,3-1-5-4,485.2,5,Made Up,2.4,,,3-3,257.6,3-2,172.0,3,Four Point,13.6,5.6,36.6,,,,,2,Jill Golden,5.2,3.2,3-2-7-8,1522.4,7,Candy Store Kid,3.4,,,3-6,68.0,6-3,13.2,6,Wildcat Nation,2.4,2.1,3.0,,,3,Singingmyhymnsong,4.0,3.4,6-3-5-8,320.2,5,Hedge Your Risk,4.4,,,6-1,34.4,1-7,165.2,1,My Daughter's Song,5.8,3.4,12.2,,,7,Born To Jazz,15.8,5.6,1-7-4-6,2615.8,4,Dixie Devon,3.2,,,1-7,93.4,7-3,64.6,7,Fleur De Lilly,5.8,3.8,11.8,,,,,3,Frances Gardner,4.0,3.0,7-3-6-1,1141.4,6,Loaded Lady,3.0,,,7-4,23.2,4-7,8.8,4,Uptown Bertie,2.1,2.1,3.2,,,7,Tapit Dancer,3.0,2.2,4-7-5-1,52.6,5,Malibu Holiday,2.4,,,4-5,6.6,5-4,14.0,5,Storm In Your Eyes,2.8,2.4,3.8,,,,,,,4,Gruenewald,4.2,2.4,5-4-1-9,112.0,1,Seguro,2.6,,,2012-06-07
,,,,,,,,2-5,131.2,2,Tapanna,3.4,2.2,3.8,5,Ridge City,31.2,6.8,2-5-3-4,1382.2,3,Timely Pursuit,2.4,2-5-3,350.0,6-2,39.2,2-7,34.4,2,Cozze Up Lady,5.0,3.6,14.4,,,,,,,7,Kitty Wine,2.8,2.6,2-7-1-3,1973.4,1,Volcat,6.4,2-5,47.0,5-7,12.6,5,Honor In Peace,3.0,2.6,6.0,,,,,,,7,Captain My Captain,2.8,2.6,5-7-3-4,889.0,3,Bahim,6.0,,,2-6,53.6,6-2,53.8,6,Wildcat Angie,7.6,3.8,31.6,2,Ocean Park,2.4,2.1,,,1,Pine Ridge,4.4,6-2-1,250.4,6-2,189.4,2-6,22.6,2,Victory Notion,3.0,2.8,7.8,,,6,Por Que,2.6,2.1,2-6-1-5,164.4,,Instill,2.8,,,2-6,163.2,6-4,58.6,6,He's So Proud,6.8,4.0,28.4,,,,,4,Isthmus,2.4,2.1,6-4-1-3,629.2,,Just A Coincidence,2.8,,,6-5,66.0,5-1,4.2,5,Five Afleet,,,3.4,2-6-5,547.8,1,Wilsons Storm,,,,,3,Luckie Chuckie,,,,5-4,31.0,4-2,23.2,4,Positively,3.2,2.6,9.8,,,2,John Gordon,2.4,2.2,4-2-3-6,805.0,3,Hightail,5.0,,,4-3,116.6,3-2,41.0,3,Nisteltoe,8.0,3.6,31.2,,,,,2,Troika,2.8,2.1,3-2-8-5,538.2,8,Mycitytip,2.1,,,3-3,84.0,3-4,22.4,3,Jungle Juice,3.0,2.2,5.4,,,4,Standing By,4.0,3.0,3-4-7-2,321.0,7,Courtly Flyer,3.4,,,3-6,20.2,6-7,19.6,6,Shortbread,3.0,2.4,4.8,,,,,,,7,Firetack,4.4,3.0,6-7-2-3,481.4,2,Slinger,4.2,,,2012-06-08
,,,,,,,,7-5,24.4,7,Saint Aggie,2.8,2.1,5.0,5,Love Numbers,4.4,3.2,7-5-2-3,217.2,2,Privatemarketvalue,2.6,7-5-2,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-5,9.2,5-7,8.6,5,Point,2.2,2.1,2.8,7,Just Like Juliet,3.4,2.4,,,1,Yanbian Express,2.4,5-7-1,18.8,5-2,32.4,2-1,32.0,2,Jane's Heir,4.2,3.4,15.6,,,1,Justcallmemoni,2.4,2.2,2-1-4-5,442.0,4,Play,4.0,,,2-7,57.8,7-1,58.0,7,I. M. Boomer,4.6,2.8,7.8,,,,,1,Hammers Bullet,5.8,3.4,7-1-5-2,377.6,5,Little Feat,2.1,,,7-4,44.2,4-9,41.0,4,Mckayla's Wish,4.6,2.4,9.4,,,9,Dr. Jajo,5.6,2.6,,,7,Governor's Badge,2.1,,,4-6,66.0,6-1,46.2,6,Tiban,4.6,,10.8,,,1,Plasma Beam,3.6,,,,10,Outta Tune,,6-1-10,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-9,28.0,9-11,25.2,9,High Stakes,2.8,2.4,4.4,,,,,,,11,Pandering,5.0,4.2,9-11-6-5,1447.6,6,Monashee Vision,4.8,,,2012-06-14
,,,,,,,,3-1,14.6,3,Unknown Gem,2.8,2.2,3.2,,Ready Set Whoa,3.4,2.6,3-1-6-2,102.0,6,Sunshine Warrior,3.0,3-1-6,56.2,8-7,101.0,7-4,16.0,7,Hot Roots,3.8,2.4,8.4,,,,,,,4,Refugio,2.4,2.1,7-4-2-3,102.2,2,Lobshot,2.2,7-7,33.2,7-8,31.8,7,Pish Posh,3.4,3.0,7.0,,,,,,,8,Model's Memo,4.0,3.4,7-8-6-1,2695.4,6,Embellished Gold,5.0,,,3-2,11.8,2-3,27.8,2,Gorgeous Melody,3.0,2.2,4.0,3,True,5.4,3.2,2-3-4-1,126.2,4,Afleet Lexi,2.4,,,2-2,6.4,2-1,7.6,2,Homerun Berti,2.4,2.1,2.4,,,1,City Cool,4.8,3.0,2-1-7-5,157.2,7,Jasizzle,4.0,,,2-7,13.6,7-6,12.6,7,Harper County,3.0,2.6,9.0,,,,,6,Barefoot Bandit,2.2,2.1,7-6-4-3,295.8,4,Discussion Closed,5.4,,,7-3,22.0,3-5,17.2,3,Voodoo's Vision,2.6,2.1,3.8,,,5,Miss Ziggy,3.4,2.4,3-5-4-1,73.4,4,This Time,2.6,,,3-8,14.0,8-9,39.0,8,Rip Roarin Ritchie,3.8,2.8,5.4,,,9,Harper Rae,9.6,7.0,8-9-6-1,7165.4,6,Anyriderill Do,15.0,,,8-6,46.2,6-7,45.2,6,Juliet's Promise,4.8,2.8,8.0,,,,,7,Venus De Milo,5.2,2.6,6-7-8-1,245.6,8,Diamond D'oro,2.1,,,6-8,18.4,8-4,31.4,8,Trupeg,3.0,2.8,4.4,,,4,Monono,6.8,4.4,8-4-7-5,1482.0,7,Clontarf,3.2,,,8-8,41.2,8-3,77.0,8,Slander,7.2,4.6,19.8,,,,,,,3,Newstouse,3.6,3.0,8-3-9-7,1362.0,9,Winter's Child,9.0,,,2012-06-15
,,,,,,,,6-2,12.4,6,Angel Socks,2.8,2.1,4.4,2,Miz Wounded Knee,2.8,2.2,6-2-4-5,128.6,4,Tricolette,2.4,6-2-4,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-1,10.0,1-2,21.4,1,Molly Morgan,3.0,2.1,3.8,2,Come Acorkin,6.8,2.4,,,4,Raquel,2.1,1-2-4,34.6,1-1,31.2,1-5,147.6,1,All By Chance,6.8,3.2,10.8,6-1-1,101.2,5,Lilleandra,14.2,4.6,,,4,Miss Femme Fatale,2.6,,,1-3,63.6,,,3,Certain Swagger,4.8,3.4,9.0,1-1-3,108.6,6-1/6-1-3,381.4,1,Winds Of Dubai,5.6,4.6,,,6,Laugh It Off,7.0,,,3-8,20.0,8-3,8.0,8,May One,2.4,2.2,3.8,1-3-8,137.0,3,Suz Slew,2.6,2.2,,,5,Echoes Resounding,3.4,,,8-7,22.2,7-1,98.4,7,Galaxy Maker,4.8,2.8,6.6,3-8-7,78.2,1,Sully's Landing,8.0,4.6,,,3,It's A Signer,2.4,,,7-6,48.6,6-9,296.0,6,Scammony,6.2,5.4,13.0,8-7-6,138.6,,,9,Franks Officer Gal,25.4,11.4,,,10,Cora Mesa,10.8,,,6-2,42.0,2-10,19.8,2,Quick Wit,3.0,2.6,4.8,7-6-2,124.8,10,Chalice,4.2,3.0,,,7,Sark,6.4,,,,,,,10,Cash And Cookies,9.4,5.8,20.0,6-2-10,423.0,7-6-2/11/12/13/14/15-10,3665.8,1/2/8-7-6-2/11/12/13/14/15-10,1683.25,4,The Steel Warrior,4.8,3.6,,,3,Flashaholic,5.8,,,2012-06-21
