Age,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Date,Discount Rate,Gender,Name,Number of Adult Slaves,Number of Child Slaves,Number of Total Slaves Purchased,Payment Method,Predicted Interest Rate,Price,Prices Listed,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Skin Color
22.0,New Orleans,William Jackson Maynard,"New Orleans, LA",LA,8/26/1857,0.00602698,M,Francois,1,0,1,Cash,0.07477,900.0,1,New Orleans,Olivier  Blineau,"New Orleans, LA",LA,Griff
21.0,New Orleans,Louis D. DeBlanc,"New Orleans, LA",LA,8/19/1857,0.00602698,F,Sophy,1,1,2,Cash,0.07477,1000.0,1,New Orleans ,James Foley,"New Orleans , LA",LA,Negro
18.0,New Orleans,Catherine Rittier,"New Orleans, LA",LA,8/18/1857,0.00602698,M,George Washington Thomas,1,0,1,Cash,0.07477,1130.0,1,New Orleans ,David Resolve Godwin,"New Orleans , LA",LA,Negro
26.0,New Orleans,James Forsythee,"New Orleans, LA",LA,8/25/1857,0.00602698,F,Kesiah,1,0,1,Cash,0.07477,1200.0,1,New Orleans ,Peter Williams,"New Orleans , LA",LA,Negro
42.0,New Orleans,Martha Brown,"New Orleans, LA",LA,8/22/1857,0.00602698,F,Betsey,1,0,1,Cash,0.07477,250.0,1,New Orleans ,John Clark Norcross,"New Orleans , LA",LA,Negro
10.0,New Orleans,Francois Roueche,"New Orleans, LA",LA,8/31/1857,0.00602698,M,Jordan,1,0,1,Cash,0.07477,550.0,1,New Orleans ,Hubert Meugens,"New Orleans , LA",LA,Negro
41.0,New Orleans,Charles Leonard Hardie,"New Orleans, LA",LA,9/1/1857,0.00602698,F,Henriette,1,0,1,Cash,0.07477,325.0,1,New Orleans ,Marie Uranie Bayon,"New Orleans , LA",LA,Negro
38.0,Unknown,Jotham Potter,"Unknown, Unknown",Unknown,9/11/1857,0.00602698,F,Magdeline,1,0,1,Cash,0.07477,110.0,1,Unknown,Ephraim M. Young,"Unknown, Unknown",Unknown,Negro
33.0,New Orleans,Oscar Liveaudais,"New Orleans, LA",LA,10/3/1857,0.00602698,M,Ben,1,0,1,Cash,0.07477,1000.0,1,New Orleans ,Newton W. Allen,"New Orleans , LA",LA,Negro
25.0,New Orleans,William Sherry,"New Orleans, LA",LA,10/5/1857,0.00602698,M,Edward,1,0,1,Cash,0.07477,1500.0,1,New Orleans,George  Purves,"New Orleans, LA",LA,Mulatto
24.0,New Orleans,Maria Rosenda,"New Orleans, LA",LA,10/16/1857,0.00602698,F,Martha,1,0,1,Cash,0.07477,725.0,1,New Orleans,William McIlroy,"New Orleans, LA",LA,Negro
32.0,New Orleans,Numa Honore Larose Miniard,"New Orleans, LA",LA,10/19/1857,0.005790818,M,Richard Shepperd,1,0,1,Cash and Credit,0.07174632,1100.0,1,New Orleans,Joseph Aristide Baquie,"New Orleans, LA",LA,Negro
10.0,New Orleans,Gustave Phillippe Marigny,"New Orleans, LA",LA,10/19/1857,0.00602698,M,Job,2,0,2,Cash,0.07477,950.0,1,St. Bernard ,Hilaire Chalaire,"St. Bernard , LA",LA,Negro
23.0,New Orleans,John Caldwell Jr.,"New Orleans, LA",LA,10/9/1857,0.005732077,F,Isabella,1,0,1,Cash and Credit,0.07099544,1200.0,1,New Orleans,Genevieve Odile Longer,"New Orleans, LA",LA,Mulatto
23.0,New Orleans,Philadelphia Stuart,"New Orleans, LA",LA,10/9/1857,0.00602698,F,Isabella,1,0,1,Cash,0.07477,1200.0,1,New Orleans,John Caldwell Jr.,"New Orleans, LA",LA,Mulatto
30.0,New Orleans,Diego Eugene Norphy,"New Orleans, LA",LA,10/20/1857,0.00602698,F,Peggy/ Margaret,1,1,2,Cash,0.07477,1300.0,1,New Orleans,"William, Euphamie Grivot","New Orleans, LA",LA,Black
60.0,New Orleans,Estelle Grivot,"New Orleans, LA",LA,10/20/1857,0.00602698,F,Henny,1,0,1,Cash,0.07477,135.0,1,New Orleans,"William, Euphamie Grivot","New Orleans, LA",LA,Black
24.0,Jefferson,Paul Mouchon,"Jefferson, LA",LA,10/22/1857,0.00602698,F,Catherine/ Kate,1,0,1,Cash,0.07477,950.0,1,New Orleans,Clara Vignier,"New Orleans, LA",LA,Negro
22.0,New Orleans,Catherine Ellen Brown,"New Orleans, LA",LA,10/23/1857,0.00602698,M,Joseph,1,0,1,Cash,0.07477,1200.0,1,Pointe Coupee,John Joseph Moniotte,"Pointe Coupee, LA",LA,Negro
45.0,New Orleans,Eulalie Moro,"New Orleans, LA",LA,10/22/1857,0.00602698,F,Felicite,1,0,1,Cash,0.07477,600.0,1,St. James ,Louis Eyma,"St. James , LA",LA,Negro
51.0,New Orleans,Elmira Cosner,"New Orleans, LA",LA,08/01/1857,0.00602698,M,George,2,2,4,Cash,0.07477,1600.0,1,Corpus Christi,M. P. Norton,"Corpus Christi, TX",TX,Negro
18.0,New Orleans,Anne Henrietta Roussel,"New Orleans, LA",LA,10/20/1857,0.005746766,F,Susette,1,0,1,Cash and Credit,0.07118316,1300.0,1,New Orleans,Marie Euphrosie Gaiennie,"New Orleans, LA",LA,Negro
17.0,New Orleans,John H. Ermon,"New Orleans, LA",LA,10/23/1857,0.00602698,M,Marshall,1,0,1,Cash,0.07477,400.0,1,Mobile,William D. Stone,"Mobile, AL",AL,Negro
30.0,New Orleans,Virginia Caldwell,"New Orleans, LA",LA,10/22/1857,0.00602698,M,Bill,1,0,1,Donation,0.07477,0.0,1,New Orleans,Mary Elizabeth Waters,"New Orleans, LA",LA,Mulatto
13.0,New Orleans,Sarah Cecilia Rigney,"New Orleans, LA",LA,10/26/1857,0.00602698,F,Elizabeth,1,0,1,Cash,0.07477,1000.0,1,Richmond,Jeremiah Smith,"Richmond, VA",VA,Negro
24.0,New Orleans,Julien M. Isaacks,"New Orleans, LA",LA,10/26/1857,0.00602698,F,Emma,1,0,1,Cash,0.07477,900.0,1,New Orleans,Julia Stammer,"New Orleans, LA",LA,Mulatto
20.0,Lawrence,Patrick  Evers,"Lawrence, MS",MS,10/26/1857,0.00602698,F,Martha,1,0,1,Exchange,0.07477,0.0,1,New Orleans,Isaac Bloom,"New Orleans, LA",LA,Negro
22.0,New Orleans,Isaac Bloom,"New Orleans, LA",LA,10/26/1857,0.00602698,M,Tyler,1,0,1,Exchange,0.07477,0.0,1,Lawrence,Patrick  Evers,"Lawrence, MS",MS,Negro
26.0,New Orleans,Antoine Bellegarde Casimir Lacoste,"New Orleans, LA",LA,10/24/1857,0.005790818,M,Peter,1,0,1,Cash and Credit,0.07174632,1200.0,1,Orleans,Pierre Lacoste,"Orleans, LA",LA,Negro
24.0,New Orleans,David H. Fowler,"New Orleans, LA",LA,10/26/1857,0.006129422,M,Tom,1,0,1,Credit,0.07608404,1575.0,1,New Orleans,Bernard Kendig,"New Orleans, LA",LA,Negro
23.0,New Orleans,Jean Baptitse Glaudin,"New Orleans, LA",LA,10/28/1857,0.00602698,M,Joe Center,1,0,1,Cash,0.07477,1100.0,1,New Orleans,John Davidson,"New Orleans, LA",LA,Negro
