Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
238.3,251.6,244.9,Alabama,5572,233.7,246.3,239.9,Mortality,2322488,All Races,Male,2011
206.5,215.1,210.8,Alabama,9506,210.3,218.9,214.6,Mortality,4430141,All Races,Male and Female,1999
426.2,438.3,432.2,Alabama,19823,439.1,451.5,445.2,Incidence,4452173,All Races,Male and Female,2000
210.4,219.0,214.7,Alabama,9807,215.9,224.7,220.3,Mortality,4452173,All Races,Male and Female,2000
447.7,460.0,453.9,Alabama,21050,464.8,477.6,471.2,Incidence,4467634,All Races,Male and Female,2001
208.6,217.0,212.8,Alabama,9801,215.1,223.8,219.4,Mortality,4467634,All Races,Male and Female,2001
449.3,461.6,455.4,Alabama,21383,470.9,483.7,477.3,Incidence,4480089,All Races,Male and Female,2002
204.3,212.6,208.4,Alabama,9698,212.2,220.8,216.5,Mortality,4480089,All Races,Male and Female,2002
431.0,443.0,437.0,Alabama,20788,455.3,467.9,461.6,Incidence,4503491,All Races,Male and Female,2003
204.1,212.4,208.3,Alabama,9812,213.6,222.2,217.9,Mortality,4503491,All Races,Male and Female,2003
454.0,466.1,460.0,Alabama,22221,484.0,496.9,490.5,Incidence,4530729,All Races,Male and Female,2004
200.5,208.7,204.6,Alabama,9756,211.1,219.6,215.3,Mortality,4530729,All Races,Male and Female,2004
455.2,467.3,461.2,Alabama,22643,489.5,502.4,495.9,Incidence,4565917,All Races,Male and Female,2005
200.7,208.8,204.7,Alabama,9913,212.9,221.4,217.1,Mortality,4565917,All Races,Male and Female,2005
457.9,469.9,463.9,Alabama,23310,497.1,510.1,503.6,Incidence,4628981,All Races,Male and Female,2006
195.8,203.8,199.8,Alabama,9899,209.7,218.1,213.8,Mortality,4628981,All Races,Male and Female,2006
466.3,478.3,472.3,Alabama,24156,510.4,523.5,516.9,Incidence,4672840,All Races,Male and Female,2007
194.6,202.5,198.5,Alabama,10025,210.4,218.8,214.5,Mortality,4672840,All Races,Male and Female,2007
465.9,471.2,468.5,Alabama,124415,521.2,527.1,524.1,Incidence,23737435,All Races,Male and Female,2009
194.7,198.2,196.4,Alabama,50591,212.8,216.6,214.7,Mortality,23563366,All Races,Male and Female,2009
477.8,489.8,483.8,Alabama,25254,528.7,541.9,535.2,Incidence,4718206,All Races,Male and Female,2008
193.4,201.2,197.3,Alabama,10182,211.6,220.0,215.8,Mortality,4718206,All Races,Male and Female,2008
469.1,481.0,475.0,Alabama,25189,522.9,536.0,529.4,Incidence,4757938,All Races,Male and Female,2009
192.5,200.1,196.3,Alabama,10289,212.1,220.5,216.2,Mortality,4757938,All Races,Male and Female,2009
456.5,468.1,462.3,Alabama,25048,517.0,530.0,523.5,Incidence,4784762,All Races,Male and Female,2010
187.0,194.5,190.7,Alabama,10196,208.9,217.2,213.1,Mortality,4785401,All Races,Male and Female,2010
444.6,456.0,450.3,Alabama,24768,509.2,522.1,515.6,Incidence,4803689,All Races,Male and Female,2011
