Black or African American.Employment-Population Ratio.All,Black or African American.Employment-Population Ratio.Men,Black or African American.Employment-Population Ratio.Women,Black or African American.Participation Rate.All,Black or African American.Participation Rate.Men,Black or African American.Participation Rate.Women,Black or African American.Unemployment Rate.All,Black or African American.Unemployment Rate.Men,Black or African American.Unemployment Rate.Women,Civilian Labor Force.Asian.Counts,Civilian Labor Force.Black or African American.Counts.All,Civilian Labor Force.Black or African American.Counts.Men,Civilian Labor Force.Black or African American.Counts.Women,Civilian Labor Force.White.Counts.All,Civilian Labor Force.White.Counts.Men,Civilian Labor Force.White.Counts.Women,Civilian Noninstitutional Population.Asian,Civilian Noninstitutional Population.Black or African American,Civilian Noninstitutional Population.White,Employed.Asian.Counts,Employed.Asian.Unemployment Rate,Employed.Black or African American.Counts.All,Employed.Black or African American.Counts.Men,Employed.Black or African American.Counts.Women,Employed.White.Counts.All,Employed.White.Counts.Men,Employed.White.Counts.Women,Month,Month Name,Not In Labor Force.Asian,Not In Labor Force.Black or African American,Not In Labor Force.White,Participation Rate,Unemployed.Asian.Counts,Unemployed.Asian.Unemployment Rate,Unemployed.Black or African American.Counts.All,Unemployed.Black or African American.Counts.Men,Unemployed.Black or African American.Counts.Women,Unemployed.White.Counts.All,Unemployed.White.Counts.Men,Unemployed.White.Counts.Women,White.Employment-Population Ratio.All,White.Employment-Population Ratio.Men,White.Employment-Population Ratio.Women,White.Participation Rate.All,White.Participation Rate.Men,White.Participation Rate.Women,White.Unemployment Rate.All,White.Unemployment Rate.Men,White.Unemployment Rate.Women,Year
54.7,61.1,55.4,61.4,68.4,61.2,10.8,10.7,9.6,8718.0,18982.0,8750.0,9571.0,123165.0,64438.0,54442.0,13788.0,30932.0,195777.0,8339.0,4.3,16929.0,7816.0,8655.0,117130.0,61792.0,51838.0,9,September,5070.0,11950.0,72611.0,63.2,379.0,4.3,2052.0,934.0,916.0,6035.0,2646.0,2604.0,59.8,69.2,55.1,62.9,72.1,57.9,4.9,4.1,4.8,2014
55.2,61.0,56.0,61.8,67.9,61.9,10.7,10.1,9.6,8729.0,19124.0,8701.0,9693.0,123610.0,64445.0,54698.0,13782.0,30969.0,195896.0,8295.0,5.0,17086.0,7821.0,8758.0,117901.0,61906.0,52250.0,10,October,5054.0,11846.0,72286.0,63.3,433.0,5.0,2038.0,880.0,935.0,5709.0,2539.0,2449.0,60.2,69.2,55.5,63.1,72.1,58.1,4.6,3.9,4.5,2014
54.9,60.0,56.2,61.4,66.9,62.0,10.6,10.4,9.5,8749.0,19037.0,8597.0,9723.0,123438.0,64440.0,54730.0,13927.0,31005.0,195995.0,8333.0,4.8,17019.0,7700.0,8801.0,117724.0,61640.0,52435.0,11,November,5178.0,11968.0,72558.0,62.8,416.0,4.8,2017.0,897.0,922.0,5713.0,2800.0,2295.0,60.1,68.9,55.7,63.0,72.0,58.1,4.6,4.3,4.2,2014
54.8,60.2,56.1,61.0,67.6,60.9,10.2,11.0,8.0,8796.0,18933.0,8698.0,9561.0,122650.0,64262.0,54207.0,13886.0,31040.0,196091.0,8424.0,4.2,17009.0,7741.0,8800.0,117068.0,61410.0,51992.0,12,December,5090.0,12107.0,73441.0,63.3,372.0,4.2,1924.0,957.0,761.0,5582.0,2852.0,2216.0,59.7,68.6,55.2,62.5,71.8,57.5,4.6,4.4,4.1,2014
54.1,59.2,55.8,60.6,66.8,61.2,10.7,11.4,8.8,8895.0,18895.0,8633.0,9638.0,123199.0,64377.0,54635.0,14253.0,31188.0,196307.0,8530.0,4.1,16877.0,7652.0,8792.0,116637.0,61016.0,52140.0,1,January,5359.0,12293.0,73109.0,62.4,365.0,4.1,2018.0,981.0,847.0,6562.0,3361.0,2495.0,59.4,68.1,55.2,62.8,71.9,57.9,5.3,5.2,4.6,2015
54.4,59.4,55.9,60.7,66.6,61.2,10.4,10.9,8.7,9042.0,18941.0,8628.0,9656.0,123224.0,64559.0,54499.0,14291.0,31222.0,196392.0,8672.0,4.1,16975.0,7685.0,8820.0,116944.0,61228.0,52186.0,2,February,5249.0,12281.0,73169.0,63.3,369.0,4.1,1966.0,943.0,835.0,6279.0,3330.0,2312.0,59.5,68.3,55.3,62.7,72.0,57.7,5.1,5.2,4.2,2015
54.8,60.2,56.0,60.8,67.2,61.5,10.0,10.4,8.9,8967.0,19020.0,8714.0,9714.0,123196.0,64674.0,54239.0,14296.0,31257.0,196482.0,8685.0,3.1,17117.0,7810.0,8853.0,117178.0,61538.0,52027.0,3,March,5329.0,12237.0,73286.0,62.7,282.0,3.1,1902.0,904.0,862.0,6018.0,3136.0,2212.0,59.6,68.6,55.1,62.7,72.1,57.4,4.9,4.8,4.1,2015
56.4,62.3,57.3,61.9,68.3,62.4,8.9,8.7,8.1,9023.0,19380.0,8868.0,9868.0,123089.0,64613.0,54238.0,14290.0,31293.0,196574.0,8644.0,4.2,17648.0,8095.0,9067.0,117642.0,61870.0,52115.0,4,April,5267.0,11913.0,73484.0,63.1,379.0,4.2,1731.0,773.0,801.0,5448.0,2744.0,2123.0,59.8,69.0,55.1,62.6,72.0,57.4,4.4,4.2,3.9,2015
55.8,61.5,56.8,62.1,68.7,61.9,10.0,10.5,8.2,9157.0,19443.0,8927.0,9798.0,124087.0,64942.0,54619.0,14403.0,31326.0,196673.0,8804.0,3.9,17489.0,7994.0,8990.0,118457.0,62297.0,52347.0,5,May,5246.0,11883.0,72586.0,63.6,353.0,3.9,1953.0,933.0,808.0,5630.0,2645.0,2271.0,60.2,69.4,55.3,63.1,72.3,57.7,4.5,4.1,4.2,2015
56.2,61.9,57.1,62.3,68.1,62.0,9.8,9.2,7.9,9128.0,19541.0,8870.0,9829.0,124526.0,65013.0,54162.0,14430.0,31362.0,196786.0,8754.0,4.1,17630.0,8058.0,9054.0,118598.0,62419.0,51801.0,6,June,5303.0,11821.0,72260.0,63.3,374.0,4.1,1911.0,812.0,775.0,5928.0,2594.0,2361.0,60.3,69.5,54.7,63.3,72.4,57.2,4.8,4.0,4.4,2015
56.2,61.5,56.8,62.2,67.4,62.2,9.7,8.7,8.6,9181.0,19537.0,8791.0,9866.0,124667.0,65207.0,54032.0,14540.0,31399.0,196904.0,8795.0,4.2,17649.0,8023.0,9020.0,118603.0,62550.0,51403.0,7,July,5359.0,11862.0,72237.0,63.1,387.0,4.2,1887.0,769.0,846.0,6064.0,2657.0,2628.0,60.2,69.6,54.3,63.3,72.5,57.1,4.9,4.1,4.9,2015
55.8,61.1,56.9,61.9,67.2,62.5,9.9,9.1,8.9,9107.0,19449.0,8773.0,9932.0,123676.0,64815.0,54120.0,14558.0,31438.0,197024.0,8794.0,3.4,17529.0,7979.0,9048.0,118168.0,62328.0,51755.0,8,August,5451.0,11989.0,73349.0,62.6,313.0,3.4,1919.0,794.0,884.0,5508.0,2488.0,2365.0,60.0,69.3,54.6,62.8,72.1,57.1,4.5,3.8,4.4,2015
55.7,61.3,57.0,61.3,67.0,62.0,9.1,8.6,8.0,8990.0,19287.0,8769.0,9858.0,123111.0,64608.0,54284.0,14508.0,31479.0,197152.0,8675.0,3.5,17535.0,8017.0,9069.0,117971.0,62165.0,52162.0,9,September,5518.0,12192.0,74041.0,62.0,315.0,3.5,1752.0,752.0,789.0,5139.0,2443.0,2122.0,59.8,69.1,55.0,62.4,71.8,57.2,4.2,3.8,3.9,2015
56.3,61.4,57.6,61.9,67.2,62.9,9.1,8.8,8.4,8867.0,19502.0,8809.0,10018.0,123572.0,64711.0,54631.0,14440.0,31518.0,197271.0,8561.0,3.5,17734.0,8038.0,9180.0,118474.0,62280.0,52541.0,10,October,5573.0,12016.0,73699.0,61.4,307.0,3.5,1768.0,771.0,838.0,5098.0,2431.0,2090.0,60.1,69.1,55.4,62.6,71.8,57.6,4.1,3.8,3.8,2015
56.0,60.3,58.0,61.7,66.6,63.0,9.1,9.4,8.0,9100.0,19458.0,8740.0,10047.0,123534.0,64489.0,54906.0,14476.0,31557.0,197377.0,8743.0,3.9,17682.0,7915.0,9247.0,118503.0,62027.0,52860.0,11,November,5377.0,12099.0,73843.0,62.9,356.0,3.9,1776.0,825.0,801.0,5031.0,2462.0,2046.0,60.0,68.8,55.7,62.6,71.5,57.8,4.1,3.8,3.7,2015
56.3,60.9,57.9,61.3,66.7,61.9,8.1,8.7,6.6,9185.0,19359.0,8759.0,9890.0,123401.0,64506.0,54560.0,14553.0,31594.0,197471.0,8821.0,4.0,17795.0,7994.0,9240.0,118157.0,61788.0,52596.0,12,December,5367.0,12235.0,74070.0,63.1,365.0,4.0,1565.0,764.0,650.0,5244.0,2718.0,1964.0,59.8,68.5,55.4,62.5,71.5,57.4,4.2,4.2,3.6,2015
