amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
3708.705,1996.995,4.38,genre fiction,5705.7,Skyscape,0.0,3.99,72,"Amazon Digital Services,  Inc.",18,amazon,1430
1978.17,1978.17,4.66,genre fiction,9890.85,Penguin Books,5934.51,6.99,73,Penguin Group (USA) LLC,2851,big five,1415
1049.072,1049.072,4.33,genre fiction,5245.36,Forever,3147.216,3.79,75,Hachette Book Group,116,big five,1384
1165.328,1165.328,4.33,nonfiction,5826.64,(Single-Author Publisher),3495.984,4.21,75,"Amazon Digital Services,  Inc.",86,single author,1384
544.862,544.862,4.61,genre fiction,2724.31,Grand Central Publishing,1634.586,1.99,76,Hachette Book Group,18,big five,1369
1092.462,1092.462,4.53,genre fiction,5462.31,Forever,3277.386,3.99,76,Hachette Book Group,145,big five,1369
4388.4555,2363.0145,4.28,genre fiction,6751.47,47North,0.0,4.99,77,"Amazon Digital Services,  Inc.",1180,amazon,1353
2002.986,4673.634,4.51,genre fiction,6676.62,(Indie Publisher),0.0,4.99,78,"Amazon Digital Services,  Inc.",1230,indie,1338
261.954,261.954,3.5,genre fiction,1309.77,(Single-Author Publisher),785.862,0.99,79,"Amazon Digital Services,  Inc.",36,single author,1323
1186.756,1186.756,4.62,genre fiction,5933.78,William Morrow Paperbacks,3560.268,4.54,80,HarperCollins Publishers,78,big five,1307
1696.486,1696.486,4.57,genre fiction,8482.43,Grand Central Publishing,5089.458,6.49,80,Hachette Book Group,3156,big five,1307
1289.416,1289.416,3.38,genre fiction,6447.08,Vintage,3868.248,4.99,81,Random House LLC,23362,big five,1292
507.848,507.848,4.65,nonfiction,2539.24,HarperCollins e-books,1523.544,1.99,82,HarperCollins Publishers,140,big five,1276
1472.31,3435.39,4.64,genre fiction,4907.7,(Indie Publisher),0.0,3.99,85,"Amazon Digital Services,  Inc.",251,indie,1230
781.8525,420.9975,4.67,genre fiction,1202.85,(Indie Publisher),0.0,0.99,86,"Amazon Digital Services,  Inc.",98,indie,1215
483.57,483.57,4.03,genre fiction,2417.85,HarperCollins e-books,1450.71,1.99,86,HarperCollins Publishers,637,big five,1215
772.2,415.8,4.83,genre fiction,1188.0,(Indie Publisher),0.0,0.99,87,"Amazon Digital Services,  Inc.",6,indie,1200
1552.2,835.8,4.3,fiction,2388.0,AmazonEncore,0.0,1.99,87,"Amazon Digital Services,  Inc.",1760,amazon,1200
471.232,471.232,4.41,genre fiction,2356.16,St. Martin's Press,1413.696,1.99,88,Macmillan,882,big five,1184
231.462,231.462,4.76,genre fiction,1157.31,(Small or Medium Publisher),694.386,0.99,89,"Amazon Digital Services,  Inc.",34,small/medium,1169
231.462,231.462,4.33,genre fiction,1157.31,(Small or Medium Publisher),694.386,0.99,89,"Amazon Digital Services,  Inc.",21,small/medium,1169
