amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
1217.502,655.578,4.28,genre fiction,1873.08,(Indie Publisher),0.0,0.99,42,"Amazon Digital Services,  Inc.",76,indie,1892
2245.572,5239.668,4.28,genre fiction,7485.24,(Indie Publisher),0.0,3.99,43,"Amazon Digital Services,  Inc.",5498,indie,1876
740.678,740.678,4.4,genre fiction,3703.39,(Single-Author Publisher),2222.034,1.99,44,"Amazon Digital Services,  Inc.",75,single author,1861
2211.508,2211.508,4.02,genre fiction,11057.54,HarperCollins e-books,6634.524,5.99,45,HarperCollins Publishers,104,big five,1846
2558.34,2558.34,4.19,genre fiction,12791.7,(Small or Medium Publisher),7675.02,6.99,46,"Amazon Digital Services,  Inc.",13962,small/medium,1830
5838.3,3143.7,4.12,genre fiction,8982.0,47North,0.0,4.99,48,"Amazon Digital Services,  Inc.",141,amazon,1800
716.4,716.4,4.12,nonfiction,3582.0,(Small or Medium Publisher),2149.2,1.99,48,"Amazon Digital Services,  Inc.",33,small/medium,1800
353.232,353.232,5.0,nonfiction,1766.16,(Single-Author Publisher),1059.696,0.99,49,"Amazon Digital Services,  Inc.",9,single author,1784
2119.262,2119.262,4.28,genre fiction,10596.31,Putnam Adult,6357.786,5.99,50,Penguin Group (USA) LLC,1364,big five,1769
3011.654,3011.654,4.56,genre fiction,15058.27,"Little, Brown and Company",9034.962,8.59,51,Hachette Book Group,157,big five,1753
344.124,344.124,4.92,genre fiction,1720.62,(Small or Medium Publisher),1032.372,0.99,52,"Amazon Digital Services,  Inc.",42,small/medium,1738
341.154,341.154,4.21,genre fiction,1705.77,Loveswept,1023.462,0.99,53,Random House LLC,41,big five,1723
5536.6545,2981.2755,4.52,genre fiction,8517.93,Montlake Romance,0.0,4.99,54,"Amazon Digital Services,  Inc.",258,amazon,1707
335.016,335.016,4.59,genre fiction,1675.08,Entangled: Brazen,1005.048,0.99,55,Macmillan,114,big five,1692
2006.172,4681.068,4.95,genre fiction,6687.24,(Indie Publisher),0.0,3.99,56,"Amazon Digital Services,  Inc.",310,indie,1676
993.278,993.278,4.26,genre fiction,4966.39,Berkley,2979.834,2.99,57,Penguin Group (USA) LLC,2028,big five,1661
325.908,325.908,3.86,genre fiction,1629.54,(Small or Medium Publisher),977.724,0.99,58,"Amazon Digital Services,  Inc.",38,small/medium,1646
3556.66,3556.66,4.44,genre fiction,17783.3,Dutton Adult,10669.98,10.91,59,Penguin Group (USA) LLC,354,big five,1630
1048.905,564.795,4.79,genre fiction,1613.7,(Indie Publisher),0.0,0.99,59,"Amazon Digital Services,  Inc.",339,indie,1630
3678.97,3678.97,4.45,genre fiction,18394.85,"Little, Brown and Company",11036.91,11.39,60,Hachette Book Group,1603,big five,1615
2076.8,2076.8,4.0,genre fiction,10384.0,Bantam,6230.4,6.49,61,Random House LLC,2659,big five,1600
1896.048,4424.112,4.61,genre fiction,6320.16,(Indie Publisher),0.0,3.99,62,"Amazon Digital Services,  Inc.",505,indie,1584
1412.1,3294.9,4.67,genre fiction,4707.0,(Indie Publisher),0.0,3.0,63,"Amazon Digital Services,  Inc.",199,indie,1569
989.703,532.917,4.87,genre fiction,1522.62,(Indie Publisher),0.0,0.99,65,"Amazon Digital Services,  Inc.",32,indie,1538
1777.341,4147.129,4.48,genre fiction,5924.47,(Indie Publisher),0.0,3.89,66,"Amazon Digital Services,  Inc.",1257,indie,1523
7826.6045,4214.3255,4.25,genre fiction,12040.93,AmazonEncore,0.0,7.99,67,"Amazon Digital Services,  Inc.",3965,amazon,1507
2682.616,2682.616,4.32,genre fiction,13413.08,Grand Central Publishing,8047.848,8.99,68,Hachette Book Group,1402,big five,1492
1889.8035,1017.5865,4.64,genre fiction,2907.39,(Indie Publisher),0.0,1.99,70,"Amazon Digital Services,  Inc.",45,indie,1461
2310.708,2310.708,3.55,genre fiction,11553.54,Berkley,6932.124,7.99,71,Penguin Group (USA) LLC,45,big five,1446
3708.705,1996.995,4.38,genre fiction,5705.7,Skyscape,0.0,3.99,72,"Amazon Digital Services,  Inc.",18,amazon,1430
1978.17,1978.17,4.66,genre fiction,9890.85,Penguin Books,5934.51,6.99,73,Penguin Group (USA) LLC,2851,big five,1415
1049.072,1049.072,4.33,genre fiction,5245.36,Forever,3147.216,3.79,75,Hachette Book Group,116,big five,1384
1165.328,1165.328,4.33,nonfiction,5826.64,(Single-Author Publisher),3495.984,4.21,75,"Amazon Digital Services,  Inc.",86,single author,1384
544.862,544.862,4.61,genre fiction,2724.31,Grand Central Publishing,1634.586,1.99,76,Hachette Book Group,18,big five,1369
1092.462,1092.462,4.53,genre fiction,5462.31,Forever,3277.386,3.99,76,Hachette Book Group,145,big five,1369
4388.4555,2363.0145,4.28,genre fiction,6751.47,47North,0.0,4.99,77,"Amazon Digital Services,  Inc.",1180,amazon,1353
2002.986,4673.634,4.51,genre fiction,6676.62,(Indie Publisher),0.0,4.99,78,"Amazon Digital Services,  Inc.",1230,indie,1338
261.954,261.954,3.5,genre fiction,1309.77,(Single-Author Publisher),785.862,0.99,79,"Amazon Digital Services,  Inc.",36,single author,1323
1186.756,1186.756,4.62,genre fiction,5933.78,William Morrow Paperbacks,3560.268,4.54,80,HarperCollins Publishers,78,big five,1307
