# of Delays.Carrier,# of Delays.Late Aircraft,# of Delays.National Aviation System,# of Delays.Security,# of Delays.Weather,Cancelled,Carriers.Total,Code,Delayed,Diverted,Flights.Total,Label,Minutes Delayed.Carrier,Minutes Delayed.Late Aircraft,Minutes Delayed.National Aviation System,Minutes Delayed.Security,Minutes Delayed.Total,Minutes Delayed.Weather,Month,Month Name,Name,On Time,Year
343,270,573,3,74,181,13,DCA,1260,13,6695,2003/07,17776,18002,25897,111,67839,6053,7,July,"Washington, DC: Ronald Reagan Washington National",5241,2003
562,434,646,2,111,71,13,DEN,1753,9,12702,2003/07,29155,30028,25912,87,91893,6711,7,July,"Denver, CO: Denver International",10869,2003
1216,1443,2081,18,244,274,13,DFW,5003,64,28323,2003/07,78047,83156,80740,447,258631,16241,7,July,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",22982,2003
475,448,816,4,145,175,12,DTW,1891,22,12192,2003/07,33660,26421,30809,137,103913,12886,7,July,"Detroit, MI: Detroit Metro Wayne County",10104,2003
410,706,1665,11,125,285,13,EWR,2917,59,13058,2003/07,27536,45894,95872,295,180839,11242,7,July,"Newark, NJ: Newark Liberty International",9797,2003
262,328,412,6,35,19,11,FLL,1041,1,4846,2003/07,13333,21007,15824,172,52714,2378,7,July,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3785,2003
395,406,671,10,84,217,13,IAD,1567,14,8788,2003/07,22887,26373,35084,309,92720,8067,7,July,"Washington, DC: Washington Dulles International",6990,2003
441,960,1506,9,115,90,12,IAH,3031,77,16467,2003/07,27204,52723,52976,221,141506,8382,7,July,"Houston, TX: George Bush Intercontinental/Houston",13269,2003
347,231,455,12,39,32,11,JFK,1082,24,6205,2003/07,21108,13117,16836,362,54400,2977,7,July,"New York, NY: John F. Kennedy International",5067,2003
560,760,570,8,99,73,13,LAS,1998,52,12206,2003/07,30498,44219,26557,210,110270,8786,7,July,"Las Vegas, NV: McCarran International",10083,2003
864,807,557,12,141,145,12,LAX,2380,10,19295,2003/07,45717,47458,23552,224,126984,10033,7,July,"Los Angeles, CA: Los Angeles International",16760,2003
336,434,1060,0,105,285,11,LGA,1934,63,9294,2003/07,20643,27725,61204,12,117366,7782,7,July,"New York, NY: LaGuardia",7012,2003
451,519,797,3,63,19,12,MCO,1834,10,8026,2003/07,24063,34566,32395,60,95295,4211,7,July,"Orlando, FL: Orlando International",6163,2003
236,559,637,14,86,62,9,MDW,1531,51,7299,2003/07,13792,38121,35400,370,95992,8309,7,July,"Chicago, IL: Chicago Midway International",5655,2003
315,268,588,4,41,44,12,MIA,1216,17,5126,2003/07,20847,19233,22787,121,66719,3731,7,July,"Miami, FL: Miami International",3849,2003
531,428,860,6,108,141,11,MSP,1930,13,12850,2003/07,33129,28529,32299,153,102280,8170,7,July,"Minneapolis, MN: Minneapolis-St Paul International",10766,2003
961,1728,4305,8,258,1258,12,ORD,7259,135,31345,2003/07,75266,137519,314331,201,551568,24251,7,July,"Chicago, IL: Chicago O'Hare International",22693,2003
224,332,126,7,26,25,9,PDX,716,2,5016,2003/07,10823,19298,4604,180,36851,1946,7,July,"Portland, OR: Portland International",4273,2003
399,634,1130,1,93,198,12,PHL,2257,21,9352,2003/07,19469,41424,52527,15,121153,7718,7,July,"Philadelphia, PA: Philadelphia International",6876,2003
593,743,498,8,66,96,12,PHX,1909,27,14410,2003/07,35809,46071,18713,181,105513,4739,7,July,"Phoenix, AZ: Phoenix Sky Harbor International",12378,2003
381,386,340,3,44,34,12,SAN,1155,14,7177,2003/07,17465,21781,12051,83,54624,3244,7,July,"San Diego, CA: San Diego International",5974,2003
506,637,421,26,67,82,12,SEA,1654,5,9992,2003/07,25125,37050,15618,631,83220,4796,7,July,"Seattle, WA: Seattle/Tacoma International",8251,2003
473,365,539,10,76,79,11,SFO,1464,8,10743,2003/07,24613,24504,23592,261,79460,6490,7,July,"San Francisco, CA: San Francisco International",9192,2003
404,284,330,9,65,58,10,SLC,1093,11,10944,2003/07,20318,16143,11910,285,52635,3979,7,July,"Salt Lake City, UT: Salt Lake City International",9782,2003
248,395,445,3,44,18,11,TPA,1135,9,5614,2003/07,12661,26212,18532,73,60777,3299,7,July,"Tampa, FL: Tampa International",4452,2003
1220,1766,4475,9,361,364,11,ATL,7829,56,31305,2003/08,77042,108114,163912,304,370130,20758,8,August,"Atlanta, GA: Hartsfield-Jackson Atlanta International",23056,2003
481,698,978,0,100,292,14,BOS,2256,15,9933,2003/08,28571,49297,42254,4,127494,7368,8,August,"Boston, MA: Logan International",7370,2003
396,668,734,6,127,66,11,BWI,1931,41,8636,2003/08,19817,41456,36608,179,107756,9696,8,August,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6598,2003
349,511,928,1,90,189,11,CLT,1882,36,8948,2003/08,17440,30964,38430,116,93619,6669,8,August,"Charlotte, NC: Charlotte Douglas International",6841,2003
338,327,795,3,89,262,13,DCA,1554,41,6743,2003/08,17512,23603,42353,113,90097,6516,8,August,"Washington, DC: Ronald Reagan Washington National",4886,2003
544,362,560,3,111,79,12,DEN,1582,9,12792,2003/08,30247,25493,23385,77,87032,7830,8,August,"Denver, CO: Denver International",11122,2003
1178,1350,2138,17,269,466,13,DFW,4951,169,27956,2003/08,77082,80115,106597,526,286661,22341,8,August,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",22370,2003
459,442,1034,6,155,412,12,DTW,2096,52,12180,2003/08,29306,27485,46410,293,116543,13049,8,August,"Detroit, MI: Detroit Metro Wayne County",9620,2003
488,713,2528,7,144,431,13,EWR,3881,111,13022,2003/08,36683,56753,180746,177,289106,14747,8,August,"Newark, NJ: Newark Liberty International",8599,2003
279,396,489,9,46,36,11,FLL,1220,14,4825,2003/08,15853,25824,18216,334,63559,3332,8,August,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3555,2003
378,447,849,9,129,190,13,IAD,1813,40,8758,2003/08,21505,30744,43185,295,106819,11090,8,August,"Washington, DC: Washington Dulles International",6715,2003
425,587,1132,5,144,104,12,IAH,2291,68,15985,2003/08,26927,38093,48296,183,125085,11586,8,August,"Houston, TX: George Bush Intercontinental/Houston",13522,2003
403,380,856,15,64,205,11,JFK,1717,66,6227,2003/08,28257,29338,42732,401,105234,4506,8,August,"New York, NY: John F. Kennedy International",4239,2003
576,747,480,7,75,70,12,LAS,1884,10,12257,2003/08,34285,38636,17699,231,97026,6175,8,August,"Las Vegas, NV: McCarran International",10293,2003
796,761,622,11,139,141,12,LAX,2333,9,19253,2003/08,47486,46658,26226,336,131186,10480,8,August,"Los Angeles, CA: Los Angeles International",16770,2003
419,500,1421,1,125,597,11,LGA,2465,82,9302,2003/08,26770,38198,102604,15,180002,12415,8,August,"New York, NY: LaGuardia",6158,2003
450,584,757,6,82,48,13,MCO,1878,30,7988,2003/08,25260,38574,31786,454,101540,5466,8,August,"Orlando, FL: Orlando International",6032,2003
205,446,414,15,72,77,9,MDW,1152,13,7277,2003/08,10853,28232,21868,578,68622,7091,8,August,"Chicago, IL: Chicago Midway International",6035,2003
293,314,696,10,70,97,13,MIA,1385,13,5158,2003/08,18544,24339,30059,306,78097,4849,8,August,"Miami, FL: Miami International",3663,2003
533,438,639,9,104,182,11,MSP,1724,6,12887,2003/08,36711,26224,22843,294,93346,7274,8,August,"Minneapolis, MN: Minneapolis-St Paul International",10975,2003
1017,1512,3461,12,237,941,12,ORD,6236,138,31121,2003/08,77366,109807,237540,430,447656,22513,8,August,"Chicago, IL: Chicago O'Hare International",23806,2003
194,336,128,5,29,26,9,PDX,693,4,4972,2003/08,9713,18118,4683,148,34824,2162,8,August,"Portland, OR: Portland International",4249,2003
442,695,1317,0,132,242,13,PHL,2590,31,9390,2003/08,22519,44213,65862,0,143224,10630,8,August,"Philadelphia, PA: Philadelphia International",6527,2003
607,719,509,20,87,117,12,PHX,1942,14,14357,2003/08,35681,39053,17893,840,99568,6101,8,August,"Phoenix, AZ: Phoenix Sky Harbor International",12284,2003
375,382,256,2,48,27,12,SAN,1062,5,7199,2003/08,18544,20569,9091,84,51666,3378,8,August,"San Diego, CA: San Diego International",6105,2003
482,730,364,24,57,113,12,SEA,1661,12,10015,2003/08,27105,41966,13662,839,87912,4340,8,August,"Seattle, WA: Seattle/Tacoma International",8229,2003
517,385,869,10,94,96,11,SFO,1876,5,10732,2003/08,28598,27313,36056,307,99292,7018,8,August,"San Francisco, CA: San Francisco International",8755,2003
440,326,381,15,112,74,10,SLC,1271,28,10999,2003/08,23058,16936,13330,596,64430,10510,8,August,"Salt Lake City, UT: Salt Lake City International",9626,2003
265,350,450,2,61,37,12,TPA,1129,19,5502,2003/08,15252,24242,19501,80,63084,4009,8,August,"Tampa, FL: Tampa International",4317,2003
700,807,2267,4,161,359,11,ATL,3936,33,30377,2003/09,45856,42031,82737,180,180656,9852,9,September,"Atlanta, GA: Hartsfield-Jackson Atlanta International",26049,2003
287,413,675,1,23,257,14,BOS,1398,13,9528,2003/09,16865,22421,27189,45,68271,1751,9,September,"Boston, MA: Logan International",7860,2003
238,289,358,2,41,205,11,BWI,930,43,8209,2003/09,11225,15028,13129,42,42472,3048,9,September,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7031,2003
169,271,475,0,14,145,11,CLT,929,1,8474,2003/09,8943,13038,15857,22,38730,870,9,September,"Charlotte, NC: Charlotte Douglas International",7399,2003
231,161,470,1,28,354,13,DCA,894,29,6507,2003/09,11136,8715,17771,145,39420,1653,9,September,"Washington, DC: Ronald Reagan Washington National",5230,2003
319,204,336,3,41,50,13,DEN,900,6,12076,2003/09,17206,9780,11566,117,41637,2968,9,September,"Denver, CO: Denver International",11120,2003
654,751,1027,2,125,571,13,DFW,2562,97,27045,2003/09,41366,45046,50091,55,151679,15121,9,September,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",23815,2003
296,236,562,1,52,144,12,DTW,1147,13,11336,2003/09,18882,12584,17982,36,53533,4049,9,September,"Detroit, MI: Detroit Metro Wayne County",10032,2003
247,483,3818,2,147,596,13,EWR,4699,14,12189,2003/09,15809,38281,231105,94,295779,10490,9,September,"Newark, NJ: Newark Liberty International",6880,2003
143,164,385,1,9,35,11,FLL,701,3,4623,2003/09,7175,9656,14175,32,31570,532,9,September,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3884,2003
221,241,470,1,29,320,13,IAD,966,20,8419,2003/09,11679,14305,21596,14,50212,2618,9,September,"Washington, DC: Washington Dulles International",7113,2003
291,498,1094,5,71,107,12,IAH,1958,57,15132,2003/09,17168,30323,40922,135,94286,5738,9,September,"Houston, TX: George Bush Intercontinental/Houston",13010,2003
245,159,473,3,19,34,11,JFK,896,13,5811,2003/09,13176,7732,14391,93,36388,996,9,September,"New York, NY: John F. Kennedy International",4868,2003
