quantity,questions,exclaims,hour,month,day,length
1,0.0,0.0,08,03,02,1941
2,0.0,0.0,15,10,00,1962
1,1.0,0.0,18,09,02,629
1,11.0,0.0,10,07,03,851
1,6.0,2.0,10,10,03,1236
2,0.0,0.0,08,10,04,1099
1,0.0,1.0,07,11,02,431
1,0.0,0.0,10,12,04,1141
1,1.0,0.0,10,11,00,394
1,1.0,0.0,17,05,01,1592
2,0.0,0.0,10,10,04,2134
2,0.0,0.0,09,01,05,4347
1,2.0,0.0,10,05,04,701
1,0.0,0.0,14,01,01,595
1,0.0,0.0,11,02,05,279
20,2.0,2.0,08,12,05,410
1,0.0,0.0,16,11,01,0
1,0.0,0.0,07,08,02,1533
1,3.0,0.0,11,01,01,870
1,0.0,1.0,11,10,05,931
1,0.0,0.0,07,12,00,203
1,2.0,0.0,04,06,06,1784
1,1.0,2.0,14,09,04,1169
3,1.0,0.0,06,08,02,709
1,0.0,0.0,09,01,05,657
1,0.0,2.0,05,04,02,868
19,1.0,1.0,15,10,00,1247
3,2.0,0.0,10,03,03,274
10,0.0,0.0,13,05,00,328
3,1.0,1.0,03,02,04,5303
1,2.0,0.0,01,10,00,2281
1,0.0,0.0,11,06,04,177
1,23.0,0.0,08,08,04,2514
1,0.0,0.0,09,02,01,1085
1,1.0,0.0,15,02,04,705
1,0.0,0.0,04,06,02,871
1,0.0,3.0,22,01,05,657
1,0.0,0.0,20,01,03,223
2,0.0,0.0,04,10,02,4526
3,1.0,0.0,15,03,04,905
1,0.0,1.0,18,01,02,737
1,1.0,0.0,07,07,00,711
1,0.0,2.0,05,01,03,1081
15,1.0,1.0,04,04,01,1826
1,2.0,0.0,17,11,06,789
1,0.0,0.0,12,06,02,274
1,0.0,1.0,19,10,00,1057
1,0.0,1.0,03,10,01,2708
1,0.0,0.0,04,01,03,1607
1,14.0,0.0,15,09,00,3577
1,1.0,1.0,16,02,01,953
2,3.0,0.0,21,04,02,754
1,0.0,0.0,12,12,00,1511
1,1.0,0.0,20,01,01,2228
5,4.0,0.0,01,09,03,1382
1,1.0,1.0,07,06,04,2878
1,0.0,0.0,15,08,03,157
1,0.0,2.0,01,02,01,2164
1,0.0,0.0,10,07,02,557
2,1.0,0.0,08,04,00,515
2,3.0,0.0,08,10,02,1852
1,1.0,1.0,16,10,00,1556
3,1.0,0.0,07,09,02,545
3,0.0,2.0,05,06,00,775
1,0.0,0.0,15,10,03,230
1,0.0,0.0,20,07,02,472
1,2.0,1.0,08,03,05,845
2,8.0,0.0,11,05,01,1483
1,0.0,0.0,09,12,04,387
1,0.0,3.0,07,01,04,789
1,3.0,0.0,16,07,03,3240
1,0.0,0.0,05,02,02,1150
2,0.0,1.0,13,07,00,2538
1,5.0,2.0,02,06,01,10008
1,0.0,0.0,21,02,04,676
2,0.0,1.0,06,02,02,2138
1,0.0,0.0,11,03,00,1451
1,0.0,0.0,18,05,00,2376
1,0.0,0.0,11,03,03,1802
1,0.0,0.0,17,05,04,140
3,0.0,0.0,08,09,04,117
6,0.0,1.0,03,02,05,1342
4,3.0,1.0,15,12,01,1403
1,1.0,0.0,06,11,02,157
1,0.0,0.0,08,04,02,666
2,1.0,0.0,02,02,01,574
1,0.0,0.0,10,08,03,2049
1,0.0,1.0,07,04,03,1908
3,0.0,0.0,10,12,01,606
1,2.0,1.0,14,01,06,835
2,1.0,1.0,21,01,04,463
1,0.0,1.0,05,12,04,165
1,1.0,0.0,04,04,01,839
1,2.0,0.0,12,10,04,623
1,0.0,0.0,10,02,01,1894
2,2.0,1.0,08,04,02,754
3,0.0,0.0,07,09,05,950
1,0.0,0.0,06,03,01,981
1,0.0,0.0,08,06,00,351
1,0.0,0.0,10,02,00,803
1,0.0,0.0,05,02,02,929
1,10.0,0.0,09,04,01,3451
1,0.0,0.0,06,05,04,1816
1,1.0,0.0,07,11,01,659
3,0.0,0.0,11,07,05,200
2,0.0,2.0,08,03,02,2291
1,0.0,0.0,18,03,02,985
2,3.0,0.0,05,01,02,358
1,2.0,4.0,16,01,02,3652
4,0.0,0.0,16,04,03,1463
1,0.0,0.0,15,12,01,266
2,0.0,0.0,10,08,04,138
1,0.0,0.0,07,02,03,486
8,2.0,0.0,16,11,03,594
1,0.0,0.0,03,02,03,1631
4,0.0,0.0,15,01,03,0
1,0.0,1.0,04,11,01,291
1,1.0,0.0,13,07,05,3520
1,0.0,0.0,10,10,03,531
1,0.0,1.0,09,01,05,1409
1,0.0,0.0,21,03,02,1026
1,5.0,0.0,16,11,02,650
1,0.0,0.0,00,07,02,74
1,0.0,0.0,05,02,00,584
1,0.0,1.0,00,03,03,898
2,0.0,0.0,06,11,01,331
1,0.0,0.0,04,06,04,2870
1,0.0,1.0,18,05,04,689
1,0.0,0.0,07,03,04,688
1,0.0,0.0,07,06,06,1643
1,1.0,0.0,13,09,00,274
1,1.0,0.0,11,01,06,1208
2,5.0,0.0,14,08,02,2220
1,0.0,0.0,16,01,02,386
3,1.0,0.0,04,06,03,320
1,0.0,0.0,10,01,05,38
1,1.0,0.0,14,07,02,804
1,1.0,0.0,06,09,01,671
11,0.0,0.0,17,09,04,1080
1,0.0,1.0,04,03,05,525
1,4.0,0.0,16,05,00,10368
1,1.0,0.0,12,11,00,2252
5,0.0,0.0,05,02,03,1744
1,0.0,0.0,08,08,04,856
1,1.0,0.0,09,11,03,625
1,0.0,0.0,13,04,03,423
1,0.0,0.0,09,02,04,339
1,0.0,1.0,09,11,01,502
1,0.0,0.0,11,02,00,1107
1,0.0,1.0,03,01,04,304
1,1.0,1.0,15,05,03,659
1,0.0,1.0,06,04,02,1185
4,3.0,0.0,13,01,04,1935
1,0.0,0.0,12,02,03,1634
1,2.0,0.0,14,02,03,896
3,0.0,0.0,08,12,05,666
1,2.0,2.0,06,12,00,1444
1,2.0,0.0,02,09,04,897
3,1.0,0.0,08,10,06,959
1,0.0,1.0,10,02,04,98
1,0.0,0.0,14,07,03,789
1,0.0,0.0,17,07,01,1223
1,0.0,0.0,16,10,06,4709
1,0.0,0.0,10,10,01,0
1,0.0,0.0,06,06,02,2026
1,1.0,0.0,08,02,02,741
1,0.0,1.0,11,08,03,745
1,3.0,0.0,16,05,01,778
1,0.0,0.0,05,01,01,792
1,0.0,0.0,05,01,04,419
14,0.0,0.0,08,01,00,1791
1,0.0,1.0,15,09,03,673
11,2.0,1.0,08,12,04,597
1,2.0,0.0,13,02,06,350
1,0.0,0.0,10,12,01,311
1,0.0,0.0,11,11,01,920
1,4.0,0.0,09,06,00,1656
1,0.0,0.0,18,04,03,842
2,3.0,0.0,02,02,02,918
1,0.0,0.0,01,02,04,228
1,0.0,4.0,16,02,03,1368
1,6.0,1.0,13,12,01,2550
4,1.0,0.0,10,12,06,200
1,0.0,0.0,17,03,03,178
1,0.0,1.0,15,03,00,380
1,0.0,0.0,20,09,01,2441
1,1.0,0.0,09,10,04,590
1,0.0,0.0,10,11,01,301
1,0.0,1.0,07,12,04,1062
1,1.0,0.0,07,04,01,1081
1,0.0,0.0,14,11,01,1126
1,0.0,0.0,13,04,01,170
1,1.0,2.0,06,10,01,2051
1,4.0,0.0,09,04,02,2265
1,0.0,0.0,10,10,04,952
23,1.0,1.0,20,02,00,1019
1,1.0,0.0,14,04,05,745
1,0.0,0.0,11,09,03,4187
1,0.0,0.0,09,01,06,851
14,0.0,0.0,05,04,04,612
6,3.0,1.0,09,04,04,1222
4,6.0,0.0,05,08,00,2445
1,0.0,0.0,02,11,00,2012
1,1.0,1.0,02,03,05,551
