quantity,questions,exclaims,hour,month,day,length
SHORT,4.0,0.0,Morning,FALL,Day,1077
SINGLE,3.0,0.0,Morning,WINTER,Day,2289
SINGLE,0.0,0.0,Morning,FALL,Day,1223
SINGLE,0.0,0.0,Morning,SUMMER,Day,1549
SINGLE,0.0,2.0,Morning,FALL,Day,1561
SINGLE,0.0,0.0,Night,WINTER,Day,494
SINGLE,0.0,0.0,Evening,SPRING,Day,582
SHORT,0.0,4.0,Evening,WINTER,Day,1591
SHORT,0.0,3.0,Night,SPRING,Day,3293
SINGLE,0.0,0.0,Evening,FALL,Day,3678
SINGLE,0.0,0.0,Morning,SUMMER,Day,888
SINGLE,0.0,1.0,Evening,WINTER,End,563
SINGLE,1.0,0.0,SmallHours,FALL,Day,1199
SHORT,0.0,0.0,SmallHours,FALL,Day,668
SINGLE,4.0,0.0,Morning,SUMMER,Day,1416
SINGLE,7.0,7.0,SmallHours,WINTER,Day,2806
SINGLE,0.0,0.0,Morning,SPRING,Day,441
SINGLE,0.0,0.0,Evening,WINTER,Day,941
SINGLE,0.0,0.0,Morning,WINTER,Day,125
SINGLE,2.0,0.0,Morning,SUMMER,Day,1385
SINGLE,0.0,0.0,Morning,SPRING,Day,260
SHORT,0.0,1.0,SmallHours,SUMMER,Day,1062
SINGLE,0.0,0.0,Evening,WINTER,Day,1212
SINGLE,1.0,0.0,Morning,SPRING,End,705
SINGLE,0.0,0.0,Morning,SPRING,Day,1990
SINGLE,0.0,1.0,Evening,FALL,End,259
SINGLE,5.0,0.0,Evening,FALL,Day,1257
SHORT,0.0,1.0,SmallHours,FALL,End,3656
SINGLE,0.0,0.0,Morning,WINTER,Day,2421
SINGLE,0.0,0.0,Morning,WINTER,End,281
SINGLE,0.0,0.0,Evening,WINTER,Day,1111
SINGLE,0.0,1.0,Morning,WINTER,Day,1317
SINGLE,1.0,0.0,Evening,SPRING,Day,285
SHORT,1.0,0.0,Evening,WINTER,Day,420
SINGLE,4.0,1.0,SmallHours,WINTER,Day,1116
SHORT,11.0,8.0,Night,WINTER,Day,1796
SINGLE,0.0,0.0,SmallHours,FALL,Day,1324
SHORT,2.0,0.0,Morning,SPRING,Day,4231
LONG,0.0,0.0,Morning,WINTER,Day,603
SINGLE,4.0,1.0,Morning,SPRING,Day,892
SINGLE,0.0,0.0,Morning,FALL,Day,632
SINGLE,1.0,0.0,Evening,FALL,Day,644
LONG,2.0,0.0,Morning,FALL,Day,1446
SINGLE,0.0,0.0,Evening,FALL,Day,888
SINGLE,2.0,3.0,Morning,WINTER,Day,3958
SINGLE,0.0,0.0,Morning,FALL,Day,146
SINGLE,0.0,0.0,Evening,SPRING,Day,1925
SINGLE,0.0,0.0,SmallHours,WINTER,Day,403
SINGLE,0.0,0.0,Evening,FALL,Day,119
SINGLE,0.0,0.0,Evening,SUMMER,Day,201
SINGLE,0.0,0.0,SmallHours,SUMMER,Day,897
SHORT,1.0,0.0,Evening,FALL,Day,394
SINGLE,0.0,0.0,Morning,SUMMER,Day,1118
SINGLE,0.0,2.0,Morning,FALL,Day,3601
SINGLE,0.0,1.0,Evening,SUMMER,End,1202
SHORT,0.0,0.0,Morning,SUMMER,Day,2533
SINGLE,0.0,0.0,Morning,SUMMER,Day,4279
SINGLE,0.0,0.0,Night,FALL,Day,2502
SINGLE,0.0,0.0,Morning,WINTER,Day,1941
SHORT,0.0,0.0,Evening,FALL,Day,1962
SINGLE,1.0,0.0,Night,FALL,Day,629
SINGLE,11.0,0.0,Morning,SUMMER,Day,851
SINGLE,6.0,2.0,Morning,FALL,Day,1236
SHORT,0.0,0.0,Morning,FALL,Day,1099
SINGLE,0.0,1.0,Morning,FALL,Day,431
SINGLE,0.0,0.0,Morning,FALL,Day,1141
SINGLE,1.0,0.0,Morning,FALL,Day,394
SINGLE,1.0,0.0,Evening,SPRING,Day,1592
SHORT,0.0,0.0,Morning,FALL,Day,2134
SHORT,0.0,0.0,Morning,WINTER,End,4347
SINGLE,2.0,0.0,Morning,SPRING,Day,701
SINGLE,0.0,0.0,Evening,WINTER,Day,595
SINGLE,0.0,0.0,Evening,WINTER,End,279
LONG,2.0,2.0,Morning,FALL,End,410
SINGLE,0.0,0.0,Evening,FALL,Day,0
SINGLE,0.0,0.0,Morning,SUMMER,Day,1533
SINGLE,3.0,0.0,Evening,WINTER,Day,870
SINGLE,0.0,1.0,Evening,FALL,End,931
SINGLE,0.0,0.0,Morning,FALL,Day,203
SINGLE,2.0,0.0,SmallHours,SUMMER,End,1784
SINGLE,1.0,2.0,Evening,FALL,Day,1169
SHORT,1.0,0.0,Morning,SUMMER,Day,709
SINGLE,0.0,0.0,Morning,WINTER,End,657
SINGLE,0.0,2.0,Morning,SPRING,Day,868
LONG,1.0,1.0,Evening,FALL,Day,1247
SHORT,2.0,0.0,Morning,WINTER,Day,274
LONG,0.0,0.0,Evening,SPRING,Day,328
SHORT,1.0,1.0,SmallHours,WINTER,Day,5303
SINGLE,2.0,0.0,SmallHours,FALL,Day,2281
SINGLE,0.0,0.0,Evening,SUMMER,Day,177
SINGLE,23.0,0.0,Morning,SUMMER,Day,2514
SINGLE,0.0,0.0,Morning,WINTER,Day,1085
SINGLE,1.0,0.0,Evening,WINTER,Day,705
SINGLE,0.0,0.0,SmallHours,SUMMER,Day,871
SINGLE,0.0,3.0,Night,WINTER,End,657
SINGLE,0.0,0.0,Night,WINTER,Day,223
SHORT,0.0,0.0,SmallHours,FALL,Day,4526
SHORT,1.0,0.0,Evening,WINTER,Day,905
SINGLE,0.0,1.0,Night,WINTER,Day,737
SINGLE,1.0,0.0,Morning,SUMMER,Day,711
SINGLE,0.0,2.0,Morning,WINTER,Day,1081
LONG,1.0,1.0,SmallHours,SPRING,Day,1826
SINGLE,2.0,0.0,Evening,FALL,End,789
SINGLE,0.0,0.0,Evening,SUMMER,Day,274
SINGLE,0.0,1.0,Night,FALL,Day,1057
SINGLE,0.0,1.0,SmallHours,FALL,Day,2708
SINGLE,0.0,0.0,SmallHours,WINTER,Day,1607
SINGLE,14.0,0.0,Evening,FALL,Day,3577
SINGLE,1.0,1.0,Evening,WINTER,Day,953
SHORT,3.0,0.0,Night,SPRING,Day,754
