annual.combined.amusement and recreation,annual.combined.commercial,annual.combined.communication,annual.combined.conservation and development,annual.combined.educational,annual.combined.health care,annual.combined.highway and street,annual.combined.lodging,annual.combined.manufacturing,annual.combined.nonresidential,annual.combined.office,annual.combined.power,annual.combined.public safety,annual.combined.religious,annual.combined.residential,annual.combined.sewage and waste disposal,annual.combined.total construction,annual.combined.transportation,annual.combined.water supply,annual.private.amusement and recreation,annual.private.commercial,annual.private.communication,annual.private.conservation and development,annual.private.educational,annual.private.health care,annual.private.highway and street,annual.private.lodging,annual.private.manufacturing,annual.private.nonresidential,annual.private.office,annual.private.power,annual.private.public safety,annual.private.religious,annual.private.residential,annual.private.sewage and waste disposal,annual.private.total construction,annual.private.transportation,annual.private.water supply,annual.public.amusement and recreation,annual.public.commercial,annual.public.communication,annual.public.conservation and development,annual.public.educational,annual.public.health care,annual.public.highway and street,annual.public.lodging,annual.public.manufacturing,annual.public.nonresidential,annual.public.office,annual.public.power,annual.public.public safety,annual.public.religious,annual.public.residential,annual.public.sewage and waste disposal,annual.public.total construction,annual.public.transportation,annual.public.water supply,current.combined.amusement and recreation,current.combined.commercial,current.combined.communication,current.combined.conservation and development,current.combined.educational,current.combined.health care,current.combined.highway and street,current.combined.lodging,current.combined.manufacturing,current.combined.nonresidential,current.combined.office,current.combined.power,current.combined.public safety,current.combined.religious,current.combined.residential,current.combined.sewage and waste disposal,current.combined.total construction,current.combined.transportation,current.combined.water supply,current.private.amusement and recreation,current.private.commercial,current.private.communication,current.private.conservation and development,current.private.educational,current.private.health care,current.private.highway and street,current.private.lodging,current.private.manufacturing,current.private.nonresidential,current.private.office,current.private.power,current.private.public safety,current.private.religious,current.private.residential,current.private.sewage and waste disposal,current.private.total construction,current.private.transportation,current.private.water supply,current.public.amusement and recreation,current.public.commercial,current.public.communication,current.public.conservation and development,current.public.educational,current.public.health care,current.public.highway and street,current.public.lodging,current.public.manufacturing,current.public.nonresidential,current.public.office,current.public.power,current.public.public safety,current.public.religious,current.public.residential,current.public.sewage and waste disposal,current.public.total construction,current.public.transportation,current.public.water supply,index,month,month name,period,year
15910,73931,19613,4343,81999,35035,65950,13651,29791,501333,44598,39256,7679,7539,671220,21529,1172553,26035,14474,8025,70571,19559,0,12595,29287,0,13486,29590,269373,37299,32013,0,7528,665840,0,935211,7926,0,7885,3360,0,4247,69404,5747,65639,0,0,231960,7298,7244,7212,0,5381,21321,237341,18109,14063,1338,6232,1773,356,6548,2981,5505,1138,2562,42409,3778,3456,676,660,55939,1858,98348,2304,1245,667,5956,1769,0,1008,2493,0,1124,2545,23076,3173,2851,0,659,55496,0,78573,705,0,671,276,0,348,5540,489,5476,0,0,19333,605,605,638,0,442,1839,19775,1600,1211,47,11,Nov,Nov2005,2005
15952,75447,19878,4658,83971,35070,66287,13919,29877,508540,45910,40385,7226,7539,676066,21965,1184609,26056,14403,7798,72105,19831,0,12916,29308,0,13770,29672,272395,38097,31748,0,7522,670454,0,942847,8190,0,8154,3342,0,4559,71055,5762,65989,0,0,236145,7814,8637,6768,0,5613,21738,241758,17866,14047,1261,5794,1861,378,6167,2826,4139,1160,2557,39245,3629,3394,596,596,49412,1693,88657,2063,1131,632,5527,1858,0,991,2364,0,1148,2540,22216,3009,2775,0,594,48962,0,71177,671,0,629,267,0,369,5176,463,4117,0,0,17029,620,619,563,0,450,1674,17479,1392,1106,48,12,Dec,Dec2005,2005
16272,76900,21818,4616,83383,35678,66892,13561,30231,514379,46915,39569,7423,7435,681319,22527,1195698,26374,14787,7839,73518,21794,0,13438,29799,0,13358,29698,277343,38860,31412,0,7432,675735,0,953079,8658,0,8433,3382,0,4543,69946,5879,66507,0,0,237035,8055,8156,6980,0,5584,22299,242619,17716,14377,1201,5572,1545,358,5806,2823,3288,1130,2332,36383,3570,3193,566,556,46016,1551,82400,1826,1067,604,5329,1543,0,971,2348,0,1113,2288,21061,2957,2608,0,555,45619,0,66681,636,0,596,243,0,352,4835,475,3259,0,0,15322,613,586,535,0,397,1534,15719,1190,1041,49,1,Jan,Jan2006,2006
16979,74345,21318,4530,83987,36434,68677,14272,29424,521157,49018,42112,7733,7839,683903,23037,1205060,27114,14338,8345,71295,21300,0,13516,30242,0,14074,28900,280283,41160,32754,0,7836,677984,0,958267,9340,0,8634,3051,0,4445,70471,6192,68286,0,0,240874,7858,9358,7327,0,5920,22826,246794,17774,13911,1254,5410,1568,332,5785,2827,3399,1189,2226,36734,3764,3388,566,586,45647,1565,82381,1820,1056,654,5193,1566,0,982,2345,0,1173,2182,21310,3189,2718,0,586,45215,0,66525,620,0,600,217,0,325,4803,482,3373,0,0,15424,575,670,538,0,433,1550,15857,1201,1029,50,2,Feb,Feb2006,2006
17251,74922,21285,5143,84429,36751,70702,15619,31325,530712,49179,41740,7688,8032,674306,23609,1205018,27974,15065,8383,71801,21276,0,13568,30549,0,15394,30851,285365,41573,32962,0,8029,668160,0,953525,9132,0,8869,3121,0,5058,70861,6202,70141,0,0,245347,7606,8778,7217,0,6146,23328,251494,18843,14614,1375,5792,1823,434,6226,2972,4150,1302,2478,40162,4047,3434,592,628,52192,1738,92354,1997,1174,689,5542,1822,0,1060,2475,0,1283,2438,22958,3433,2781,0,627,51703,0,74662,678,0,686,250,0,427,5166,498,4116,0,0,17203,614,653,557,0,489,1718,17692,1319,1140,51,3,Mar,Mar2006,2006
18141,73856,21537,5283,83236,37058,74019,17444,32307,536398,52392,40721,7753,7817,656452,22681,1192849,27457,14697,9188,70472,21511,0,13715,30768,0,17106,31862,287651,43884,31277,0,7812,649941,0,937592,8412,0,8953,3384,0,5206,69521,6290,73543,0,0,248746,8508,9444,7336,0,6510,22427,255257,19045,14276,1488,5969,1626,410,6463,3090,5216,1454,2666,42512,4423,3290,629,627,54544,1759,97056,2189,1213,754,5701,1624,0,1131,2564,0,1426,2629,23492,3725,2483,0,626,54020,0,77512,699,0,733,269,0,404,5332,526,5183,0,0,19020,698,807,592,0,523,1739,19544,1491,1179,52,4,Apr,Apr2006,2006
19149,75490,21201,5348,83137,37688,73929,17269,32184,540532,53233,41016,7747,7911,640166,22149,1180699,27688,15395,9709,72497,21174,0,13792,31340,0,16952,31848,292927,45024,32185,0,7876,633932,0,926859,8700,0,9440,2993,0,5269,69345,6349,73387,0,0,247605,8209,8830,7322,0,6234,21858,253839,18988,14903,1653,6475,1787,444,7003,3231,6729,1439,2681,46297,4627,3344,633,658,55564,1951,101862,2349,1292,825,6224,1785,0,1215,2688,0,1413,2653,24846,3916,2553,0,655,55009,0,79855,767,0,828,251,0,437,5788,544,6687,0,0,21451,711,792,597,0,556,1926,22007,1582,1249,53,5,May,May2006,2006
19081,75894,21650,5220,84681,39022,74399,18494,33318,550909,54943,42229,7545,7773,621166,22852,1172074,28808,15001,9033,73107,21622,0,13552,32570,0,18120,33010,299334,46537,33251,0,7773,614999,0,914333,9022,0,10048,2787,0,5136,71129,6452,73872,0,0,251575,8405,8978,7145,0,6167,22559,257741,19785,14568,1674,6739,1932,434,8039,3366,7705,1541,2879,49854,4760,3515,647,678,56924,2094,106777,2545,1305,777,6497,1930,0,1253,2805,0,1510,2854,26011,4029,2720,0,678,56356,0,82366,801,0,897,242,0,427,6786,561,7655,0,0,23843,730,796,611,0,568,2065,24411,1744,1269,54,6,Jun,Jun2006,2006
19578,76221,21919,5209,84821,38721,76186,19132,32535,553906,56694,40594,7583,7679,603878,23418,1157784,28479,15137,9519,73227,21868,0,13370,32258,0,18688,32092,301402,48280,33838,0,7672,598344,0,899746,8835,0,10059,2994,0,5122,71452,6463,75761,0,0,252504,8414,6756,7162,0,5534,23093,258037,19644,14639,1683,6711,1743,427,8359,3246,8048,1594,2758,49861,4761,3336,638,671,57289,2066,107150,2529,1288,802,6462,1739,0,1242,2711,0,1557,2721,25612,4049,2745,0,671,56815,0,82427,758,0,881,250,0,420,7117,535,8009,0,0,24249,712,591,601,0,474,2038,24723,1771,1245,55,7,Jul,Jul2006,2006
20065,76781,22352,5035,83530,39374,73190,19387,36248,555719,57075,41903,7229,7589,590330,23456,1146049,27763,14742,9858,73435,22297,0,13190,33008,0,18805,35881,306563,48623,34016,0,7577,584601,0,891165,7997,0,10207,3346,0,4939,70340,6366,72577,0,0,249155,8452,7888,6863,0,5729,23174,254884,19766,14222,1773,6975,1994,463,8482,3380,8358,1616,3117,52110,4934,3553,640,688,56489,2199,108598,2582,1355,840,6672,1990,0,1257,2850,0,1567,3087,26836,4183,2812,0,687,55977,0,82813,709,0,933,303,0,455,7225,530,8298,0,0,25274,751,742,606,0,512,2174,25785,1874,1298,56,8,Aug,Aug2006,2006
20502,77977,23392,5363,84416,39608,70659,19628,34674,556000,56502,41841,7834,7560,580144,23314,1136144,27766,14966,10185,74597,23372,0,13901,33085,0,18890,34212,307094,47777,33405,0,7556,574270,0,881363,8279,0,10318,3380,0,5259,70515,6523,70247,0,0,248906,8726,8436,7441,0,5875,23010,254781,19486,14343,1818,7126,1893,602,7738,3374,7640,1636,3028,50909,4940,3551,722,676,52193,2168,103102,2639,1359,886,6766,1892,0,1182,2804,0,1574,2990,26546,4097,2769,0,676,51634,0,78179,740,0,932,361,0,593,6556,569,7600,0,0,24364,844,783,687,0,559,2142,24923,1899,1297,57,9,Sep,Sep2006,2006
20310,76633,23304,4990,85377,39509,69912,20797,32721,555162,56759,42046,8103,7723,568119,24034,1123281,27777,15168,10229,72694,23277,0,14394,32761,0,19974,32318,304567,47311,33813,0,7716,561811,0,866378,8363,0,10081,3940,0,4922,70983,6748,69466,0,0,250595,9449,8232,7693,0,6308,23692,256903,19414,14715,1792,6876,2081,377,7234,3407,7073,1733,2864,49647,4832,3753,719,681,51075,2212,100721,2620,1394,887,6579,2079,0,1206,2837,0,1665,2831,26771,4057,3035,0,680,50567,0,77338,758,0,905,297,0,371,6027,571,7031,0,0,22876,776,718,682,0,508,2183,23384,1862,1348,58,10,Oct,Oct2006,2006
20158,79571,23042,5114,88047,40154,70891,21212,32686,566451,57653,44987,8155,7780,555812,23523,1122263,28279,15199,9910,75553,23000,0,14730,33233,0,20207,32408,312164,48541,36433,0,7747,549484,0,861649,8578,0,10248,4018,0,5038,73317,6921,70446,0,0,254286,9112,8554,7717,0,6328,23104,260614,19701,14751,1724,6777,2052,438,7061,3399,6002,1768,2788,48009,4861,3897,724,682,45842,2053,93850,2505,1277,839,6422,2049,0,1190,2811,0,1684,2765,26665,4104,3210,0,680,45308,0,71972,754,0,885,356,0,432,5872,588,5959,0,0,21344,757,688,686,0,534,2017,21878,1750,1241,59,11,Nov,Nov2006,2006
20392,81486,23990,5342,91920,41866,72324,20846,33088,583666,59672,47945,8456,7815,551189,23745,1134855,29466,15312,9646,77579,23928,0,15097,34704,0,19914,32700,320162,50482,37608,0,7812,544460,0,864622,8832,0,10746,3907,0,5261,76823,7162,71882,0,0,263503,9189,10337,8013,0,6729,23343,270232,20633,14822,1598,6291,2175,410,6733,3357,4431,1737,2859,44931,4668,3988,692,619,40100,1830,85031,2363,1181,769,5984,2170,0,1150,2779,0,1660,2827,25998,3941,3223,0,619,39569,0,65567,735,0,829,307,0,403,5582,578,4398,0,0,18933,727,765,658,0,531,1795,19464,1628,1147,60,12,Dec,Dec2006,2006
19668,81996,23853,5662,90208,42053,78567,21403,33765,593821,61495,49150,8828,7864,544590,24970,1138412,28914,15425,8990,77865,23777,0,14950,34572,0,20478,33382,320249,51815,37115,0,7858,538065,0,858314,7740,0,10678,4131,0,5549,75257,7481,78215,0,0,273573,9680,12035,8410,0,6525,24598,280098,21174,14974,1419,5935,1690,468,6300,3339,3909,1784,2554,42215,4700,3951,675,590,36794,1732,79009,2048,1123,699,5627,1684,0,1094,2738,0,1707,2523,24435,3962,3085,0,590,36329,0,60764,602,0,720,309,0,459,5206,601,3883,0,0,17780,737,865,644,0,466,1704,18245,1445,1093,61,1,Jan,Jan2007,2007
18947,84275,26671,4889,89106,42562,76517,22241,34876,600773,60919,52951,8709,7700,537980,25581,1138752,29037,15792,8698,80407,26619,0,15407,35270,0,21182,34468,332339,51248,41447,0,7689,531361,0,863700,8170,0,10249,3868,0,4770,73699,7292,76093,0,0,268434,9671,11504,8271,0,6619,25216,275052,20867,15406,1388,6133,1920,363,6089,3313,3817,1853,2609,42611,4653,4273,635,583,35889,1775,78501,2030,1176,688,5854,1916,0,1123,2738,0,1765,2575,25361,3945,3452,0,582,35401,0,60761,603,0,700,279,0,353,4966,576,3790,0,0,17251,708,822,603,0,489,1750,17740,1427,1150,62,2,Feb,Feb2007,2007
20360,84793,26845,4869,90904,42705,75742,24845,34401,611969,64076,56951,9284,7535,534787,23433,1146756,28916,16313,9765,80852,26758,0,15041,35014,0,23653,33954,340354,53619,43766,0,7529,527997,0,868351,8608,0,10595,3941,0,4776,75863,7692,75239,0,0,271615,10457,13185,8839,0,6790,23076,278405,20308,15912,1621,6579,2213,375,6627,3471,4405,2070,2740,46325,5150,4633,707,590,41096,1761,87421,2106,1277,814,6262,2206,0,1177,2850,0,1971,2703,27347,4315,3662,0,589,40572,0,67919,669,0,807,317,0,367,5450,621,4375,0,0,18978,836,971,674,0,524,1735,19503,1437,1245,63,3,Mar,Mar2007,2007
20365,87248,25741,4572,93790,42988,75967,26348,36201,619841,61643,57154,9314,7519,530796,24353,1150637,30262,16377,9616,83531,25695,0,15768,35047,0,25103,35825,345178,51523,44520,0,7519,523714,0,868892,8988,0,10749,3717,0,4428,78022,7941,75497,0,0,274663,10119,12634,8818,0,7082,23923,281745,21275,15873,1712,7061,2028,355,7345,3555,5419,2196,2966,49500,5223,4589,759,598,44144,1922,93644,2436,1339,815,6751,2024,0,1299,2875,0,2092,2934,28147,4370,3494,0,598,43555,0,71702,735,0,897,310,0,343,6046,680,5385,0,0,21352,853,1095,719,0,589,1888,21942,1701,1298,64,4,Apr,Apr2007,2007
21476,91396,27683,5087,96196,43394,75974,27877,35682,640082,64264,61747,9657,7595,521544,24460,1161625,30881,16713,9943,87584,27616,0,15984,34984,0,26479,35234,358048,52676,49362,0,7574,514176,0,872224,8638,0,11533,3812,0,4913,80212,8410,75536,0,0,282034,11588,12385,9149,0,7368,24099,289401,22243,16220,1881,7834,2375,407,8017,3683,6821,2323,2977,54457,5554,5078,791,627,45233,2109,99690,2564,1416,851,7517,2369,0,1404,2971,0,2207,2940,30258,4554,3919,0,625,44583,0,74841,737,0,1031,317,0,392,6613,713,6786,0,0,24199,1000,1159,749,0,650,2076,24849,1827,1375,65,5,May,May2007,2007
20331,91994,28225,5291,98341,42846,75674,28772,38032,649987,64251,66448,10017,7616,512950,24427,1162937,31421,16302,10040,88093,28115,0,16880,34806,0,27433,37526,369495,52398,55295,0,7612,505362,0,874858,9200,0,10291,3901,0,5132,81462,8040,75261,0,0,280492,11853,11153,9425,0,7587,24004,288080,22221,15790,1773,8107,2428,421,9353,3681,7560,2398,3285,57868,5489,5495,851,644,47152,2198,105020,2762,1424,848,7786,2419,0,1550,2998,0,2286,3243,31711,4458,4487,0,643,46472,0,78183,805,0,925,320,0,408,7803,684,7520,0,0,26157,1030,1008,798,0,680,2156,26837,1957,1385,66,6,Jun,Jun2007,2007
21931,90645,26924,5292,99169,43512,72330,29754,41246,651962,64135,66369,10213,7616,503067,24311,1155029,33309,15207,10380,86673,26853,0,17493,35103,0,28532,40927,370632,51817,54367,0,7591,495556,0,866187,9050,0,11551,3972,0,5121,81675,8409,71985,0,0,281330,12319,12002,9630,0,7511,23965,288841,24259,14807,1897,8021,2278,438,9830,3650,7808,2480,3494,58828,5498,5486,866,661,47952,2139,106779,2965,1317,870,7690,2272,0,1613,2942,0,2378,3467,31666,4438,4426,0,659,47293,0,78959,753,0,1026,331,0,424,8218,708,7776,0,0,27162,1060,1060,815,0,658,2110,27820,2213,1286,67,7,Jul,Jul2007,2007
22736,92583,28528,5037,99067,44738,76396,30190,40845,670260,67669,71026,10254,7525,488519,24772,1158779,33047,15848,10962,88662,28473,0,17518,35903,0,28883,40314,384672,54451,60345,0,7521,480676,0,865347,9555,0,11774,3920,0,4890,81549,8835,75965,0,0,285589,13218,10681,9640,0,7843,24405,293431,23493,15322,2034,8432,2513,454,10190,3812,8790,2516,3490,62472,5899,5954,903,674,47101,2324,109573,3040,1447,937,8071,2508,0,1662,3086,0,2407,3445,33496,4722,4954,0,674,46384,0,79880,830,0,1097,361,0,442,8529,726,8748,0,0,28976,1177,1000,847,0,717,2293,29693,2210,1389,68,8,Aug,Aug2007,2007
22310,92530,28829,5440,98939,44684,78167,32166,48459,685585,67242,72675,11371,7759,472749,25627,1158334,33230,16158,10575,88628,28655,0,17542,36378,0,30457,48027,395532,55553,60551,0,7702,465463,0,860995,9351,0,11735,3901,0,5386,81397,8306,77714,0,0,290053,11689,12124,10651,0,7286,25276,297339,23879,15622,1966,8469,2253,594,8980,3819,8520,2681,4214,62075,5942,5971,1065,691,42668,2344,104744,3106,1462,890,8072,2239,0,1488,3099,0,2538,4178,33891,4815,4873,0,686,41981,0,75872,815,0,1076,398,0,589,7492,721,8477,0,0,28184,1127,1098,997,0,687,2316,28871,2291,1406,69,9,Sep,Sep2007,2007
21999,92441,28837,5765,99029,45559,77702,34387,49616,697446,69229,78935,10912,7341,455585,25710,1153031,34115,15868,10889,88940,28679,0,17715,36744,0,33136,49256,408729,56815,67546,0,7302,448359,0,857088,9473,0,11110,3501,0,5746,81314,8815,77235,0,0,288717,12414,11389,10224,0,7226,25284,295943,24642,15234,1932,8380,2668,449,8414,3991,8023,2866,4311,62870,6036,7130,965,655,41444,2408,104313,3181,1464,938,8101,2655,0,1490,3242,0,2761,4281,36300,5006,6122,0,652,40861,0,77161,837,0,994,280,0,447,6924,749,7976,0,0,26570,1030,1008,900,0,582,2369,27152,2343,1399,70,10,Oct,Oct2007,2007
22026,92246,28221,5438,102152,45165,78990,33846,44624,693764,69032,78799,11727,7134,439981,25566,1133745,33778,15021,11252,88550,28098,0,17633,36472,0,32788,44181,402136,57025,66933,0,7095,432715,0,834852,9581,0,10775,3695,0,5411,84519,8693,78515,0,0,291628,12007,11866,10948,0,7266,24971,298893,24198,14369,1875,7826,2528,471,8239,3859,6703,2821,3800,58960,5825,6876,1036,640,35974,2228,94934,2977,1260,954,7508,2517,0,1429,3120,0,2732,3763,34518,4859,5942,0,637,35371,0,69889,841,0,921,318,0,468,6810,738,6657,0,0,24442,965,934,971,0,602,2175,25045,2136,1210,71,11,Nov,Nov2007,2007
21875,89432,29541,5682,101267,44493,78688,32640,48293,691443,68416,79254,11514,7287,423496,25304,1114939,33451,14305,11048,85811,29450,0,17697,36331,0,31643,47937,401961,56579,66334,0,7287,416284,0,818244,9443,0,10827,3621,0,5632,83570,8162,78242,0,0,289482,11837,12919,10723,0,7212,24848,296694,24008,13648,1716,6907,2687,468,7374,3594,4907,2720,4193,53703,5293,6620,950,586,30621,1932,84325,2664,1094,889,6621,2679,0,1361,2931,0,2637,4163,32903,4371,5699,0,586,30045,0,62947,784,0,827,287,0,463,6013,664,4875,0,0,20801,922,920,891,0,577,1893,21377,1880,1046,72,12,Dec,Dec2007,2007
22189,93425,30096,5330,102040,44604,76266,31615,48225,701465,69245,84887,12175,7495,409760,25140,1111225,34738,13995,11107,89764,30023,0,18519,36213,0,30643,47727,414495,57686,72961,0,7436,402478,0,816973,9794,0,11082,3661,0,5258,83521,8390,75757,0,0,286970,11559,11926,11272,0,7282,24630,294251,24945,13367,1606,6790,2118,430,7101,3511,3757,2635,3664,50432,5282,6840,927,562,27607,1756,78039,2460,995,857,6518,2112,0,1363,2848,0,2554,3622,31757,4409,5981,0,557,27083,0,58840,749,0,750,273,0,424,5738,663,3720,0,0,18675,873,859,860,0,524,1719,19199,1710,952,73,1,Jan,Jan2008,2008
22047,93845,28701,5197,100490,45397,78084,32618,48639,703545,69603,81366,12262,7202,394436,25374,1097981,36277,16444,10993,90198,28599,0,18042,36856,0,31796,48117,411218,57067,69124,0,7197,387440,0,798658,10673,0,11054,3647,0,5119,82448,8541,77736,0,0,292327,12535,12242,11423,0,6996,24756,299323,25604,15771,1639,6903,2199,396,6912,3584,3989,2718,3723,51184,5514,6633,905,550,26736,1823,77921,2483,1217,878,6629,2190,0,1330,2905,0,2650,3680,32111,4576,5767,0,549,26208,0,58319,778,0,761,274,0,389,5582,679,3964,0,0,19074,938,866,843,0,528,1779,19602,1704,1173,74,2,Feb,Feb2008,2008
22290,89516,29905,5279,102377,46162,82642,33876,48650,705622,68640,78767,12669,7084,397603,25733,1103225,36074,15957,10720,85821,29641,0,17994,37461,0,33143,48212,406082,56232,66792,0,7067,390604,0,796686,10718,0,11571,3695,0,5218,84384,8701,82405,0,0,299540,12408,11975,11900,0,6998,25130,306539,25357,15345,1746,7012,2375,407,7430,3729,4734,2823,3880,53351,5444,6425,975,558,30033,1914,83384,2629,1270,894,6726,2353,0,1388,3023,0,2762,3844,32545,4486,5532,0,557,29503,0,62048,807,0,852,286,0,402,6043,705,4718,0,0,20806,958,893,915,0,530,1869,21336,1821,1223,75,3,Mar,Mar2008,2008
22353,91753,28555,4911,102861,45965,82222,36055,50731,708748,69285,78686,12186,7120,392965,25384,1101713,35028,15653,10495,87956,28292,0,18078,37478,0,35636,50207,411710,56825,67352,0,7109,385491,0,797201,10059,0,11858,3797,0,4870,84783,8487,82028,0,0,297038,12460,11334,11451,0,7474,24713,304512,24969,15073,1880,7460,2312,385,8100,3846,5844,3005,4085,56778,5849,6314,992,572,32313,2034,89092,2796,1304,897,7162,2290,0,1500,3120,0,2970,4042,33695,4819,5313,0,572,31705,0,65400,830,0,983,298,0,382,6600,726,5830,0,0,23083,1029,1001,931,0,609,1979,23692,1967,1256,76,4,Apr,Apr2008,2008
22931,91107,30207,4937,105482,46459,78669,37244,53201,712307,67773,78117,12719,7136,388975,25091,1101282,34330,16904,11332,87302,29996,0,18258,38113,0,36900,52712,414411,55081,66592,0,7088,381551,0,795961,9097,0,11600,3806,0,4901,87224,8345,78488,0,0,297896,12692,11525,12076,0,7424,24386,305320,25233,16528,1989,7739,2501,386,8835,3934,6894,3104,4421,60103,5841,6376,1043,587,33213,2164,93316,2852,1439,956,7422,2483,0,1623,3237,0,3075,4380,34731,4741,5289,0,583,32571,0,67302,779,0,1033,316,0,383,7212,697,6880,0,0,25372,1099,1088,988,0,642,2102,26014,2072,1409,77,5,May,May2008,2008
21932,89302,26768,5269,105337,46596,79418,37087,54849,708203,68357,76479,12255,6924,381412,25151,1089615,35113,17366,10563,85290,26617,0,18405,38487,0,36766,54393,408149,55408,63990,0,6848,373908,0,782057,9384,0,11369,4012,0,5249,86932,8109,79236,0,0,300053,12949,12490,11601,0,7505,24440,307558,25729,16933,1937,7827,2288,426,10064,4005,8064,3091,4693,63065,5904,6342,1045,584,34818,2230,97882,3038,1528,899,7481,2275,0,1703,3307,0,3064,4655,34912,4764,5204,0,578,34147,0,69059,802,0,1038,346,0,425,8361,698,8047,0,0,28153,1139,1138,986,0,670,2159,28823,2236,1495,78,6,Jun,Jun2008,2008
21665,89129,26250,5774,106403,47651,80264,37459,53142,714369,68936,78443,12858,7184,372678,25553,1087047,35616,18042,10714,85398,26131,0,19008,39444,0,37177,52687,411642,55728,66344,0,7184,364796,0,776438,9864,0,10951,3731,0,5696,87395,8207,80068,0,0,302727,13208,12098,12227,0,7882,24854,310609,25752,17684,1891,7881,2270,497,10615,3997,8900,3122,4528,64782,5936,6409,1101,625,35452,2257,100234,3196,1560,902,7565,2260,0,1770,3305,0,3098,4490,35174,4782,5357,0,625,34757,0,69931,854,0,989,315,0,490,8845,692,8884,0,0,29608,1154,1052,1046,0,694,2196,30303,2342,1531,79,7,Jul,Jul2008,2008
21614,85226,24129,5553,108059,47132,81947,38212,54822,709631,68358,76842,12843,6874,359490,24939,1069121,36066,17016,10410,81618,23988,0,18861,38453,0,37793,54318,403732,55254,64184,0,6845,351705,0,755437,10045,0,11204,3609,0,5485,89199,8679,81821,0,0,305899,13104,12658,12300,0,7785,24265,313684,26020,16465,1908,7670,1972,469,11053,3996,9188,3184,4724,65290,5891,6351,1109,614,35076,2281,100366,3342,1538,887,7358,1960,0,1760,3283,0,3149,4682,34665,4737,5153,0,612,34392,0,69057,903,0,1021,312,0,464,9292,713,9176,0,0,30624,1154,1198,1059,0,684,2224,31309,2439,1481,80,8,Aug,Aug2008,2008
21488,82703,24371,4670,105143,47198,81772,37836,57167,711378,69950,80576,13153,7329,348526,25484,1059904,35715,16821,10145,79537,24242,0,19243,39023,0,37579,56659,410629,56122,68898,0,7261,340716,0,751345,10064,0,11343,3166,0,4606,85900,8175,81638,0,0,300748,13828,11678,12684,0,7810,24710,308559,25651,16405,1915,7539,2126,510,9611,4098,9435,3153,5065,65365,6244,6549,1252,655,31938,2345,97303,3356,1514,859,7204,2115,0,1632,3362,0,3132,5023,35379,4896,5447,0,649,31180,0,66560,894,0,1056,334,0,505,7979,737,9423,0,0,29986,1347,1102,1209,0,757,2280,30743,2463,1472,81,9,Sep,Sep2008,2008
21824,80491,23429,5099,107141,48001,83075,37826,59558,719495,68076,83671,13623,7480,337197,26729,1056692,36319,17153,10703,77108,23309,0,19624,39149,0,37596,59071,412683,54526,72349,0,7480,329677,0,742360,9891,0,11121,3383,0,5037,87516,8852,82927,0,0,306812,13550,11322,13115,0,7520,25977,314332,26427,16747,1929,7207,2124,401,9068,4175,8639,3152,5256,65123,5917,7946,1180,663,31486,2513,96609,3390,1563,917,6929,2114,0,1648,3435,0,3133,5216,36862,4770,6973,0,663,30864,0,67726,886,0,1012,278,0,396,7421,741,8623,0,0,28261,1146,973,1134,0,622,2444,28883,2504,1521,82,10,Oct,Oct2008,2008
21088,77345,23260,5219,105973,48862,84013,36508,58379,714390,67926,83581,14815,7469,320917,26924,1035307,35347,17682,9699,74155,23168,0,19125,40437,0,36288,57958,405237,54308,71451,0,7448,313173,0,718410,9665,0,11389,3191,0,5185,86849,8425,83884,0,0,309153,13617,12130,14378,0,7744,26267,316897,25682,17405,1756,6522,1919,423,8411,4125,6908,3042,4888,60013,5623,7538,1276,656,26080,2321,86093,3118,1486,800,6254,1911,0,1517,3417,0,3024,4853,34567,4541,6607,0,655,25452,0,60020,857,0,956,268,0,421,6894,708,6895,0,0,25446,1082,931,1240,0,628,2263,26073,2262,1463,83,11,Nov,Nov2008,2008
20838,72896,22665,5709,104881,47933,81003,33329,59163,698121,64685,83514,15143,7451,301590,26628,999710,34860,17425,9521,69772,22599,0,18357,39453,0,33050,58699,393499,50348,73256,0,7451,294255,0,687754,9517,0,11317,3124,0,5666,86524,8480,80885,0,0,304622,14337,10258,14721,0,7334,26091,311957,25342,17070,1633,5663,2286,502,7691,3902,5010,2777,5178,55204,5120,7352,1280,599,21909,2059,77112,2812,1339,763,5406,2280,0,1392,3197,0,2754,5139,33041,3980,6621,0,599,21310,0,54351,796,0,870,258,0,499,6300,706,5002,0,0,22162,1140,731,1249,0,599,2016,22761,2016,1311,84,12,Dec,Dec2008,2008
19450,68643,20551,4660,106430,46907,80846,30390,63879,683052,62660,81341,14383,7139,286065,25134,969117,35012,15626,9018,65512,20487,0,18633,38230,0,30258,63345,381153,47834,70358,0,7133,278412,0,659565,8801,0,10432,3130,0,4638,87797,8677,80732,0,0,301899,14826,10983,13879,0,7653,24542,309552,26211,15315,1403,5004,1372,359,7348,3657,3821,2533,4847,48245,4782,6150,1080,537,19056,1757,67301,2475,1121,704,4768,1367,0,1354,2980,0,2522,4803,28826,3654,5373,0,536,18505,0,47331,659,0,699,237,0,357,5994,677,3813,0,0,19419,1128,777,1043,0,552,1717,19971,1816,1100,85,1,Jan,Jan2009,2009
