2010 Population,2014 Population,Accommodation and Food Services Sales,American Indian and Alaska Native Alone,American Indian-Owned,Asian Alone,Asian-Owned,Bachelor's Degree or Higher,Black Alone,Black-Owned,Building Permits,County,Foreign Born,High School or Higher,Hispanic or Latino,Hispanic-Owned,Homeownership Rate,Households,Housing Units,Land Area,Language Other than English at Home,Living in Same House +1 Years,Manufacturers Shipments,Mean Travel Time to Work,Median Houseold Income,Median Value of Owner-Occupied Units,Merchant Wholesaler Sales,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander-Owned,Nonemployer Establishments,Per Capita Income,Percent 65 and Older,Percent Female,Percent Under 18 Years,Percent Under 5 Years,Persons Below Poverty Level,Persons per Household,Population Percent Change,Population per Square Mile,Private Non-farm Employment,Private Non-farm Employment Percent Change,Private Non-farm Establishments,Retail Sales,Retail Sales per Capita,State,Total,Two or More Races,Units in Multi-Unit Structures,Veterans,White Alone,"White Alone, not Hispanic or Latino",Women-Owned
413344,431131,5732,1.3,1.4,15.6,15.5,24.3,14.8,8.9,646,Solano County,20.1,87.2,25.6,11.3,61.7,141464,154981,821.77,29.6,82.0,83773,28.9,67177,262400,0,1.0,0.0,21658,28929,13.5,50.3,22.9,6.0,13.0,2.85,4.3,503.0,103470,3.6,6677,48279,11892,CA,27428,6.7,21.9,34948,60.6,39.6,30.9
483878,500292,10054,2.2,1.0,4.3,0.0,32.2,1.9,0.0,663,Sonoma County,16.6,86.7,26.1,7.8,60.1,185660,207232,1575.85,25.5,85.3,58418,25.3,63356,407400,39535,0.4,0.0,43454,32835,16.7,51.0,20.6,5.3,11.9,2.57,3.4,307.1,152105,2.9,13370,64271,13929,CA,52458,3.8,19.1,33151,87.4,64.6,30.4
514453,531997,6151,1.9,1.4,5.9,8.6,16.4,3.3,2.6,454,Stanislaus County,20.5,76.4,44.1,16.2,58.1,166883,180278,1494.83,40.7,81.4,94759,26.6,49297,172900,37590,0.9,0.0,25939,21663,12.1,50.5,27.3,7.3,20.3,3.07,3.4,344.2,128728,2.3,8516,56619,11180,CA,31324,3.9,16.8,25311,84.1,44.3,30.0
94737,95847,1006,2.3,0.0,16.5,0.0,18.7,2.5,0.0,79,Sutter County,22.7,78.3,29.9,0.0,59.6,31725,34096,602.41,37.0,82.0,4948,27.4,50408,188500,8790,0.4,0.0,5193,23602,14.5,50.3,26.4,6.7,16.7,2.95,1.2,157.3,19962,4.2,1696,10653,11644,CA,6625,4.3,19.1,6740,74.0,47.8,28.2
63463,63067,560,3.4,0.0,1.4,0.0,13.5,1.0,0.0,78,Tehama County,8.9,81.1,24.1,0.0,67.5,23374,27239,2949.71,18.8,81.6,5567,23.3,41924,177100,0,0.2,0.0,3232,20439,17.8,50.2,24.0,6.2,19.7,2.66,-0.6,21.5,11381,2.6,956,7353,12103,CA,4272,3.4,9.4,5608,90.7,69.4,32.0
13786,13170,146,5.3,0.0,0.9,0.0,21.3,0.5,0.0,30,Trinity County,3.4,91.3,7.3,0.0,71.2,5668,8784,3179.25,7.2,87.2,0,18.3,36890,257400,0,0.2,0.0,970,22905,24.0,49.0,16.9,4.9,19.2,2.35,-4.5,4.3,1477,6.1,253,691,4966,CA,1481,5.2,5.0,1648,87.9,82.6,0.0
442179,458198,3794,2.8,1.9,4.0,0.0,13.3,2.2,1.4,1092,Tulare County,22.8,68.0,62.9,26.1,57.5,131642,145503,4824.22,49.2,84.9,50159,21.3,42708,163100,0,0.2,0.0,19668,17894,10.4,49.9,31.6,8.9,26.2,3.35,3.6,91.7,88795,2.0,6142,39008,9373,CA,24881,2.4,14.4,18289,88.3,30.3,27.2
55365,53831,865,2.2,0.0,1.3,0.0,19.5,2.1,0.0,55,Tuolumne County,4.8,89.1,11.5,0.0,69.9,22025,31361,2220.88,7.6,84.8,2225,25.1,48426,269400,0,0.2,0.0,4033,25943,23.5,47.8,16.8,4.2,14.5,2.31,-2.8,24.9,12223,2.4,1289,5824,10460,CA,5706,3.3,8.4,5375,90.8,81.1,0.0
823318,846178,14781,1.9,1.6,7.5,7.0,31.4,2.2,1.3,1314,Ventura County,22.8,82.8,42.0,15.0,64.9,267076,284504,1843.13,37.8,86.5,87690,24.6,76544,442200,0,0.3,0.0,64224,32930,13.6,50.5,24.2,6.4,11.1,3.06,2.8,446.7,247116,2.6,20089,110836,14036,CA,80179,3.3,21.1,47834,84.8,46.6,28.8
200849,207590,8403,1.8,0.0,13.8,10.5,37.9,3.0,0.0,218,Yolo County,21.7,84.3,31.5,11.2,52.9,70347,76720,1014.69,34.7,76.0,18533,21.6,55918,314300,64836,0.6,0.0,11858,27730,11.5,51.3,21.7,5.8,19.1,2.76,3.4,197.9,60719,1.4,3878,17657,9106,CA,14782,5.0,30.6,10321,75.9,48.3,29.9
