2010 Population,2014 Population,Accommodation and Food Services Sales,American Indian and Alaska Native Alone,American Indian-Owned,Asian Alone,Asian-Owned,Bachelor's Degree or Higher,Black Alone,Black-Owned,Building Permits,County,Foreign Born,High School or Higher,Hispanic or Latino,Hispanic-Owned,Homeownership Rate,Households,Housing Units,Land Area,Language Other than English at Home,Living in Same House +1 Years,Manufacturers Shipments,Mean Travel Time to Work,Median Houseold Income,Median Value of Owner-Occupied Units,Merchant Wholesaler Sales,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander-Owned,Nonemployer Establishments,Per Capita Income,Percent 65 and Older,Percent Female,Percent Under 18 Years,Percent Under 5 Years,Persons Below Poverty Level,Persons per Household,Population Percent Change,Population per Square Mile,Private Non-farm Employment,Private Non-farm Employment Percent Change,Private Non-farm Establishments,Retail Sales,Retail Sales per Capita,State,Total,Two or More Races,Units in Multi-Unit Structures,Veterans,White Alone,"White Alone, not Hispanic or Latino",Women-Owned
54571,55395,881,0.5,0.0,1.1,1.3,20.9,18.7,15.2,131,Autauga County,1.6,85.6,2.7,0.7,76.8,20071,22751,594.44,3.5,85.0,0,26.2,53682,136200,0,0.1,0.0,2947,24571,13.8,51.4,25.2,6.0,12.1,2.71,1.5,91.8,10120,2.1,817,5981,12003,AL,4067,1.8,8.3,5922,77.9,75.6,31.7
182265,200111,4369,0.7,0.4,0.9,1.0,27.7,9.6,2.7,1384,Baldwin County,3.6,89.1,4.6,1.3,72.6,73283,107374,1589.78,5.5,82.1,14102,25.9,50221,168600,0,0.1,0.0,16508,26766,18.7,51.2,22.2,5.6,13.9,2.52,9.8,114.6,54988,3.7,4871,29664,17166,AL,19035,1.6,24.4,19346,87.1,83.0,27.3
27457,26887,0,0.6,0.0,0.5,0.0,13.4,47.6,0.0,8,Barbour County,2.9,73.7,4.5,0.0,67.7,9200,11799,884.88,5.0,84.8,0,24.6,32911,89200,0,0.2,0.0,1546,16829,16.5,46.6,21.2,5.7,26.7,2.66,-2.1,31.0,6611,-5.6,464,1883,6334,AL,1667,0.9,10.6,2120,50.2,46.6,27.0
22915,22506,107,0.4,0.0,0.2,0.0,12.1,22.1,14.9,19,Bibb County,1.2,77.5,2.1,0.0,79.0,7091,8978,622.58,2.1,86.6,0,27.6,36447,90500,0,0.1,0.0,1126,17427,14.8,45.9,21.0,5.3,18.1,3.03,-1.8,36.8,3145,7.5,275,1247,5804,AL,1385,0.9,7.3,1327,76.3,74.5,0.0
57322,57719,209,0.6,0.0,0.3,0.0,12.1,1.8,0.0,3,Blount County,4.3,77.0,8.7,0.0,81.0,21108,23826,644.78,7.3,88.7,3415,33.9,44145,117100,0,0.1,0.0,3563,20730,17.0,50.5,23.6,6.1,15.8,2.7,0.7,88.9,6798,3.4,660,3197,5622,AL,4458,1.2,4.5,4540,96.0,87.8,23.2
10914,10764,36,0.8,0.0,0.3,0.0,12.5,70.1,0.0,1,Bullock County,5.4,67.8,7.5,0.0,74.3,3741,4461,622.81,5.2,84.7,0,26.9,32033,70600,0,0.7,0.0,470,18628,14.9,45.3,21.4,6.3,21.6,2.73,-1.4,17.5,0,0.0,112,438,3995,AL,417,1.1,8.7,636,26.9,22.1,38.8
20947,20296,284,0.4,0.0,0.9,3.3,14.0,44.0,0.0,2,Butler County,0.8,76.3,1.2,0.0,70.3,8235,9916,776.83,1.7,94.6,3991,24.0,29918,74700,567,0.0,0.0,1095,17403,18.0,53.6,23.6,6.1,28.4,2.47,-3.1,27.0,5711,2.7,393,2292,11326,AL,1769,0.8,13.3,1497,53.9,53.1,0.0
118572,115916,1865,0.5,0.0,0.9,1.6,16.1,21.1,7.2,114,Calhoun County,2.4,78.6,3.5,0.5,68.7,45196,53289,605.87,4.5,83.6,26799,22.5,39962,100600,0,0.1,0.0,6352,20828,16.0,51.8,22.2,5.7,21.9,2.54,-2.3,195.7,34871,0.6,2311,15429,13678,AL,8713,1.7,13.8,11385,75.8,72.9,24.7
34215,34076,232,0.3,0.0,0.8,0.0,11.8,39.5,0.0,8,Chambers County,1.1,75.1,2.0,0.0,67.9,13722,16894,596.53,1.3,85.8,6672,24.6,32402,81200,0,0.1,0.0,2354,19291,18.3,52.3,21.4,5.9,24.1,2.46,-0.3,57.4,6431,-0.2,515,2646,7620,AL,1981,1.1,11.1,2691,58.3,56.8,29.3
25989,26037,139,0.5,0.0,0.3,0.0,12.8,4.6,0.0,2,Cherokee County,0.7,78.3,1.5,0.0,76.1,11656,16241,553.7,1.1,90.6,3074,26.9,34907,99400,622,0.0,0.0,1560,22030,20.9,50.2,20.4,4.8,21.2,2.2,0.2,46.9,3864,5.5,379,1863,7613,AL,2180,1.6,4.6,2174,93.0,91.6,14.5
43643,43931,340,0.5,0.0,0.4,0.0,12.9,10.6,0.0,78,Chilton County,5.2,76.0,7.7,0.0,74.5,16232,19221,692.85,7.4,88.8,0,31.8,41250,102600,1551,0.2,0.0,2719,20701,15.2,50.8,24.2,6.4,19.5,2.67,0.7,63.0,7396,8.8,703,3599,8496,AL,0,1.2,4.1,3308,87.1,80.3,0.0
13859,13323,113,0.2,0.0,0.3,0.0,11.8,42.4,26.2,0,Choctaw County,0.3,75.2,0.8,0.0,83.7,5518,7231,913.5,1.3,91.4,0,33.4,33941,58200,529,0.0,0.0,809,20323,20.8,52.5,20.6,4.9,21.5,2.45,-3.9,15.2,2900,1.4,255,846,5969,AL,1102,0.5,4.0,938,56.6,56.1,44.1
25833,24945,235,0.4,0.0,0.5,0.0,11.2,44.2,0.0,11,Clarke County,0.3,78.3,1.3,0.0,72.9,9631,12583,1238.47,1.3,92.5,5714,25.5,29357,85600,858,0.0,0.0,1640,18979,18.0,52.8,22.6,5.6,29.3,2.63,-3.5,20.9,6648,3.7,586,3443,13034,AL,2374,0.8,6.8,1583,54.0,53.1,28.6
13932,13552,43,0.6,0.0,0.3,0.0,9.2,14.5,0.0,0,Clay County,2.2,76.5,3.4,0.0,75.0,5649,6736,603.96,3.3,88.3,3308,30.7,34002,79900,0,0.0,0.0,792,18694,19.4,50.6,21.6,5.3,19.0,2.38,-2.7,23.1,2993,4.6,190,705,5123,AL,1005,1.8,10.0,1076,82.8,79.7,0.0
14972,15080,41,0.4,0.0,0.2,0.0,9.0,3.6,0.0,1,Cleburne County,1.5,76.0,2.5,0.0,77.6,5601,6690,560.1,2.3,89.1,0,31.4,38019,100800,58,0.1,0.0,930,19108,18.4,50.4,23.3,5.7,18.4,2.64,0.7,26.7,1548,-4.8,152,1334,9080,AL,1280,1.2,6.3,989,94.5,92.3,17.7
49948,50909,500,1.4,0.0,1.6,1.3,22.5,17.7,6.0,58,Coffee County,5.1,82.4,6.4,0.7,69.9,18820,22852,678.97,7.5,83.3,6137,21.3,43768,131000,1315,0.4,0.0,2602,23380,15.9,50.5,23.7,6.1,18.6,2.65,1.9,73.6,12762,0.3,954,6396,13665,AL,4032,2.5,13.5,6066,76.4,71.3,29.3
54428,54543,619,0.6,0.0,0.5,0.0,17.7,16.3,0.0,143,Colbert County,2.0,83.5,2.6,0.0,72.1,22260,26192,592.62,2.6,87.2,20831,22.7,39077,99300,3513,0.1,0.0,3630,21572,18.5,51.8,21.7,5.7,17.9,2.42,0.2,91.8,19820,6.2,1226,8212,15040,AL,4757,1.7,12.3,4376,80.8,78.8,22.8
13228,12670,86,0.4,0.0,0.1,0.0,8.8,46.2,0.0,3,Conecuh County,0.6,77.3,1.8,0.0,79.1,4994,7055,850.16,2.2,96.9,1835,27.2,24658,69600,767,0.0,0.0,756,15605,20.4,51.9,21.4,5.5,32.7,2.61,-4.2,15.6,2197,-1.5,194,712,5430,AL,980,1.2,7.2,1101,52.1,51.1,23.0
11539,10886,5,0.6,0.0,0.2,0.0,9.8,31.8,0.0,0,Coosa County,1.8,75.0,2.3,0.0,83.0,4506,6458,650.93,3.3,87.2,895,30.2,37277,75100,316,0.2,0.0,367,18493,18.5,49.5,18.3,4.8,20.9,2.42,-7.4,17.7,992,3.9,93,205,1904,AL,545,1.2,3.0,934,66.1,64.8,0.0
37765,37914,302,0.6,0.0,0.5,0.0,14.2,13.0,0.0,8,Covington County,1.4,78.4,1.6,0.0,75.1,15041,18778,1030.46,2.1,86.7,5611,23.3,35869,88800,3386,0.0,0.0,2201,20391,19.8,51.6,22.1,5.9,20.0,2.48,0.4,36.6,10824,0.7,834,4248,11544,AL,2957,1.6,6.0,3433,84.3,83.1,0.0
13906,13977,56,0.5,0.0,1.8,0.0,12.7,24.0,25.8,2,Crenshaw County,2.3,76.7,1.7,0.0,69.9,5601,6708,608.84,3.2,86.3,2708,30.3,36275,70800,1318,0.1,0.0,811,21343,18.0,51.1,22.7,6.1,19.1,2.46,0.5,22.8,3139,1.0,211,754,5491,AL,1027,1.6,8.0,1098,72.0,70.6,30.2
80406,81289,1022,0.6,0.0,0.5,1.1,14.8,1.4,1.1,77,Cullman County,3.0,79.8,4.4,0.0,75.0,31342,37131,734.84,4.6,87.0,13934,26.4,38847,106100,0,0.0,0.0,5549,20760,17.6,50.5,22.5,5.9,18.8,2.53,1.1,109.4,22185,3.6,1714,8670,10757,AL,7873,1.2,8.2,6167,96.2,92.1,23.9
50251,49484,372,0.8,0.0,1.3,0.0,17.0,19.7,0.0,17,Dale County,3.7,84.1,6.1,0.0,61.1,19345,22832,561.15,6.3,78.4,1149,20.9,44889,99400,693,0.1,0.0,2444,22685,15.4,50.5,23.6,6.3,17.4,2.52,-1.5,89.6,11924,-1.6,766,3325,6889,AL,2951,2.8,13.6,6730,75.2,70.2,0.0
43820,41711,337,0.2,0.0,0.5,4.4,14.2,69.5,49.1,17,Dallas County,0.8,77.5,1.0,0.0,60.9,16173,20240,978.7,1.3,86.7,11747,22.0,26519,75700,0,0.0,0.0,2179,17245,15.6,53.7,25.2,6.7,35.5,2.63,-4.8,44.8,10420,-1.0,757,4373,10223,AL,3148,0.7,19.3,2897,29.0,28.5,28.8
71109,71065,679,2.1,0.8,0.4,0.6,10.7,2.1,0.0,31,DeKalb County,7.5,70.6,14.2,0.0,76.3,24923,31035,777.09,11.2,90.9,18316,23.3,37851,93400,0,0.7,0.0,4679,18149,15.7,50.7,24.7,6.2,19.9,2.82,-0.1,91.5,16841,3.9,1082,6351,9303,AL,5908,2.2,6.7,4371,92.4,80.6,25.8
79303,80977,478,0.4,0.0,0.7,0.0,21.0,21.2,9.1,259,Elmore County,2.1,86.6,2.7,0.0,75.5,28324,33326,618.49,3.6,85.4,7663,28.2,54766,144600,1048,0.1,0.0,4850,23856,14.0,51.5,23.0,5.9,13.4,2.62,2.1,128.2,14056,-2.3,1135,6183,7982,AL,6513,1.6,8.1,8364,76.0,73.7,28.3
38319,37733,319,3.4,3.2,0.3,0.0,11.7,32.4,9.0,26,Escambia County,0.6,76.2,2.1,0.0,72.5,13681,16402,945.08,1.4,93.4,6653,23.5,30687,84100,931,0.1,0.0,2111,16540,16.7,48.8,22.0,6.1,25.4,2.59,-1.5,40.5,9977,1.0,723,3795,10089,AL,2765,1.7,9.0,2995,62.2,60.6,21.3
104430,103531,1379,0.5,0.0,0.8,0.0,14.8,15.5,6.1,79,Etowah County,2.2,81.8,3.7,0.6,72.4,40217,47505,534.99,3.1,85.0,12529,23.9,38013,100000,5184,0.3,0.0,6988,20204,17.3,51.6,22.1,5.7,19.0,2.55,-0.9,195.2,29796,-0.5,2008,11148,10801,AL,9147,1.6,12.1,8638,81.2,78.4,25.7
17241,16874,108,0.4,0.0,0.3,0.0,13.2,11.9,5.1,0,Fayette County,0.6,74.9,1.4,0.0,74.9,6956,8404,627.66,0.8,87.8,1862,27.5,33838,71400,224,0.0,0.0,1073,18494,19.6,50.5,21.7,5.4,19.9,2.41,-2.1,27.5,3323,-3.8,306,1303,7433,AL,1378,1.1,8.7,1221,86.2,85.0,24.3
31704,31601,253,1.5,0.0,0.4,0.0,11.0,4.6,0.0,13,Franklin County,8.4,72.5,16.1,0.0,69.5,12437,14048,633.82,13.2,86.4,6719,26.2,36415,82300,673,0.2,0.0,1863,18888,15.9,50.3,24.3,6.6,21.9,2.52,-0.3,50.0,9369,-8.0,510,2690,8786,AL,2357,1.5,12.0,1860,91.9,78.0,23.2
26790,26712,104,1.0,0.0,0.4,0.0,10.4,9.7,0.0,8,Geneva County,1.8,77.2,3.6,0.0,72.1,10945,12646,574.41,3.0,82.7,1533,25.6,35625,78100,2316,0.1,0.0,1584,20199,19.2,50.8,22.2,5.8,21.2,2.43,-0.3,46.6,3791,2.8,400,1700,6612,AL,1736,1.7,5.6,2336,87.1,84.1,0.0
9045,8553,12,0.2,0.0,0.2,0.0,12.8,80.5,60.3,4,Greene County,0.2,76.2,1.0,0.0,73.2,3264,4988,647.11,1.4,92.4,0,28.0,24226,72700,0,0.0,0.0,506,14930,17.9,52.5,23.3,5.9,32.9,2.72,-5.4,14.0,1379,16.3,99,336,3697,AL,657,0.6,8.9,502,18.5,17.9,36.1
15760,15184,31,0.2,0.0,0.3,0.0,12.8,58.1,0.0,8,Hale County,1.2,77.4,1.3,0.0,78.0,5969,7639,643.94,2.7,90.6,0,27.1,30051,79900,0,0.0,0.0,762,18812,17.3,52.8,23.3,6.2,26.6,2.56,-3.7,24.5,1966,0.2,195,867,4794,AL,882,0.6,6.1,995,40.8,40.0,0.0
17302,17190,74,0.3,0.0,0.7,0.0,16.6,27.3,0.0,17,Henry County,2.9,80.1,2.6,0.0,77.7,7001,8961,561.75,5.0,91.9,4258,26.0,41650,97000,0,0.0,0.0,1034,21924,20.8,51.8,21.2,5.5,14.4,2.44,-0.6,30.8,2754,-2.4,293,925,5559,AL,1091,1.2,4.6,1497,70.4,68.4,18.2
101547,104193,1772,0.5,0.0,0.9,1.4,19.7,26.7,12.1,311,Houston County,2.4,83.9,3.3,1.3,64.6,39250,46442,579.82,4.4,86.3,13106,20.8,40948,122300,0,0.1,0.0,6819,23316,16.1,52.1,23.7,6.2,18.0,2.58,2.6,175.1,43139,0.5,2702,19096,19608,AL,10151,1.8,14.6,9254,70.0,67.3,25.5
53227,52665,393,1.6,4.3,0.5,0.0,13.0,3.6,0.0,39,Jackson County,2.2,74.6,2.9,0.0,75.2,20765,24755,1077.87,3.4,91.2,15253,26.4,37634,93400,0,0.1,0.0,3098,20486,18.6,50.7,21.7,5.4,16.0,2.53,-1.1,49.4,12440,4.2,856,4109,7784,AL,4337,2.6,6.9,4000,91.5,89.4,26.8
658466,660793,12681,0.3,0.4,1.6,2.4,30.0,42.9,23.4,2280,Jefferson County,4.1,87.4,3.8,1.3,64.7,259634,305040,1111.28,5.9,83.8,102609,23.4,45429,140800,137567,0.1,0.0,44987,26906,14.3,52.8,23.1,6.6,18.0,2.48,0.4,592.5,319199,2.0,16232,110663,16730,AL,55470,1.1,24.2,46613,54.0,50.8,29.8
14564,14086,60,0.2,0.0,0.1,0.0,9.5,11.3,0.0,0,Lamar County,0.6,76.1,1.4,0.0,71.5,6084,7326,604.85,1.0,87.8,2349,25.7,36028,66800,0,0.0,0.0,932,19026,20.5,51.2,21.7,5.0,22.3,2.32,-3.3,24.1,2943,4.6,241,707,4887,AL,1340,1.4,9.0,1127,87.1,85.8,25.8
92709,93096,1365,0.5,0.0,0.9,0.8,21.1,10.4,5.5,54,Lauderdale County,2.1,83.8,2.4,0.0,69.9,38458,44353,667.7,3.0,86.1,10836,24.5,42844,114300,5145,0.1,0.0,6576,23510,18.2,52.1,20.5,5.2,17.2,2.36,0.4,138.8,25839,3.4,1967,11315,12783,AL,8317,1.5,15.4,7000,86.7,84.7,27.6
34339,33477,227,5.8,0.0,0.2,0.0,11.9,11.4,0.0,0,Lawrence County,1.0,77.1,2.2,1.1,80.1,13382,15171,690.68,1.9,90.5,0,27.8,38551,94200,237,0.0,0.0,1990,20181,16.8,51.3,21.7,5.3,17.5,2.52,-2.5,49.7,4232,-6.3,407,1669,4889,AL,2289,4.4,5.9,1891,78.1,76.4,0.0
140247,154255,2012,0.4,0.0,3.3,2.0,32.5,23.7,16.2,943,Lee County,5.1,86.7,3.9,0.0,61.7,55864,65566,607.54,6.9,76.4,0,21.4,43542,146900,0,0.1,0.4,9361,23506,10.3,50.7,21.6,5.8,22.0,2.49,9.9,230.8,38782,3.4,2500,14516,11099,AL,10319,1.5,23.8,10045,70.9,67.7,28.2
82782,90787,681,0.8,1.1,1.4,0.8,22.7,13.5,4.8,140,Limestone County,4.3,81.5,5.8,1.3,76.6,31794,35445,559.94,6.4,88.1,9472,26.3,48619,134500,2482,0.2,0.0,5417,25020,13.8,49.7,23.4,5.9,14.7,2.56,9.7,147.8,15305,1.3,1308,7232,9785,AL,5914,2.1,8.9,6964,82.0,77.2,25.8
11299,10580,5,0.3,0.0,0.2,0.0,14.4,72.9,57.3,5,Lowndes County,0.2,73.9,1.2,0.0,74.9,4212,5089,715.91,0.7,90.4,11568,30.4,26230,71400,0,0.0,0.0,685,18368,17.4,52.3,23.1,6.7,26.7,2.61,-6.4,15.8,1835,-1.3,98,1036,8184,AL,682,0.8,9.5,626,25.8,25.3,35.2
21452,19425,193,0.2,0.0,0.3,0.0,19.6,81.5,66.7,1,Macon County,1.1,80.0,1.5,0.0,65.7,8107,10217,608.89,4.2,83.8,0,23.1,30724,75700,0,0.0,0.0,1166,16826,16.8,54.2,18.3,4.7,27.3,2.29,-9.4,35.2,5381,3.2,217,875,3932,AL,1584,1.4,15.5,1662,16.7,16.2,0.0
334811,350299,5963,0.8,1.4,2.6,3.5,38.5,24.6,12.3,2677,Madison County,5.4,90.0,4.7,1.3,69.3,132975,154452,801.59,7.1,84.7,86507,21.0,58434,164500,29704,0.1,0.0,22681,31933,13.7,51.2,22.4,5.8,12.8,2.5,4.6,417.7,153304,0.8,8095,44386,14145,AL,26467,2.5,21.4,34203,69.4,65.5,29.2
21027,20110,166,0.3,0.0,0.3,0.0,17.4,51.0,0.0,0,Marengo County,0.7,83.7,2.4,0.0,71.3,8464,10207,976.88,1.2,87.4,5421,22.4,35079,89600,645,0.2,0.0,1019,22072,18.6,53.2,23.0,6.0,24.0,2.42,-4.4,21.5,5876,1.8,478,1972,9274,AL,1604,0.8,9.1,1462,47.4,45.6,21.4
30776,30271,190,0.3,0.0,0.3,0.0,9.5,4.2,0.0,0,Marion County,1.0,74.6,2.5,0.0,75.9,12700,14704,742.29,2.5,86.6,7944,24.0,32888,78700,1625,0.1,0.0,1828,19576,20.1,50.4,21.2,5.4,20.9,2.34,-1.6,41.5,8006,5.0,547,2099,7116,AL,2224,1.2,9.6,2287,93.9,91.7,0.0
93019,94636,1035,1.1,0.0,0.7,0.9,15.2,2.7,0.0,28,Marshall County,8.0,76.2,12.9,1.0,71.9,34250,40328,565.84,11.5,86.1,30294,23.9,39526,114000,11387,0.3,0.0,6781,20382,16.3,50.9,24.5,6.6,19.5,2.7,1.7,164.4,30306,0.1,1795,13576,15434,AL,8700,1.6,9.5,7192,93.7,82.3,24.9
412992,415123,5624,1.0,0.0,2.0,2.4,20.7,35.3,18.8,746,Mobile County,3.2,83.9,2.8,1.2,66.6,155178,181611,1229.44,5.0,85.8,124071,23.9,43028,124300,32687,0.1,0.0,29500,22501,14.5,52.2,24.0,6.7,19.8,2.6,0.5,335.9,147574,-0.4,8567,52254,12895,AL,34836,1.5,17.4,33586,60.1,57.8,29.5
23068,21947,147,1.3,0.0,0.4,0.0,10.6,41.1,23.6,0,Monroe County,0.9,76.1,1.2,0.0,74.0,8333,11274,1025.68,1.3,91.8,12519,23.3,29203,76900,928,0.0,0.0,1265,15749,17.9,52.6,23.4,5.5,28.6,2.71,-4.9,22.5,5029,-1.8,393,2126,9342,AL,2257,1.6,6.8,1237,55.5,54.7,24.5
229363,226189,4028,0.3,0.7,2.6,2.4,31.5,56.7,35.6,734,Montgomery County,4.3,85.6,3.4,1.3,61.4,88844,103434,784.25,5.7,78.1,79566,19.3,44790,122900,32755,0.1,0.0,15129,24975,13.3,52.6,24.0,6.8,21.2,2.49,-1.4,292.5,101517,1.2,5533,32381,14351,AL,21463,1.3,22.4,20008,38.9,36.3,30.9
119490,119607,1547,1.1,1.8,0.7,1.0,19.9,12.5,5.9,136,Morgan County,5.1,81.4,7.9,0.0,71.5,46192,51496,579.34,8.0,86.4,0,23.7,44800,120500,12139,0.1,0.0,7506,23764,15.9,50.8,23.1,6.0,15.7,2.55,0.1,206.3,42569,2.0,2589,16376,14222,AL,10034,2.0,15.1,9518,83.5,76.6,21.3
10591,9826,26,0.2,0.0,0.4,0.0,10.4,67.5,55.7,0,Perry County,0.5,70.2,1.3,0.0,67.0,3400,4691,719.66,0.8,92.2,0,26.8,28209,58000,103,0.1,0.0,488,13716,17.9,53.4,22.4,5.5,25.6,2.84,-7.1,14.7,1570,4.0,125,341,3181,AL,854,0.7,11.0,670,31.1,30.3,41.3
19746,20365,63,0.2,0.0,0.3,0.0,11.0,40.2,0.0,3,Pickens County,0.3,79.7,4.1,0.0,72.0,7926,9441,881.41,2.6,91.9,1076,29.3,28741,81900,365,0.4,0.0,1073,17153,17.8,50.6,20.5,5.2,27.2,2.42,3.1,22.4,2707,-1.2,266,1132,5805,AL,1268,0.9,10.7,1610,58.1,54.7,10.0
32899,33389,456,0.7,0.0,2.2,0.0,23.0,36.9,0.0,44,Pike County,4.0,81.0,2.2,0.0,57.8,12959,15807,672.09,5.8,79.3,0,18.7,33090,101000,0,0.1,0.0,1970,19715,14.1,51.9,19.4,5.7,27.6,2.4,1.5,48.9,11009,1.4,628,3679,12189,AL,2527,1.6,18.5,2516,58.5,57.1,0.0
22913,22539,92,0.5,0.0,0.3,0.0,11.1,20.2,7.1,0,Randolph County,1.7,72.6,2.9,0.0,72.3,9013,11928,580.55,3.4,87.9,4016,26.8,35213,88600,267,0.1,0.0,1388,19830,19.6,51.4,22.0,5.7,24.5,2.48,-1.6,39.5,3481,0.0,340,1614,7209,AL,1550,1.4,5.7,1598,77.6,75.0,0.0
52947,59608,563,0.6,0.0,0.8,0.0,16.0,42.9,33.9,244,Russell County,2.2,80.4,5.0,1.0,61.3,21142,26787,641.14,5.0,81.7,0,23.6,36143,104400,0,0.2,0.0,3523,19678,12.5,51.3,25.3,7.6,22.0,2.6,12.6,82.6,10489,-1.9,783,4282,8526,AL,3823,2.4,19.8,5977,53.1,49.5,32.4
83593,86697,702,0.4,1.0,0.8,1.4,15.5,9.5,2.4,80,St. Clair County,1.8,82.0,2.3,0.0,81.5,31353,35844,631.9,2.5,86.8,9854,30.0,50786,134600,3174,0.1,0.0,5172,23872,15.3,50.1,23.0,6.1,15.2,2.63,3.7,132.3,15265,1.0,1266,5813,7404,AL,6061,1.3,5.1,6928,87.9,85.9,28.1
195085,206655,3018,0.4,0.6,2.2,0.0,40.3,12.1,5.7,896,Shelby County,6.0,91.2,6.0,2.0,79.0,74144,83498,784.93,8.3,86.6,17230,29.0,68770,193000,43855,0.0,0.0,15634,33313,13.0,51.2,24.4,6.0,7.9,2.64,5.9,248.5,76137,2.1,4845,25204,13737,AL,18393,1.3,12.1,13991,84.0,78.5,30.5
13763,13166,81,0.1,0.0,0.4,0.0,14.9,73.5,57.5,3,Sumter County,0.9,75.5,1.1,0.0,64.7,5060,6748,903.89,1.9,87.9,0,23.4,22186,74100,764,0.0,0.0,823,14156,16.3,55.0,19.7,4.8,38.0,2.57,-4.3,15.2,2966,8.1,202,596,4494,AL,730,0.5,16.3,706,25.5,24.8,0.0
82291,81322,670,0.4,0.0,0.4,1.5,13.0,32.5,0.0,65,Talladega County,1.6,78.9,2.3,0.0,71.2,31486,37177,736.78,2.8,85.0,90542,23.9,35439,92600,0,0.0,0.0,3988,19410,16.1,51.4,22.3,5.5,22.9,2.5,-1.2,111.7,23763,4.8,1230,7307,9113,AL,4872,1.5,11.6,6691,65.2,63.4,26.6
41616,41165,282,0.4,0.0,0.5,0.0,16.3,27.3,13.0,16,Tallapoosa County,1.9,79.2,2.3,0.0,72.2,16373,22029,716.52,2.9,86.0,0,23.9,39130,94900,0,0.0,0.0,2478,21434,19.6,51.4,21.1,5.8,19.8,2.49,-1.1,58.1,10771,4.1,721,3623,8881,AL,3528,1.2,10.1,3631,70.6,68.9,35.0
194656,202212,3274,0.3,0.9,1.5,0.0,27.0,31.0,13.3,1375,Tuscaloosa County,3.5,86.6,3.3,0.0,64.4,67882,87795,1321.76,5.8,81.2,108524,21.8,45408,153300,7606,0.1,0.0,11107,22637,11.7,51.7,21.1,6.0,18.9,2.76,3.9,147.3,72917,3.0,4009,24458,13664,AL,14729,1.1,27.9,12198,66.0,63.2,22.5
67023,65471,738,0.5,0.0,0.4,0.6,10.5,6.4,0.0,8,Walker County,1.2,76.4,2.3,0.0,75.0,25751,30669,791.19,1.4,85.3,3148,29.3,37566,82100,2563,0.1,0.0,3509,20698,18.2,51.4,22.1,5.8,20.9,2.55,-2.3,84.7,15669,4.1,1250,9036,13162,AL,5365,1.3,5.7,5353,91.3,89.4,23.8
17581,16834,0,7.9,0.0,0.1,0.0,9.5,24.6,0.0,2,Washington County,0.9,80.5,1.4,0.0,86.5,6620,8377,1080.21,1.9,91.3,11534,31.8,42156,83900,328,0.1,0.0,1031,20395,17.0,51.2,22.5,4.9,18.4,2.59,-4.3,16.3,5756,-4.7,217,763,4458,AL,1288,1.3,2.0,1025,66.0,65.1,25.6
11670,11098,129,0.2,0.0,0.1,0.0,11.1,71.0,66.2,0,Wilcox County,0.1,76.1,1.0,0.0,74.5,3866,5615,888.5,0.9,93.8,0,21.6,23642,67000,213,0.0,0.0,613,13379,17.7,52.4,24.8,5.7,39.2,2.9,-4.9,13.1,1738,-1.1,189,757,6018,AL,928,0.6,5.7,462,28.1,27.6,37.6
24484,24150,165,0.9,0.0,0.3,0.0,10.4,1.0,0.0,7,Winston County,1.1,72.7,2.9,0.0,74.9,9489,13406,612.98,1.8,83.4,7978,27.0,32900,82500,1656,0.2,0.0,1641,18995,20.0,50.9,20.9,5.0,24.0,2.52,-1.4,39.9,6321,-4.3,439,1667,6853,AL,2380,1.4,5.3,1721,96.3,94.0,19.6
3141,3360,0,20.5,71.8,40.7,0.0,12.0,12.0,0.0,0,Aleutians East Borough,56.6,78.5,13.2,0.0,54.7,435,747,6981.94,63.7,77.4,0,4.8,61250,118500,0,0.6,0.0,241,26535,6.6,30.9,10.1,2.8,16.7,2.46,7.0,0.4,0,0.0,59,93,3309,AK,188,3.4,15.7,99,22.8,11.5,0.0
5561,5750,146,13.0,0.0,34.5,0.0,13.3,7.6,0.0,2,Aleutians West Census Area,34.9,82.7,14.1,0.0,36.4,1033,1932,4390.28,47.4,81.5,6348,6.4,81853,218400,620,2.3,0.0,254,31790,5.4,32.4,12.3,3.6,9.2,3.52,3.4,1.3,4668,1.9,117,467,9823,AK,285,4.7,44.2,354,37.8,26.9,26.3
291826,301010,9333,8.2,5.7,9.2,5.3,32.8,6.3,2.5,770,Anchorage Municipality,9.4,92.5,8.9,3.1,60.6,105208,114332,1704.68,17.3,79.5,0,19.4,77454,282800,29140,2.4,0.0,19252,36214,8.9,48.6,24.9,7.4,7.9,2.73,3.1,171.2,152377,4.5,8609,44827,16096,AK,26726,7.8,33.6,30292,66.1,59.7,30.2
17013,17868,40,81.7,54.7,1.1,0.0,11.7,0.8,0.0,11,Bethel Census Area,1.2,79.5,1.8,0.0,64.2,4358,5920,40570.0,66.7,85.2,0,7.4,51689,189600,34,0.2,0.0,1079,18497,6.6,48.3,36.1,11.1,22.8,3.9,5.0,0.4,3174,0.3,232,967,5658,AK,1238,4.1,13.0,909,12.1,11.5,20.8
