Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
36,192,51,Sierra Leone,4,29,41,2687,-1,1868,13,2711,1818,2009
21,157,4,Georgia,23,24,440,1578,-1,864,48,5196,4660,2009
49,131,10,Gambia,7,49,37,978,-1,419,20,2394,2042,2009
-1,571,-1,Poland,135,-1,1295,8754,8384,10604,460,157116,142831,2009
-1,45,-1,Saint Kitts-Nevis,8,-1,41,310,-1,389,4,13243,11994,2009
114,98,445,Moldova,14,22,72,2295,-1,1239,30,8369,7520,2009
4,232,-1,Morocco,48,4,206,5447,5235,4556,47,21991,19288,2009
-1,25,0,Croatia,7,-1,170,496,-1,718,16,26461,22220,2009
-1,-1,-1,French Polynesia,-1,-1,-1,30,-1,12,-1,-1,18848,2009
-1,13,-1,Guinea-Bissau,-1,-1,-1,20,-1,17,-1,316,53,2009
-1,-1,-1,Kiribati,-1,-1,68,10,-1,-1,-1,1164,1372,2009
-1,19,-1,Switzerland,-1,-1,153,798,1015,529,-1,340943,392854,2009
-1,63,-1,Grenada,21,-1,58,748,-1,683,8,11069,9660,2009
-1,-1,-1,Other Africa,-1,-1,-1,-1,85215,-1,-1,-1,-1,2009
-1,-1,25,"Korea, North",-1,-1,-1,67,-1,28,-1,34,28,2009
-1,345,-1,Belize,126,-1,135,1041,1073,854,116,25867,27348,2009
37,9,6,Chad,0,40,13,102,-1,27,6,541,561,2009
5,32,-1,Estonia,8,8,90,282,-1,209,18,20437,19372,2009
-1,221,-1,Uruguay,52,-1,58,1775,1727,634,118,43515,44590,2009
190,731218,-1,Mexico,99616,65,75151,164920,164067,111630,177075,6601059,6585742,2009
37,216,-1,Lebanon,35,9,296,3831,-1,3787,109,26894,19822,2009
-1,580,-1,"Korea, South",129,-1,2106,25859,-1,17576,265,906006,778910,2009
-1,-1,-1,"Virgin Islands, British",-1,-1,-1,-1,-1,-1,-1,-1,41359,2009
99,198,152,Uzbekistan,5,65,48,5467,-1,1513,84,5723,5028,2009
-1,6,-1,Iceland,-1,-1,28,131,-1,75,-1,35330,32207,2009
7,-1,-1,Djibouti,-1,-1,9,54,-1,19,-1,437,420,2009
-1,20,-1,Bermuda,9,-1,122,108,-1,80,6,-1,44152,2009
-1,57,-1,Dominica,18,-1,78,484,-1,672,17,5855,8101,2009
638,3468,57,Colombia,1124,368,1918,27849,27221,16593,1590,511071,473213,2009
-1,-1,-1,Reunion,-1,-1,-1,-1,-1,-1,-1,-1,636,2009
21,13,762,Burundi,-1,15,14,1505,-1,90,-1,960,676,2009
-1,61,-1,Taiwan,14,-1,459,8038,8105,7606,71,272105,273211,2009
20,2739,-1,Nicaragua,620,19,464,4137,4029,7445,1552,53426,54968,2009
-1,105,-1,Barbados,36,-1,82,603,-1,878,12,57993,62348,2009
0,-1,-1,Madagascar,-1,-1,8,71,-1,49,-1,1084,1110,2009
-1,205,-1,Italy,61,-1,1204,2892,3143,2552,183,1036940,839317,2009
-1,-1,-1,Curacao,-1,-1,-1,-1,-1,-1,-1,-1,-1,2009
8,-1,13452,Bhutan,-1,-1,-1,594,-1,17,-1,578,447,2009
73,202,683,Sudan,10,40,70,3577,-1,2855,9,2584,2125,2009
493,148,7,Nepal,11,172,66,4514,-1,1632,44,18003,15112,2009
-1,-1,-1,Malta,-1,-1,10,58,-1,72,-1,5258,5434,2009
-1,-1,-1,Comoros,-1,-1,-1,-1,-1,-1,-1,92,77,2009
-1,-1,-1,Maldives,-1,-1,125,6,-1,-1,-1,343,326,2009
-1,59,-1,Antigua-Barbuda,28,-1,41,437,-1,456,15,18743,20420,2009
-1,28,-1,Suriname,7,-1,8,227,214,198,10,7851,9465,2009
-1,9,-1,Cayman Islands,-1,-1,21,45,-1,22,-1,-1,69384,2009
-1,-1,-1,Anguilla,-1,-1,4,21,-1,29,-1,-1,6192,2009
-1,-1,-1,Other Europe,-1,-1,-1,-1,27329,-1,-1,-1,-1,2009
-1,-1,-1,Holy See,-1,-1,-1,-1,-1,-1,-1,127,70,2009
17,345,-1,Israel,50,17,873,5612,6208,3410,363,363209,353145,2009
393,862,-1,Venezuela,130,192,458,11154,11392,4735,369,524246,552659,2009
-1,24,-1,Czechoslovakia,5,-1,136,865,1649,503,43,-1,-1,2009
88,81,26,All other countries,34,102,27,36,-1,48,51,-1,-1,2009
-1,-1,-1,Papua New Guinea,-1,-1,7,19,-1,18,-1,862,985,2009
-1,10,-1,Malawi,-1,-1,12,164,-1,58,-1,1850,1688,2009
-1,729,-1,Trinidad and Tobago,258,-1,609,6256,-1,5726,226,173660,170702,2009
154,80,10,Zimbabwe,3,69,60,983,-1,489,24,7238,4733,2009
-1,228,-1,Germany,53,-1,1073,7583,8612,4564,151,2023971,1866557,2009
-1,-1,-1,Vanuatu,-1,-1,4,-1,-1,-1,-1,201,311,2009
-1,21,-1,Denmark,5,-1,137,603,606,156,26,298098,275140,2009
23,157,-1,Senegal,24,25,170,1524,-1,640,64,9582,7975,2009
26,101,52,Kazakhstan,9,20,34,1562,-1,917,25,13756,13020,2009
16,1080,-1,Philippines,269,13,20188,60029,58107,38934,478,311907,270467,2009
237,212,1571,Eritrea,-1,198,45,1928,-1,760,-1,854,312,2009
31,59,46,Kyrgyzstan,-1,7,11,574,-1,338,-1,2783,2443,2009
-1,-1,-1,Mayotte,-1,-1,-1,-1,-1,-1,-1,-1,-1,2009
-1,9,-1,Montserrat,-1,-1,-1,43,-1,59,-1,-1,724,2009
-1,-1,-1,New Caledonia,-1,-1,-1,13,-1,-1,-1,-1,2067,2009
4,62,-1,Macedonia,11,15,66,1128,-1,741,38,7618,6603,2009
-1,47,-1,Paraguay,4,-1,46,530,551,310,43,15290,16492,2009
-1,30,-1,Latvia,4,-1,354,444,-1,404,26,15892,14308,2009
-1,-1,-1,South Sudan,-1,-1,-1,-1,-1,-1,-1,-1,-1,2009
-1,68,-1,Japan,12,-1,671,7690,8218,2192,75,3368590,3231509,2009
8,91,25,Syria,12,18,94,2442,4775,2484,22,7575,5652,2009
-1,-1,-1,Other Asia,-1,-1,-1,-1,112204,-1,-1,-1,-1,2009
-1,-1,-1,Guadeloupe,-1,-1,-1,-1,-1,-1,-1,-1,10677,2009
-1,-1,-1,Sint Maarten,-1,-1,-1,-1,-1,-1,-1,-1,-1,2009
168,36,18202,Burma,-1,108,3867,13621,-1,1447,-1,2937,2089,2009
38,32901,0,Honduras,6998,47,1310,6404,6290,4858,20285,137923,139364,2009
-1,7,9,Equatorial Guinea,-1,-1,-1,32,-1,-1,-1,562,579,2009
308,313,7,Egypt,36,174,534,8844,10810,5224,121,49838,43065,2009
-1,21,-1,Singapore,8,-1,146,832,-1,403,15,103762,123309,2009
-1,6,0,Serbia,0,-1,0,0,-1,15,0,-1,-1,2009
-1,-1,-1,Botswana,-1,-1,11,55,-1,17,-1,2349,2849,2009
-1,486,-1,United Kingdom,201,-1,3129,15748,17417,10060,518,4713284,4430949,2009
-1,-1,-1,Christmas Island,-1,-1,-1,-1,-1,-1,-1,-1,8,2009
-1,-1,-1,Yugoslavia,-1,-1,-1,-1,5992,-1,-1,-1,-1,2009
-1,47,-1,Tunisia,3,-1,49,416,-1,479,12,6334,5412,2009
-1,58,-1,Greece,18,0,395,798,1076,1067,30,75426,67984,2009
126,135,33,Sri Lanka,4,112,462,2009,-1,1367,96,16865,12298,2009
-1,-1,-1,French Guiana,-1,-1,-1,-1,-1,-1,-1,-1,537,2009
-1,63,-1,Zambia,7,-1,16,704,-1,289,9,2944,2756,2009
-1,1486,-1,Canada,457,5,33148,13328,19491,8539,883,1428931,1666498,2010
-1,-1,-1,East Timor,-1,-1,-1,-1,-1,-1,-1,5,-1,2010
-1,-1,-1,Sao Tome and Principe,-1,-1,-1,10,-1,-1,-1,63,129,2010
-1,-1,-1,Guernsey,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
11,29,-1,Turkmenistan,-1,6,5,224,-1,138,-1,1077,997,2010
-1,-1,-1,Other South America,-1,-1,-1,-1,1,-1,-1,-1,-1,2010
18,174,-1,Serbia and Montenegro,27,98,165,2196,-1,2653,82,1151,869,2010
53,962,1053,Unknown,19,92,281,1330,-1,326,40,561254,993187,2010
-1,81,-1,Lithuania,17,-1,685,985,-1,843,49,21595,13369,2010
8,384,9,Cambodia,25,9,52,2986,-1,3756,18,3660,3742,2010
682,274,668,Ethiopia,30,359,270,14266,13853,8903,49,12321,10349,2010
-1,-1,-1,Aruba,-1,-1,-1,49,-1,27,-1,-1,22366,2010
-1,-1,-1,Swaziland,-1,-1,5,22,-1,8,-1,678,928,2010
-1,431,-1,Argentina,121,8,210,4399,4312,3140,230,482637,496355,2010
15,307,-1,Bolivia,67,-1,178,2253,2211,1185,148,44761,42719,2010
185,152,6,Cameroon,19,161,102,4161,-1,1519,52,9832,6645,2010
41,29,-1,Burkina Faso,3,48,22,377,-1,112,5,3004,2328,2010
6,414,-1,Ghana,65,5,279,7429,-1,4211,134,24926,20996,2010
16,148,-1,Saudi Arabia,11,-1,232,1263,-1,739,27,91934,94186,2010
-1,-1,-1,Saint Helena,-1,-1,-1,-1,-1,-1,-1,-1,25,2010
-1,118,-1,Cape Verde,36,-1,74,1668,-1,675,11,2727,2782,2010
-1,-1,-1,Northern Mariana Islands,-1,-1,-1,-1,-1,-1,-1,-1,104,2010
-1,9,-1,Slovenia,3,-1,33,74,-1,64,7,23539,21515,2010
292,39050,-1,Guatemala,9432,131,1767,10467,10263,5375,20277,213056,223093,2010
126,154,-1,Guinea,6,159,40,1379,-1,418,20,2870,1913,2010
7,368,7,Jordan,58,15,230,3868,9327,2436,79,30200,22958,2010
-1,-1,-1,Saint Barthelemy,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
-1,-1,-1,Cocos (Keeling) Island,-1,-1,-1,-1,-1,-1,-1,-1,6,2010
-1,99,-1,Spain,30,-1,689,1684,2040,1115,107,823199,741839,2010
38,309,244,Liberia,26,18,69,4837,2924,3360,21,2075,2024,2010
-1,9,-1,Netherlands,27,-1,14,77,1520,56,68,764482,42717,2010
49,3064,-1,Jamaica,1169,5,1229,19825,19439,12070,312,240304,230147,2010
-1,-1,-1,Oman,-1,-1,-1,63,-1,30,-1,3257,5933,2010
7,82,-1,Tanzania,14,-1,326,1850,-1,466,17,7277,6900,2010
-1,-1,-1,Martinique,-1,-1,-1,-1,-1,-1,-1,-1,9695,2010
-1,-1,-1,Bonaire,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010
