Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,-1,-1,Tokelau,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
18,54,-1,Fiji,19,45,153,2115,-1,1163,28,9944,7983,2006
-1,-1,-1,Liechtenstein,-1,-1,-1,-1,-1,-1,-1,1376,1676,2006
-1,-1,-1,Qatar,-1,-1,27,226,-1,59,-1,2789,6411,2006
4,104,-1,Malaysia,8,-1,178,2281,-1,1264,58,78050,60123,2006
-1,9,-1,Austria,-1,-1,200,524,1301,359,-1,157474,137134,2006
-1,-1,-1,Mozambique,-1,-1,-1,78,-1,62,-1,1074,1222,2006
33,36,20,Uganda,7,36,42,1372,-1,477,19,6073,5176,2006
-1,47,-1,Hungary,14,-1,162,1704,1690,955,61,47707,44522,2006
8,112,-1,Niger,8,10,44,116,-1,46,22,2781,2803,2006
-1,-1,-1,Isle of Man,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
17,66,16,Bosnia-Herzegovina,28,7,64,3789,-1,9686,14,7371,5829,2006
36,2957,-1,Brazil,563,33,2126,17903,17741,7028,3654,698808,663587,2006
-1,-1,-1,San Marino,-1,-1,-1,-1,-1,-1,-1,583,591,2006
-1,-1,-1,Falkland Islands,-1,-1,-1,-1,-1,-1,-1,-1,121,2006
-1,-1,-1,Faroe Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006
-1,80,0,Kuwait,-1,-1,36,1230,-1,903,-1,16518,21607,2006
-1,132,-1,Panama,114,-1,301,2418,2519,1930,95,95314,107812,2006
-1,243,-1,Guyana,174,16,412,9552,9010,7434,115,25331,17207,2006
-1,804,-1,Costa Rica,100,-1,575,3109,3459,1402,695,158216,168477,2006
-1,-1,-1,Luxembourg,-1,-1,7,28,-1,9,-1,9330,13952,2006
-1,-1,-1,American Samoa,-1,-1,-1,28,-1,247,-1,-1,1650,2006
-1,101,-1,Bahamas,68,-1,500,847,-1,574,23,351244,366271,2006
-1,-1,-1,Gibraltar,-1,-1,-1,-1,-1,-1,-1,-1,1652,2006
-1,52,-1,Ireland,11,-1,762,1906,2038,1754,43,496662,435154,2006
-1,8,-1,Palau,11,-1,23,8,-1,36,0,9271,9978,2006
23,363,15,Nigeria,202,30,572,13459,-1,8652,216,61107,48567,2006
-1,-1,-1,Other Oceania,-1,-1,-1,-1,2886,-1,-1,-1,-1,2006
10,1931,-1,Ecuador,470,11,542,17489,17624,8321,1280,163917,162829,2006
