Acceleration,Base Curb Weight,Classification,Driveline,Engine,Engine Type,Height,Horsepower,Hybrid,Length,Make,Model Year,Number Of Forward Gears,Size,Top Speed,Torque,Transmission,Width,city_mpg,fuel,highway_mpg,id,year
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic GX,5,0.0,0.0,153,5 Speed Automatic,0,28,,39,2006 Honda Civic GX Straight-4 5 Speed Automatic,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Coupe,5,0.0,0.0,153,5 Speed Automatic,0,30,,40,2006 Honda Civic Coupe LX AT,2006
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Coupe,5,0.0,0.0,153,5 Speed Manual,0,30,,38,2006 Honda Civic Coupe LX,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Sedan DX,5,0.0,0.0,153,5 Speed Automatic,0,30,,40,2006 Honda Civic Sedan DX Straight-4 5 Speed Automatic,2006
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Sedan DX,5,0.0,0.0,153,5 Speed Manual,0,30,,38,2006 Honda Civic Sedan DX Straight-4 5 Speed Manual,2006
0.0,0,,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Hybrid,0,0.0,0.0,153,Continuously Variable Transmission,0,50,,50,2006 Honda Civic Hybrid Straight-4 Continuously Variable Transmission,2006
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Sedan LX,5,0.0,0.0,153,5 Speed Manual,0,30,,38,2006 Honda Civic Sedan LX Straight-4 5 Speed Manual,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Sedan LX,5,0.0,0.0,153,5 Speed Automatic,0,30,,40,2006 Honda Civic Sedan LX Straight-4 5 Speed Automatic,2006
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Sedan EX,5,0.0,0.0,153,5 Speed Manual,0,30,,38,2006 Honda Civic Sedan EX Straight-4 5 Speed Manual,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Sedan EX,5,0.0,0.0,153,5 Speed Automatic,0,30,,40,2006 Honda Civic Sedan EX Straight-4 5 Speed Automatic,2006
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Coupe,6,0.0,0.0,153,6 Speed Manual,0,22,,31,2006 Honda Civic Coupe Si,2006
0.0,0,Manual transmission,,Ford 3.8L 6 Cylinder FFS,6 Cylinder,0,220,,0,Ford,1994 Ford Mustang Coupe,5,3.8,0.0,0,5 Speed Manual,0,18,,27,1994 Ford Mustang Coupe Ford 3.8L 6 Cylinder FFS 5 Speed Manual,1994
0.0,0,Automatic transmission,,Ford 3.8L 6 Cylinder FFS,6 Cylinder,0,220,,0,Ford,1994 Ford Mustang Coupe,4,3.8,0.0,0,4 Speed Automatic,0,17,,26,1994 Ford Mustang Coupe Ford 3.8L 6 Cylinder FFS 4 Speed Automatic,1994
0.0,0,Automatic transmission,,Ford 4.9L 8 Cylinder FFS,8 Cylinder,0,0,,0,Ford,1994 Ford Mustang Coupe,4,4.9,0.0,0,4 Speed Automatic,0,15,,23,1994 Ford Mustang Coupe Ford 4.9L 8 Cylinder FFS 4 Speed Automatic,1994
0.0,0,Manual transmission,,Ford 4.9L 8 Cylinder FFS,8 Cylinder,0,0,,0,Ford,1994 Ford Mustang Coupe,5,4.9,0.0,0,5 Speed Manual,0,15,,23,1994 Ford Mustang Coupe Ford 4.9L 8 Cylinder FFS 5 Speed Manual,1994
0.0,0,Automatic transmission,,Ford 3L 6 Cylinder,4 Cylinder,0,0,,0,Ford,1986 Ford Taurus Station Wagon,4,0.0,0.0,0,4 Speed Automatic,0,18,,26,1986 Ford Taurus Station Wagon Ford 3L 6 Cylinder 4 Speed Automatic,1986
0.0,0,Manual transmission,,Ford 2.5L 4 Cylinder,,0,0,,0,Ford,1986 Ford Taurus Station Wagon,5,2.5,0.0,0,5 Speed Manual,0,19,,28,1986 Ford Taurus Station Wagon Ford 2.5L 4 Cylinder 5 Speed Manual,1986
0.0,0,Automatic transmission,,Ford 3L 6 Cylinder,4 Cylinder,0,0,,0,Ford,1986 Ford Taurus Station Wagon,4,0.0,0.0,0,4 Speed Automatic,0,16,,23,1986 Ford Taurus Station Wagon Ford 3L 6 Cylinder 4 Speed Automatic,1986
0.0,0,Automatic transmission,,Lexus 4.0L 8 Cylinder Premium,8 Cylinder,0,0,,0,Lexus,1998 Lexus GS 400 Sedan,5,4.0,0.0,0,5 Speed Automatic,0,15,,21,1998 Lexus GS 400 Sedan Lexus 4.0L 8 Cylinder Premium 5 Speed Automatic,1998
