Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,County,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,State,State Abbreviation,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
0,Republican,0.0,3279,Democrat,61.0,0,Republican,0.0,0,Republican,0.0,Adams,0,Republican,0.0,2060,Democrat,38.3,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Colorado,CO,0,Republican,0.0,0,N/A,0.0
30,Republican,11.0,86,Democrat,43.20000000000001,16,Republican,5.8999999999999995,1,Republican,0.4,Adams,68,Republican,24.9,113,Democrat,56.8,7,Republican,2.6,10,Republican,3.7000000000000006,47,Republican,17.2,0,Democrat,0.0,3,Republican,1.0999999999999999,0,N/A,0.0,8,Republican,2.9000000000000004,1,Republican,0.4,Iowa,IA,81,Republican,29.7,0,N/A,0.0
0,Republican,0.0,48,Democrat,69.6,0,Republican,0.0,0,Republican,0.0,Adams,354,Republican,43.1,19,Democrat,27.500000000000004,0,Republican,0.0,64,Republican,7.8,97,Republican,11.799999999999999,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Idaho,ID,292,Republican,35.5,0,N/A,0.0
0,Republican,0.0,1609,Democrat,47.199999999999996,0,Republican,0.0,0,Republican,0.0,Adams,5233,Republican,40.699999999999996,1731,Democrat,50.7,0,Republican,0.0,1427,Republican,11.1,953,Republican,7.400000000000001,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Illinois,IL,4885,Republican,38.0,0,N/A,0.0
0,Republican,0.0,1030,Democrat,51.0,0,Republican,0.0,0,Republican,0.0,Adams,2458,Republican,35.8,991,Democrat,49.0,0,Republican,0.0,367,Republican,5.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Indiana,IN,3851,Republican,56.10000000000001,0,N/A,0.0
11,Republican,2.4,765,Democrat,51.300000000000004,0,Republican,0.0,0,Republican,0.0,Adams,249,Republican,55.00000000000001,702,Democrat,47.099999999999994,0,Republican,0.0,64,Republican,14.099999999999998,80,Republican,17.7,0,Democrat,0.0,0,Republican,0.0,18,N/A,1.2,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,43,Republican,9.5,0,N/A,0.0
0,Republican,0.0,438,Democrat,12.6,0,Republican,0.0,0,Republican,0.0,Adams,1434,Republican,47.599999999999994,3013,Democrat,86.7,0,Republican,0.0,300,Republican,10.0,191,Republican,6.3,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Mississippi,MS,1017,Republican,33.800000000000004,0,N/A,0.0
0,Republican,0.0,284,Democrat,61.6,0,Republican,0.0,0,Republican,0.0,Adams,2798,Republican,62.2,177,Democrat,38.4,0,Republican,0.0,486,Republican,10.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Nebraska,NE,725,Republican,16.1,0,N/A,0.0
0,Republican,0.0,638,Democrat,41.3,0,Republican,0.0,0,Republican,0.0,Adams,2594,Republican,48.199999999999996,877,Democrat,56.8,0,Republican,0.0,1726,Republican,32.1,78,Republican,1.4000000000000001,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Ohio,OH,843,Republican,15.7,0,N/A,0.0
0,Republican,0.0,4066,Democrat,50.9,0,Republican,0.0,0,Republican,0.0,Adams,9754,Republican,57.3,3846,Democrat,48.199999999999996,0,Republican,0.0,2687,Republican,15.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Pennsylvania,PA,4058,Republican,23.9,0,N/A,0.0
