Department,Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1208,369,711,128.0,140,111,3,15,11,1998
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1039,316,612,111.0,68,47,0,18,3,1999
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1030,356,560,114.0,52,29,0,15,8,2000
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1506,462,883,161.0,163,129,2,23,9,2001
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,2119,551,1372,196.0,109,66,1,32,10,2002
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1808,566,1091,151.0,124,95,2,16,11,2003
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1759,539,1065,155.0,101,72,1,23,5,2004
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1569,511,924,134.0,101,69,2,19,11,2005
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1482,415,923,144.0,118,90,2,18,8,2006
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1495,470,908,117.0,108,75,2,24,7,2007
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1249,351,828,70.0,134,99,1,29,5,2008
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1098,334,709,55.0,117,99,3,13,2,2009
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1216,350,824,42.0,95,72,3,14,6,2010
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1235,383,800,52.0,113,93,1,16,3,2011
Cullman County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1165,359,739,67.0,146,133,1,9,3,2012
Cullman Police Dept,13182,3466.8,553.8,2662.7,250.3,30.3,22.8,0.0,0.0,7.6,Alabama,457,73,351,33.0,4,3,0,0,1,1984
Cullman Police Dept,13284,3109.0,617.3,2213.2,278.5,90.3,75.3,0.0,0.0,15.1,Alabama,413,82,294,37.0,12,10,0,0,2,1985
Cullman Police Dept,12763,3345.6,532.8,2609.1,203.7,148.9,148.9,0.0,0.0,0.0,Alabama,427,68,333,26.0,19,19,0,0,0,1986
Cullman Police Dept,12615,4177.6,531.1,3369.0,277.4,340.9,269.5,23.8,0.0,47.6,Alabama,527,67,425,35.0,43,34,3,0,6,1987
Cullman Police Dept,12769,3994.0,924.1,2733.2,336.8,336.8,297.6,0.0,7.8,31.3,Alabama,510,118,349,43.0,43,38,0,1,4,1988
Cullman Police Dept,12320,4358.8,722.4,3344.2,292.2,292.2,251.6,0.0,24.4,16.2,Alabama,537,89,412,36.0,36,31,0,3,2,1989
Cullman Police Dept,13367,4406.4,1032.4,3112.1,261.8,269.3,224.4,0.0,29.9,15.0,Alabama,589,138,416,35.0,36,30,0,4,2,1990
Cullman Police Dept,13527,5078.7,961.0,3858.9,258.7,266.1,199.6,0.0,37.0,29.6,Alabama,687,130,522,35.0,36,27,0,5,4,1991
Cullman Police Dept,13682,4465.7,847.8,3369.4,248.5,336.2,285.0,7.3,14.6,29.2,Alabama,611,116,461,34.0,46,39,1,2,4,1992
Cullman Police Dept,14815,4596.7,769.5,3611.2,216.0,479.2,411.7,0.0,20.2,47.2,Alabama,681,114,535,32.0,71,61,0,3,7,1993
Cullman Police Dept,14928,3771.4,442.1,3081.5,247.9,334.9,268.0,13.4,26.8,26.8,Alabama,563,66,460,37.0,50,40,2,4,4,1994
Cullman Police Dept,18226,4252.2,707.8,3281.0,263.4,252.4,175.6,5.5,43.9,27.4,Alabama,775,129,598,48.0,46,32,1,8,5,1995
Cullman Police Dept,18311,3822.8,535.2,3080.1,207.5,327.7,256.7,0.0,49.2,21.8,Alabama,700,98,564,38.0,60,47,0,9,4,1996
Cullman Police Dept,18508,3290.5,389.0,2744.8,156.7,199.9,151.3,0.0,16.2,32.4,Alabama,609,72,508,29.0,37,28,0,3,6,1997
Cullman Police Dept,18488,3845.7,546.3,3110.1,189.3,194.7,162.3,0.0,27.0,5.4,Alabama,711,101,575,35.0,36,30,0,5,1,1998
Cullman Police Dept,14496,4732.3,745.0,3697.6,289.7,227.6,158.7,0.0,6.9,62.1,Alabama,686,108,536,42.0,33,23,0,1,9,1999
Cullman Police Dept,13995,5702.0,971.8,4437.3,293.0,278.7,178.6,0.0,28.6,71.5,Alabama,798,136,621,41.0,39,25,0,4,10,2000
Cullman Police Dept,14119,6317.7,1062.4,4943.7,311.6,106.2,70.8,0.0,21.2,14.2,Alabama,892,150,698,44.0,15,10,0,3,2,2002
Cullman Police Dept,14103,6317.8,858.0,5027.3,432.5,127.6,35.5,0.0,56.7,35.5,Alabama,891,121,709,61.0,18,5,0,8,5,2003
Cullman Police Dept,14489,5383.4,835.1,4375.7,172.5,103.5,62.1,6.9,27.6,6.9,Alabama,780,121,634,25.0,15,9,1,4,1,2004
Cullman Police Dept,14633,6458.0,888.4,5173.2,396.4,143.5,75.2,0.0,20.5,47.8,Alabama,945,130,757,58.0,21,11,0,3,7,2005
Cullman Police Dept,14868,5811.1,820.6,4620.7,369.9,161.4,60.5,0.0,40.4,60.5,Alabama,864,122,687,55.0,24,9,0,6,9,2006
Cullman Police Dept,14914,6027.9,958.8,4720.4,348.7,154.2,93.9,0.0,20.1,40.2,Alabama,899,143,704,52.0,23,14,0,3,6,2007
Cullman Police Dept,15412,5132.4,480.1,4503.0,149.2,84.3,64.9,0.0,6.5,13.0,Alabama,791,74,694,23.0,13,10,0,1,2,2009
Cullman Police Dept,14775,4568.5,527.9,3864.6,176.0,155.7,115.1,0.0,20.3,20.3,Alabama,675,78,571,26.0,23,17,0,3,3,2010
Cullman Police Dept,14846,5233.7,788.1,4176.2,269.4,188.6,60.6,0.0,74.1,53.9,Alabama,777,117,620,40.0,28,9,0,11,8,2011
Cullman Police Dept,14858,5418.0,646.1,4603.6,168.3,208.6,94.2,6.7,40.4,67.3,Alabama,805,96,684,25.0,31,14,1,6,10,2012
Daphne Police Dept,3673,4056.6,816.8,2994.8,245.0,517.3,435.6,54.5,0.0,27.2,Alabama,149,30,110,9.0,19,16,2,0,1,1984
Daphne Police Dept,3701,2891.1,594.4,2161.6,135.1,486.4,432.3,27.0,0.0,27.0,Alabama,107,22,80,5.0,18,16,1,0,1,1985
Daphne Police Dept,3924,6524.0,1554.5,4791.0,178.4,484.2,229.4,0.0,25.5,229.4,Alabama,256,61,188,7.0,19,9,0,1,9,1986
Daphne Police Dept,4212,8452.0,2041.8,6172.8,237.4,451.1,308.6,0.0,0.0,142.5,Alabama,356,86,260,10.0,19,13,0,0,6,1987
Daphne Police Dept,4340,11820.3,2672.8,8502.3,645.2,253.5,92.2,0.0,23.0,138.2,Alabama,513,116,369,28.0,11,4,0,1,6,1988
Daphne Police Dept,4535,10033.1,2205.1,7387.0,441.0,507.2,374.9,0.0,22.1,110.3,Alabama,455,100,335,20.0,23,17,0,1,5,1989
Daphne Police Dept,11290,4136.4,682.0,3321.5,132.9,239.1,141.7,0.0,0.0,97.4,Alabama,467,77,375,15.0,27,16,0,0,11,1990
Daphne Police Dept,11425,3877.5,682.7,3019.7,175.1,245.1,148.8,0.0,26.3,70.0,Alabama,443,78,345,20.0,28,17,0,3,8,1991
Daphne Police Dept,11556,3833.5,761.5,3020.1,51.9,164.4,69.2,0.0,17.3,77.9,Alabama,443,88,349,6.0,19,8,0,2,9,1992
Daphne Police Dept,12828,3437.8,732.8,2611.5,93.5,140.3,116.9,0.0,0.0,23.4,Alabama,441,94,335,12.0,18,15,0,0,3,1993
Daphne Police Dept,12926,4510.3,851.0,3535.5,123.8,193.4,123.8,0.0,7.7,61.9,Alabama,583,110,457,16.0,25,16,0,1,8,1994
Daphne Police Dept,14595,3823.2,541.3,3179.2,102.8,280.9,205.5,13.7,20.6,41.1,Alabama,558,79,464,15.0,41,30,2,3,6,1995
Daphne Police Dept,14663,4671.6,818.4,3744.1,109.1,218.2,163.7,0.0,27.3,27.3,Alabama,685,120,549,16.0,32,24,0,4,4,1996
Daphne Police Dept,14820,4136.3,857.0,3151.1,128.2,188.9,94.5,0.0,20.2,74.2,Alabama,613,127,467,19.0,28,14,0,3,11,1997
Daphne Police Dept,15669,3235.7,465.9,2648.5,121.3,223.4,114.9,0.0,19.1,89.3,Alabama,507,73,415,19.0,35,18,0,3,14,1998
Daphne Police Dept,15751,2983.9,571.4,2279.2,133.3,50.8,31.7,0.0,6.3,12.7,Alabama,470,90,359,21.0,8,5,0,1,2,1999
Daphne Police Dept,16581,2780.3,289.5,2400.3,90.5,162.8,108.6,0.0,12.1,42.2,Alabama,461,48,398,15.0,27,18,0,2,7,2000
Daphne Police Dept,16645,3052.0,294.4,2625.4,132.2,102.1,54.1,0.0,24.0,24.0,Alabama,508,49,437,22.0,17,9,0,4,4,2001
Daphne Police Dept,16728,2570.5,346.7,2050.5,173.4,155.4,83.7,12.0,17.9,41.8,Alabama,430,58,343,29.0,26,14,2,3,7,2002
Daphne Police Dept,17285,2655.5,428.1,2100.1,127.3,109.9,57.9,0.0,17.4,34.7,Alabama,459,74,363,22.0,19,10,0,3,6,2003
Daphne Police Dept,17813,2026.6,393.0,1482.1,151.6,129.1,67.4,0.0,16.8,44.9,Alabama,361,70,264,27.0,23,12,0,3,8,2004
Daphne Police Dept,18225,2875.2,389.6,2288.1,197.5,142.7,60.4,5.5,21.9,54.9,Alabama,524,71,417,36.0,26,11,1,4,10,2005
Daphne Police Dept,18749,3072.2,506.7,2416.1,149.3,106.7,37.3,0.0,21.3,48.0,Alabama,576,95,453,28.0,20,7,0,4,9,2006
Daphne Police Dept,19352,3012.6,718.3,2165.2,129.2,129.2,72.3,0.0,15.5,41.3,Alabama,583,139,419,25.0,25,14,0,3,8,2007
Daphne Police Dept,19368,2369.9,387.2,1889.7,92.9,216.9,87.8,20.7,5.2,103.3,Alabama,459,75,366,18.0,42,17,4,1,20,2009
Daphne Police Dept,21570,2100.1,357.0,1706.1,37.1,143.7,120.5,0.0,0.0,23.2,Alabama,453,77,368,8.0,31,26,0,0,5,2010
Daphne Police Dept,21674,2413.0,535.2,1794.8,83.0,166.1,106.1,4.6,0.0,55.4,Alabama,523,116,389,18.0,36,23,1,0,12,2011
Daphne Police Dept,22198,2315.5,346.9,1896.6,72.1,180.2,148.7,4.5,18.0,9.0,Alabama,514,77,421,16.0,40,33,1,4,2,2012
Decatur Police Dept,42344,5290.0,1289.4,3778.6,222.0,158.2,96.8,7.1,11.8,42.5,Alabama,2240,546,1600,94.0,67,41,3,5,18,1984
Decatur Police Dept,42671,4351.9,1354.5,2751.3,246.1,189.8,121.9,11.7,18.7,37.5,Alabama,1857,578,1174,105.0,81,52,5,8,16,1985
Decatur Police Dept,43704,6463.9,1784.7,4226.2,453.0,755.1,640.7,9.2,22.9,82.4,Alabama,2825,780,1847,198.0,330,280,4,10,36,1986
Decatur Police Dept,45341,6380.5,1621.0,4375.7,383.8,498.4,405.8,6.6,19.8,66.2,Alabama,2893,735,1984,174.0,226,184,3,9,30,1987
Decatur Police Dept,45989,6669.0,1435.1,4851.2,382.7,434.9,269.6,8.7,21.7,134.8,Alabama,3067,660,2231,176.0,200,124,4,10,62,1988
Decatur Police Dept,46151,6329.2,1527.6,4524.3,277.4,390.0,231.8,8.7,30.3,119.2,Alabama,2921,705,2088,128.0,180,107,4,14,55,1989
Decatur Police Dept,48761,6808.7,1769.9,4690.2,348.6,447.1,235.8,0.0,39.0,172.3,Alabama,3320,863,2287,170.0,218,115,0,19,84,1990
Decatur Police Dept,49345,6620.7,1420.6,4815.1,385.0,585.7,368.8,8.1,24.3,184.4,Alabama,3267,701,2376,190.0,289,182,4,12,91,1991
Decatur Police Dept,49911,7130.7,1506.7,5215.3,408.7,476.8,264.5,6.0,28.0,178.3,Alabama,3559,752,2603,204.0,238,132,3,14,89,1992
Decatur Police Dept,51041,7591.9,1420.4,5660.2,511.4,536.8,299.8,15.7,52.9,168.5,Alabama,3875,725,2889,261.0,274,153,8,27,86,1993
Decatur Police Dept,51430,8343.4,1602.2,6290.1,451.1,493.9,280.0,15.6,60.3,138.1,Alabama,4291,824,3235,232.0,254,144,8,31,71,1994
Decatur Police Dept,52887,6213.2,1274.4,4664.7,274.2,325.2,166.4,13.2,32.1,113.4,Alabama,3286,674,2467,145.0,172,88,7,17,60,1995
Decatur Police Dept,53135,6613.3,1428.4,4885.7,299.2,485.6,256.0,9.4,43.3,176.9,Alabama,3514,759,2596,159.0,258,136,5,23,94,1996
Decatur Police Dept,53707,6671.4,1400.2,5012.4,258.8,491.6,273.7,7.4,33.5,176.9,Alabama,3583,752,2692,139.0,264,147,4,18,95,1997
Decatur Police Dept,54639,6208.0,1315.9,4652.4,239.8,501.5,300.2,7.3,56.7,137.3,Alabama,3392,719,2542,131.0,274,164,4,31,75,1998
Decatur Police Dept,54918,6141.9,1309.2,4566.8,265.9,515.3,282.2,5.5,40.1,187.6,Alabama,3373,719,2508,146.0,283,155,3,22,103,1999
Decatur Police Dept,54407,6603.9,1420.8,4973.6,209.5,398.8,167.3,7.4,31.2,193.0,Alabama,3593,773,2706,114.0,217,91,4,17,105,2002
Decatur Police Dept,54112,7312.6,1441.5,5545.9,325.3,408.4,164.5,7.4,20.3,216.2,Alabama,3957,780,3001,176.0,221,89,4,11,117,2003
Decatur Police Dept,54594,7182.1,1300.5,5542.7,338.9,489.1,199.7,1.8,36.6,250.9,Alabama,3921,710,3026,185.0,267,109,1,20,137,2004
Decatur Police Dept,54861,7280.2,1352.5,5532.2,395.5,364.6,227.8,1.8,21.9,113.0,Alabama,3994,742,3035,217.0,200,125,1,12,62,2005
Decatur Police Dept,55406,6549.8,1292.3,4746.8,510.8,449.4,256.3,3.6,45.1,144.4,Alabama,3629,716,2630,283.0,249,142,2,25,80,2006
Decatur Police Dept,56019,6469.2,1481.6,4612.7,374.9,448.1,210.6,0.0,50.0,187.4,Alabama,3624,830,2584,210.0,251,118,0,28,105,2007
Decatur Police Dept,55941,7143.2,1744.7,5164.4,234.2,520.2,243.1,5.4,51.8,219.9,Alabama,3996,976,2889,131.0,291,136,3,29,123,2008
Decatur Police Dept,56290,5745.2,1320.0,4260.1,165.2,396.2,207.9,0.0,49.7,138.6,Alabama,3234,743,2398,93.0,223,117,0,28,78,2009
Decatur Police Dept,55683,4940.5,1224.8,3448.1,267.6,380.7,210.1,7.2,30.5,132.9,Alabama,2751,682,1920,149.0,212,117,4,17,74,2010
Decatur Police Dept,55951,3769.4,1456.6,2021.4,291.3,352.1,212.7,5.4,34.0,100.1,Alabama,2109,815,1131,163.0,197,119,3,19,56,2011
Decatur Police Dept,56126,5190.1,1462.8,3499.3,228.1,427.6,265.5,3.6,16.0,142.5,Alabama,2913,821,1964,128.0,240,149,2,9,80,2012
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,255,130,105,20.0,22,16,2,0,4,1984
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,331,162,131,38.0,37,25,4,7,1,1985
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,380,183,148,49.0,44,31,3,5,5,1986
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,326,168,122,36.0,58,49,1,5,3,1987
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,320,191,100,29.0,43,35,2,5,1,1988
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,189,93,82,14.0,15,9,0,3,3,1989
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,104,42,45,17.0,5,2,1,0,2,1990
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,172,99,64,9.0,10,8,0,2,0,1991
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,192,105,80,7.0,20,16,0,1,3,1992
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,301,183,114,4.0,6,6,0,0,0,1993
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,250,83,160,7.0,5,5,0,0,0,1994
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,406,159,241,6.0,6,3,1,0,2,1995
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,264,101,158,5.0,6,1,0,4,1,1996
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,0.0,0,0,0,0,0,1998
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,271,98,126,47.0,5,5,0,0,0,2004
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,674,358,210,106.0,195,169,1,23,2,2006
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,686,187,408,91.0,112,79,0,32,1,2007
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,535,168,310,57.0,60,43,1,11,5,2008
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,553,237,285,31.0,36,21,1,11,3,2009
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,0.0,0,0,0,0,0,2010
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,908,320,515,73.0,179,152,4,21,2,2011
Dekalb County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,937,390,471,76.0,211,194,0,13,4,2012
Dothan Police Dept,51864,5668.7,1785.4,3730.9,152.3,503.2,406.8,11.6,21.2,63.6,Alabama,2940,926,1935,79.0,261,211,6,11,33,1984
Dothan Police Dept,52264,5931.4,1417.8,4318.5,195.2,690.7,514.7,19.1,26.8,130.1,Alabama,3100,741,2257,102.0,361,269,10,14,68,1985
Dothan Police Dept,52871,6498.8,1435.6,4847.6,215.6,716.8,559.9,5.7,35.9,115.4,Alabama,3436,759,2563,114.0,379,296,3,19,61,1986
Dothan Police Dept,53714,7176.9,1757.5,5246.3,173.1,556.7,467.3,1.9,22.3,65.2,Alabama,3855,944,2818,93.0,299,251,1,12,35,1987
Dothan Police Dept,53882,8479.6,1902.3,6341.6,235.7,976.2,820.3,9.3,22.3,124.3,Alabama,4569,1025,3417,127.0,526,442,5,12,67,1988
Dothan Police Dept,53997,9111.6,1977.9,6863.3,270.4,1183.4,976.0,16.7,35.2,155.6,Alabama,4920,1068,3706,146.0,639,527,9,19,84,1989
Dothan Police Dept,53589,10761.5,2323.2,8065.1,373.2,1871.7,1604.8,18.7,70.9,177.3,Alabama,5767,1245,4322,200.0,1003,860,10,38,95,1990
Dothan Police Dept,54230,9996.3,1888.3,7853.6,254.5,1456.8,1194.9,11.1,79.3,171.5,Alabama,5421,1024,4259,138.0,790,648,6,43,93,1991
Dothan Police Dept,54853,7392.5,1524.1,5534.8,333.6,924.3,683.6,3.6,80.2,156.8,Alabama,4055,836,3036,183.0,507,375,2,44,86,1992
Dothan Police Dept,55435,7156.1,1506.3,5348.6,301.3,1187.0,912.8,7.2,59.5,207.5,Alabama,3967,835,2965,167.0,658,506,4,33,115,1993
Dothan Police Dept,55858,3376.4,721.5,2470.6,184.4,358.1,239.9,9.0,0.0,109.2,Alabama,1886,403,1380,103.0,200,134,5,0,61,1994
Dothan Police Dept,56241,4571.4,1221.5,3100.9,248.9,419.6,224.0,3.6,8.9,183.1,Alabama,2571,687,1744,140.0,236,126,2,5,103,1995
Dothan Police Dept,56505,4728.8,1215.8,3236.9,276.1,442.4,148.7,15.9,44.2,233.6,Alabama,2672,687,1829,156.0,250,84,9,25,132,1996
Dothan Police Dept,57113,6618.5,1547.8,4720.5,350.2,532.3,213.6,14.0,57.8,246.9,Alabama,3780,884,2696,200.0,304,122,8,33,141,1997
Dothan Police Dept,57054,4218.8,1025.3,2944.6,248.9,392.6,201.6,5.3,33.3,152.5,Alabama,2407,585,1680,142.0,224,115,3,19,87,1998
Dothan Police Dept,57303,5376.7,1268.7,3765.9,342.0,596.8,328.1,15.7,33.2,219.9,Alabama,3081,727,2158,196.0,342,188,9,19,126,1999
Dothan Police Dept,57737,4908.5,956.1,3739.4,213.0,536.9,259.8,12.1,86.6,178.4,Alabama,2834,552,2159,123.0,310,150,7,50,103,2000
Dothan Police Dept,57961,5034.4,969.6,3862.9,201.9,322.6,100.1,5.2,74.2,143.2,Alabama,2918,562,2239,117.0,187,58,3,43,83,2001
Dothan Police Dept,58248,4910.0,975.1,3694.5,240.4,364.0,139.1,1.7,68.7,154.5,Alabama,2860,568,2152,140.0,212,81,1,40,90,2002
Dothan Police Dept,59185,4928.6,1132.0,3548.2,248.4,403.8,147.0,6.8,64.2,185.9,Alabama,2917,670,2100,147.0,239,87,4,38,110,2003
Dothan Police Dept,60429,5307.1,1242.8,3822.7,241.6,465.0,147.3,14.9,97.6,205.2,Alabama,3207,751,2310,146.0,281,89,9,59,124,2004
Dothan Police Dept,61661,5728.1,1232.5,4244.2,251.4,540.0,181.6,13.0,92.4,253.0,Alabama,3532,760,2617,155.0,333,112,8,57,156,2005
Dothan Police Dept,63280,5293.9,1392.2,3580.9,320.8,602.1,200.7,11.1,91.7,298.7,Alabama,3350,881,2266,203.0,381,127,7,58,189,2006
Dothan Police Dept,64931,5151.6,1216.7,3648.5,286.5,643.8,268.0,12.3,70.8,292.6,Alabama,3345,790,2369,186.0,418,174,8,46,190,2007
Dothan Police Dept,66412,5289.7,1293.4,3773.4,222.9,602.3,268.0,4.5,45.2,284.6,Alabama,3513,859,2506,148.0,400,178,3,30,189,2008
Dothan Police Dept,67496,4829.9,1204.5,3422.4,203.0,789.7,491.9,1.5,47.4,248.9,Alabama,3260,813,2310,137.0,533,332,1,32,168,2009
Dothan Police Dept,65496,4788.1,1543.6,3105.5,138.9,627.5,401.6,1.5,44.3,180.2,Alabama,3136,1011,2034,91.0,411,263,1,29,118,2010
Dothan Police Dept,65811,4158.9,922.3,3060.3,176.3,521.2,323.7,3.0,33.4,161.1,Alabama,2737,607,2014,116.0,343,213,2,22,106,2011
Dothan Police Dept,66275,4427.0,1336.9,2894.0,196.2,481.3,277.6,7.5,45.3,150.9,Alabama,2934,886,1918,130.0,319,184,5,30,100,2012
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,466,233,221,12.0,49,32,4,2,11,1984
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,682,284,360,38.0,76,57,4,8,7,1985
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,632,307,298,27.0,100,71,4,11,14,1986
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,740,396,312,32.0,104,77,2,10,15,1987
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,807,437,326,44.0,124,96,2,8,18,1988
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,789,406,354,29.0,132,113,3,6,10,1989
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,313,171,138,4.0,85,72,2,4,7,1990
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,744,392,327,25.0,84,66,1,6,11,1991
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,713,334,355,24.0,110,89,2,5,14,1992
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,701,303,361,37.0,105,92,2,5,6,1993
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,785,315,431,39.0,117,101,2,6,8,1994
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,731,330,353,48.0,84,70,1,2,11,1995
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,647,219,387,41.0,55,27,5,14,9,1996
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,732,196,519,17.0,62,39,4,10,9,1997
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,523,151,354,18.0,39,26,1,9,3,1998
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,473,166,295,12.0,56,35,1,12,8,1999
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,501,176,316,9.0,30,14,1,6,9,2000
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,717,228,446,43.0,33,11,1,12,9,2002
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,697,248,419,30.0,33,7,1,14,11,2003
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,768,257,480,31.0,27,9,1,8,9,2004
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,644,214,400,30.0,31,6,1,14,10,2005
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,659,209,422,28.0,44,20,2,13,9,2006
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,688,231,420,37.0,58,29,0,13,16,2008
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,641,227,391,23.0,41,20,2,13,6,2009
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,0.0,0,0,0,0,0,2010
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,768,269,454,45.0,56,35,2,10,9,2011
Elmore County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,812,339,428,45.0,52,26,3,13,10,2012
Enterprise Police Dept,19657,2223.1,808.9,1322.7,91.6,356.1,300.1,10.2,10.2,35.6,Alabama,437,159,260,18.0,70,59,2,2,7,1984
Enterprise Police Dept,19809,4543.4,928.9,3377.3,237.3,560.4,454.3,10.1,30.3,65.6,Alabama,900,184,669,47.0,111,90,2,6,13,1985
Enterprise Police Dept,20191,6116.6,1381.8,4521.8,213.0,708.2,624.0,9.9,24.8,49.5,Alabama,1235,279,913,43.0,143,126,2,5,10,1986
Enterprise Police Dept,19940,6760.3,1479.4,5085.3,195.6,687.1,536.6,0.0,60.2,90.3,Alabama,1348,295,1014,39.0,137,107,0,12,18,1987
Enterprise Police Dept,20101,5815.6,1189.0,4437.6,189.0,970.1,840.8,14.9,34.8,79.6,Alabama,1169,239,892,38.0,195,169,3,7,16,1988
Enterprise Police Dept,19955,6449.5,1603.6,4640.4,205.5,596.3,486.1,5.0,35.1,70.2,Alabama,1287,320,926,41.0,119,97,1,7,14,1989
Enterprise Police Dept,20123,4542.1,1123.1,3175.5,243.5,636.1,526.8,9.9,34.8,64.6,Alabama,914,226,639,49.0,128,106,2,7,13,1990
Enterprise Police Dept,20364,3324.5,844.6,2317.8,162.1,505.8,427.2,0.0,4.9,73.7,Alabama,677,172,472,33.0,103,87,0,1,15,1991
Enterprise Police Dept,20597,4709.4,839.9,3675.3,194.2,631.2,490.4,0.0,58.3,82.5,Alabama,970,173,757,40.0,130,101,0,12,17,1992
Enterprise Police Dept,20917,3733.8,917.9,2667.7,148.2,1027.9,889.2,19.1,28.7,90.8,Alabama,781,192,558,31.0,215,186,4,6,19,1993
