acquisition date,birth.location,birth.year,creation decade,creation year,credit,death.location,death.year,depth,gender,height,medium,name,role,thumbnail,title,url,width
1979,"Hastings, United Kingdom",1947,1970,1978,Purchased 1979,,0,0.0,Male,695.0,Intaglio print and screenprint on paper,"Chaplin, Bob",artist,http://www.tate.org.uk/art/images/work/P/P07/P07257_8.jpg,Seven Sisters a.m./p.m.,http://www.tate.org.uk/art/artworks/chaplin-seven-sisters-ampm-p07257,413.0
2013,"Cheltenham, United Kingdom",1966,1990,1995,"Presented by the American Fund for the Tate Gallery, courtesy of Peter Norton 2012",,0,0.0,Male,0.0,Video,"Chapman, Jake",artist,,Bring Me the Head of,http://www.tate.org.uk/art/artworks/chapman-bring-me-the-head-of-t13788,0.0
1983,"Wolverhampton, United Kingdom",1907,1920,1926,Presented anonymously in memory of Sir Terence Rattigan 1983,"Rye, United Kingdom",1994,18.0,Male,215.0,Oil paint on papier mch,"Chappell, William",artist,,Young Man Playing a Guitar,http://www.tate.org.uk/art/artworks/chappell-young-man-playing-a-guitar-t03654,285.0
1976,"Montral, Canada",1928,1970,1971,Presented by the University of Quebec 1976,,0,0.0,Female,498.0,Lithograph on paper,"Charbonneau, Monique",artist,,The Tribulations of Little Antoine,http://www.tate.org.uk/art/artworks/charbonneau-the-tribulations-of-little-antoine-p03170,670.0
1919,"Warrington, United Kingdom",1851,0,0,Presented by Lady Holroyd in accordance with the wishes of the late Sir Charles Holroyd 1919,"Denbighshire, United Kingdom",1906,0.0,Male,787.0,Oil paint on canvas,"Charles, James",artist,http://www.tate.org.uk/art/images/work/N/N03/N03394_8.jpg,Threatening Weather,http://www.tate.org.uk/art/artworks/charles-threatening-weather-n03394,445.0
1998,"Sheffield, United Kingdom",1948,1990,1991,Purchased 1998,,0,45.0,Male,2655.0,Household emulsion paint on canvas,"Charlton, Alan",artist,http://www.tate.org.uk/art/images/work/T/T07/T07451_8.jpg,Painting with Four Square Holes,http://www.tate.org.uk/art/artworks/charlton-painting-with-four-square-holes-t07451,2655.0
1996,"London, United Kingdom",1904,1970,1972,Presented anonymously 1996,"Wales, United Kingdom",1984,0.0,Male,1219.0,Oil paint on hardboard,"Charlton, Evan",artist,,Pandora,http://www.tate.org.uk/art/artworks/charlton-pandora-t07083,762.0
1924,"London, United Kingdom",1899,1920,1924,Purchased 1924,,1979,0.0,Male,533.0,Pastel and chalk on paper,"Charlton, George",artist,,Elephants,http://www.tate.org.uk/art/artworks/charlton-elephants-n04008,190.0
1908,Charlieu,1844,1880,1885,Presented by the artist 1908,France,1916,0.0,Male,394.0,Oil paint on canvas,"Charnay, Armand",artist,,The Park of Sansac (Indre-et-Loire),http://www.tate.org.uk/art/artworks/charnay-the-park-of-sansac-indre-et-loire-n02290,295.0
1963,"Wien, sterreich",1896,1960,1962,Presented by the Trustees of the Chantrey Bequest 1963,"London, United Kingdom",1967,273.0,Male,330.0,Bronze,"Charoux, Siegfried",artist,http://www.tate.org.uk/art/images/work/T/T00/T00597_8.jpg,Civilization: The Judge,http://www.tate.org.uk/art/artworks/charoux-civilization-the-judge-t00597,495.0
1994,,1878,1910,1915,Presented by Michael Chase 1994,,1944,0.0,Male,405.0,Oil paint on canvas,"Chase, William",artist,,The Keynote,http://www.tate.org.uk/art/artworks/chase-the-keynote-t06886,506.0
1997,"London, United Kingdom",1710,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1758,0.0,Male,149.0,Graphite on paper,"Chatelain, Jean Baptiste Claude",artist,http://www.tate.org.uk/art/images/work/T/T10/T10164_8.jpg,Landscape,http://www.tate.org.uk/art/artworks/chatelain-landscape-t10164,94.0
2009,"Santaf de Bogot, D.C., Colombia",1963,2000,2002,"Purchased with funds provided by the American Patrons of Tate, courtesy of the Latin American Acquisitions Committee 2009  ",,0,0.0,Male,0.0,84 sleeves and 71 vinyl records,"Chaves, Raimond",artist,,The Creole Touch,http://www.tate.org.uk/art/artworks/chaves-the-creole-touch-t12922,0.0
1976,"Sydenham, United Kingdom",1925,1950,1956,Presented by Curwen Studio 1976,,0,0.0,Male,733.0,Lithograph on paper,"Cheese, Bernard",artist,http://www.tate.org.uk/art/images/work/P/P06/P06705_8.jpg,A Fishermans Story,http://www.tate.org.uk/art/artworks/cheese-a-fishermans-story-p06705,483.0
1978,"London, United Kingdom",1952,1970,1978,Presented by Curwen Studio 1978,,0,0.0,Female,406.0,Lithograph on paper,"Cheese, Chloe",artist,http://www.tate.org.uk/art/images/work/P/P06/P06770_8.jpg,Pink Carnations,http://www.tate.org.uk/art/artworks/cheese-pink-carnations-p06770,559.0
2009,"Shanghai, Zhonghua",1955,2000,2000,Presented by Tate International Council 2009,"Paris, France",2000,1550.0,Male,1060.0,"Wooden abacus beads, rosary beads, wooden chair, steel and paint","Chen, Zhen",artist,http://www.tate.org.uk/art/images/work/T/T12/T12941_8.jpg,Cocon du Vide,http://www.tate.org.uk/art/artworks/chen-cocon-du-vide-t12941,2030.0
2012,"Moskva, Rossiya",1962,2000,2003,Purchased 2011,,0,0.0,Female,0.0,"Video, projection, colour and sound (stereo)","Chernysheva, Olga",artist,,Russian Museum,http://www.tate.org.uk/art/artworks/chernysheva-russian-museum-t13406,0.0
1918,"London, United Kingdom",1882,1910,1912,Presented by D. MacColl 1918,,1960,0.0,Male,406.0,Etching on paper,"Cheston, Charles",artist,,Across the Marshes,http://www.tate.org.uk/art/artworks/cheston-across-the-marshes-p01009,133.0
1924,"Yorkshire, United Kingdom",1875,1910,1917,Purchased 1924,"Devon, United Kingdom",1929,0.0,Female,370.0,Watercolour on paper,"Cheston, Evelyn",artist,http://www.tate.org.uk/art/images/work/N/N03/N03905_8.jpg,"Betchworth Lane, October",http://www.tate.org.uk/art/artworks/cheston-betchworth-lane-october-n03905,250.0
