attendance,capacity,date,day,gross,month,performances,previews,show,theatre,year
0,,12/09/1984,9,0,12,0,7,HARLEM NOCTURNE,Latin Quarter,1984
6846,,12/09/1984,9,202908,12,8,0,HURLYBURLY,Ethel Barrymore,1984
13636,,12/09/1984,9,468061,12,8,0,LA CAGE AUX FOLLES '83,Palace,1984
3838,,12/09/1984,9,92620,12,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1984
8430,,12/09/1984,9,279806,12,8,0,MY ONE AND ONLY,St. James,1984
5690,,12/09/1984,9,143523,12,8,0,NOISES OFF '83,Brooks Atkinson,1984
2440,,12/09/1984,9,34697,12,8,0,"OH, CALCUTTA!",Edison,1984
14760,,12/09/1984,9,361211,12,8,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1984
6266,,12/09/1984,9,235099,12,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
6409,,12/09/1984,9,181680,12,8,0,THE REAL THING '84,Plymouth,1984
8987,,12/09/1984,9,278802,12,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,12/09/1984,9,25000,12,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
3245,,12/09/1984,9,75802,12,8,0,WHOOPI GOLDBERG,Lyceum,1984
8358,,12/09/1984,9,247561,12,8,0,A CHORUS LINE,Shubert,1984
9180,,12/16/1984,16,294212,12,8,0,42ND STREET '80,Majestic,1984
6912,,12/16/1984,16,207242,12,8,0,A CHORUS LINE,Shubert,1984
2956,,12/16/1984,16,62664,12,8,0,ALONE TOGETHER,Music Box,1984
6441,,12/16/1984,16,118167,12,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12034,,12/16/1984,16,467074,12,8,0,CATS,Winter Garden,1984
1905,,12/16/1984,16,24786,12,8,0,DESIGN FOR LIVING,Circle In The Square,1984
0,,12/16/1984,16,0,12,9,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1984
7232,,12/16/1984,16,227273,12,8,0,DREAMGIRLS '81,Imperial,1984
3421,,12/16/1984,16,66686,12,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
0,,12/16/1984,16,0,12,0,7,HARLEM NOCTURNE,Latin Quarter,1984
6143,,12/16/1984,16,178816,12,8,0,HURLYBURLY,Ethel Barrymore,1984
13550,,12/16/1984,16,443129,12,8,0,LA CAGE AUX FOLLES '83,Palace,1984
3602,,12/16/1984,16,82560,12,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1984
7612,,12/16/1984,16,235190,12,8,0,MY ONE AND ONLY,St. James,1984
5007,,12/16/1984,16,122320,12,8,0,NOISES OFF '83,Brooks Atkinson,1984
2144,,12/16/1984,16,30465,12,9,0,"OH, CALCUTTA!",Edison,1984
12674,,12/16/1984,16,348466,12,8,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1984
6222,,12/16/1984,16,230076,12,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
5686,,12/16/1984,16,155793,12,8,0,THE REAL THING '84,Plymouth,1984
7894,,12/16/1984,16,241058,12,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,12/16/1984,16,25000,12,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
2925,,12/16/1984,16,65034,12,8,0,WHOOPI GOLDBERG,Lyceum,1984
7718,,12/23/1984,23,247958,12,8,0,42ND STREET '80,Majestic,1984
5982,,12/23/1984,23,181870,12,8,0,A CHORUS LINE,Shubert,1984
1754,,12/23/1984,23,38338,12,8,0,ALONE TOGETHER,Music Box,1984
5514,,12/23/1984,23,97510,12,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12020,,12/23/1984,23,469283,12,8,0,CATS,Winter Garden,1984
831,,12/23/1984,23,9434,12,0,3,DANCING INTHE END ZONE,Ritz,1984
1675,,12/23/1984,23,21669,12,8,0,DESIGN FOR LIVING,Circle In The Square,1984
0,,12/23/1984,23,0,12,8,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1984
6551,,12/23/1984,23,203771,12,8,0,DREAMGIRLS '81,Imperial,1984
0,,12/23/1984,23,0,12,0,7,HARLEM NOCTURNE,Latin Quarter,1984
5490,,12/23/1984,23,156872,12,8,0,HURLYBURLY,Ethel Barrymore,1984
13374,,12/23/1984,23,440245,12,8,0,LA CAGE AUX FOLLES '83,Palace,1984
3069,,12/23/1984,23,75543,12,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1984
6529,,12/23/1984,23,184880,12,8,0,MY ONE AND ONLY,St. James,1984
4925,,12/23/1984,23,116339,12,8,0,NOISES OFF '83,Brooks Atkinson,1984
1803,,12/23/1984,23,25643,12,9,0,"OH, CALCUTTA!",Edison,1984
7610,,12/23/1984,23,190734,12,8,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1984
5897,,12/23/1984,23,208897,12,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
4960,,12/23/1984,23,136782,12,8,0,THE REAL THING '84,Plymouth,1984
6885,,12/23/1984,23,213442,12,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,12/23/1984,23,25000,12,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
2934,,12/23/1984,23,65935,12,8,0,WHOOPI GOLDBERG,Lyceum,1984
3031,,12/23/1984,23,57292,12,8,0,GLENGARRY GLEN ROSS '84,Golden,1984
12885,,12/30/1984,30,449815,12,8,0,42ND STREET '80,Majestic,1984
11715,,12/30/1984,30,395627,12,8,0,A CHORUS LINE,Shubert,1984
6569,,12/30/1984,30,135284,12,8,0,ALONE TOGETHER,Music Box,1984
9919,,12/30/1984,30,221197,12,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1984
12076,,12/30/1984,30,468251,12,8,0,CATS,Winter Garden,1984
2317,,12/30/1984,30,34086,12,0,8,DANCING INTHE END ZONE,Ritz,1984
3209,,12/30/1984,30,46440,12,8,0,DESIGN FOR LIVING,Circle In The Square,1984
0,,12/30/1984,30,0,12,9,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1984
11260,,12/30/1984,30,381435,12,8,0,DREAMGIRLS '81,Imperial,1984
5266,,12/30/1984,30,118799,12,8,0,GLENGARRY GLEN ROSS '84,John Golden,1984
0,,12/30/1984,30,0,12,0,7,HARLEM NOCTURNE,Latin Quarter,1984
1919,,12/30/1984,30,40036,12,0,8,HOME FRONT,Royale,1984
8399,,12/30/1984,30,252275,12,8,0,HURLYBURLY,Ethel Barrymore,1984
12784,,12/30/1984,30,508684,12,8,0,LA CAGE AUX FOLLES '83,Palace,1984
5811,,12/30/1984,30,138301,12,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1984
12054,,12/30/1984,30,382247,12,8,0,MY ONE AND ONLY,St. James,1984
7713,,12/30/1984,30,195246,12,8,0,NOISES OFF '83,Brooks Atkinson,1984
3391,,12/30/1984,30,48359,12,9,0,"OH, CALCUTTA!",Edison,1984
11364,,12/30/1984,30,312352,12,8,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1984
6271,,12/30/1984,30,245810,12,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1984
11832,,12/30/1984,30,482280,12,0,8,THE KING AND I 85,Broadway,1984
7855,,12/30/1984,30,236128,12,8,0,THE REAL THING '84,Plymouth,1984
12442,,12/30/1984,30,425162,12,8,0,THE TAP DANCE KID,Minskoff,1984
2000,,12/30/1984,30,25000,12,8,0,TORCH SONG TRILOGY,Helen Hayes,1984
4666,,12/30/1984,30,106815,12,8,0,WHOOPI GOLDBERG,Lyceum,1984
10305,,01/06/1985,6,331457,1,8,0,42ND STREET '80,Majestic,1985
8036,,01/06/1985,6,242501,1,8,0,A CHORUS LINE,Shubert,1985
2932,,01/06/1985,6,71460,1,8,0,ALONE TOGETHER,Music Box,1985
5403,,01/06/1985,6,113447,1,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
12044,,01/06/1985,6,492658,1,8,0,CATS,Winter Garden,1985
2048,,01/06/1985,6,31720,1,4,4,DANCING INTHE END ZONE,Ritz,1985
1155,,01/06/1985,6,19208,1,8,0,DESIGN FOR LIVING,Circle In The Square,1985
0,,01/06/1985,6,0,1,9,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1985
8057,,01/06/1985,6,261383,1,8,0,DREAMGIRLS '81,Imperial,1985
3913,,01/06/1985,6,85421,1,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
3175,,01/06/1985,6,52816,1,5,3,HOME FRONT,Royale,1985
4795,,01/06/1985,6,152766,1,7,0,HURLYBURLY,Ethel Barrymore,1985
13769,,01/06/1985,6,450015,1,8,0,LA CAGE AUX FOLLES '83,Palace,1985
3877,,01/06/1985,6,93125,1,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
8270,,01/06/1985,6,229149,1,8,0,MY ONE AND ONLY,St. James,1985
5998,,01/06/1985,6,145917,1,8,0,NOISES OFF '83,Brooks Atkinson,1985
2248,,01/06/1985,6,31986,1,9,0,"OH, CALCUTTA!",Edison,1985
11303,,01/06/1985,6,295507,1,8,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1985
6269,,01/06/1985,6,229155,1,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13255,,01/06/1985,6,502566,1,0,8,THE KING AND I 85,Broadway,1985
6277,,01/06/1985,6,172265,1,8,0,THE REAL THING '84,Plymouth,1985
7756,,01/06/1985,6,249525,1,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,01/06/1985,6,25000,1,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
3741,,01/06/1985,6,84622,1,8,0,WHOOPI GOLDBERG,Lyceum,1985
8432,,01/13/1985,13,272566,1,8,0,42ND STREET '80,Majestic,1985
5958,,01/13/1985,13,179428,1,8,0,A CHORUS LINE,Shubert,1985
2390,,01/13/1985,13,54133,1,8,0,ALONE TOGETHER,Music Box,1985
5255,,01/13/1985,13,107183,1,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
12031,,01/13/1985,13,467494,1,8,0,CATS,Winter Garden,1985
1174,,01/13/1985,13,17192,1,8,0,DANCING INTHE END ZONE,Ritz,1985
1594,,01/13/1985,13,18403,1,8,0,DESIGN FOR LIVING,Circle In The Square,1985
0,,01/13/1985,13,0,1,8,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1985
6729,,01/13/1985,13,212961,1,8,0,DREAMGIRLS '81,Imperial,1985
4111,,01/13/1985,13,76274,1,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
2617,,01/13/1985,13,44418,1,0,5,HARRIGAN 'N HART,Longacre,1985
4086,,01/13/1985,13,63281,1,8,0,HOME FRONT,Royale,1985
4115,,01/13/1985,13,113971,1,8,0,HURLYBURLY,Ethel Barrymore,1985
12421,,01/13/1985,13,422862,1,8,0,LA CAGE AUX FOLLES '83,Palace,1985
2701,,01/13/1985,13,63384,1,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
7762,,01/13/1985,13,216842,1,8,0,MY ONE AND ONLY,St. James,1985
4372,,01/13/1985,13,104872,1,8,0,NOISES OFF '83,Brooks Atkinson,1985
1932,,01/13/1985,13,27452,1,9,0,"OH, CALCUTTA!",Edison,1985
12276,,01/13/1985,13,330743,1,8,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1985
5958,,01/13/1985,13,200573,1,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13652,,01/13/1985,13,465216,1,8,0,THE KING AND I 85,Broadway,1985
5842,,01/13/1985,13,153244,1,8,0,THE REAL THING '84,Plymouth,1985
7145,,01/13/1985,13,218153,1,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,01/13/1985,13,25000,1,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
3489,,01/13/1985,13,80031,1,8,0,WHOOPI GOLDBERG,Lyceum,1985
7525,,01/20/1985,20,245501,1,8,0,42ND STREET '80,Majestic,1985
6439,,01/20/1985,20,183704,1,8,0,A CHORUS LINE,Shubert,1985
5251,,01/20/1985,20,96188,1,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
12031,,01/20/1985,20,461735,1,8,0,CATS,Winter Garden,1985
930,,01/20/1985,20,11463,1,8,0,DANCING INTHE END ZONE,Ritz,1985
1603,,01/20/1985,20,17056,1,8,0,DESIGN FOR LIVING,Circle In The Square,1985
0,,01/20/1985,20,0,1,8,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1985
6067,,01/20/1985,20,192131,1,8,0,DREAMGIRLS '81,Imperial,1985
3786,,01/20/1985,20,72487,1,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
4065,,01/20/1985,20,70207,1,0,8,HARRIGAN 'N HART,Longacre,1985
3604,,01/20/1985,20,100102,1,8,0,HURLYBURLY,Ethel Barrymore,1985
12481,,01/20/1985,20,420575,1,8,0,LA CAGE AUX FOLLES '83,Palace,1985
2999,,01/20/1985,20,65081,1,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
6127,,01/20/1985,20,181732,1,8,0,MY ONE AND ONLY,St. James,1985
4086,,01/20/1985,20,97041,1,8,0,NOISES OFF '83,Brooks Atkinson,1985
1817,,01/20/1985,20,25835,1,9,0,"OH, CALCUTTA!",Edison,1985
12052,,01/20/1985,20,336773,1,7,0,ROYAL SHAKESPEARE COMPANY (CYRANO & MUCH ADO),Gershwin,1985
5912,,01/20/1985,20,201437,1,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13721,,01/20/1985,20,481094,1,8,0,THE KING AND I 85,Broadway,1985
5347,,01/20/1985,20,140752,1,8,0,THE REAL THING '84,Plymouth,1985
5770,,01/20/1985,20,173078,1,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,01/20/1985,20,25000,1,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
3604,,01/20/1985,20,84015,1,8,0,WHOOPI GOLDBERG,Lyceum,1985
7452,,01/27/1985,27,247687,1,8,0,42ND STREET '80,Majestic,1985
5072,,01/27/1985,27,148124,1,8,0,A CHORUS LINE,Shubert,1985
5288,,01/27/1985,27,98546,1,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
12043,,01/27/1985,27,455333,1,8,0,CATS,Winter Garden,1985
658,,01/27/1985,27,9329,1,8,0,DANCING INTHE END ZONE,Ritz,1985
0,,01/27/1985,27,0,1,9,0,DOUG HENNING AND HIS WORLD OF MAGIC,Lunt-fontanne,1985
5926,,01/27/1985,27,188943,1,8,0,DREAMGIRLS '81,Imperial,1985
3566,,01/27/1985,27,66572,1,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
5345,,01/27/1985,27,109040,1,0,8,HARRIGAN 'N HART,Longacre,1985
3474,,01/27/1985,27,97883,1,8,0,HURLYBURLY,Ethel Barrymore,1985
12139,,01/27/1985,27,413571,1,8,0,LA CAGE AUX FOLLES '83,Palace,1985
2533,,01/27/1985,27,55292,1,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
6536,,01/27/1985,27,188814,1,8,0,MY ONE AND ONLY,St. James,1985
3749,,01/27/1985,27,89303,1,8,0,NOISES OFF '83,Brooks Atkinson,1985
1837,,01/27/1985,27,26107,1,9,0,"OH, CALCUTTA!",Edison,1985
5404,,01/27/1985,27,188523,1,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13666,,01/27/1985,27,500548,1,8,0,THE KING AND I 85,Broadway,1985
5554,,01/27/1985,27,148739,1,8,0,THE REAL THING '84,Plymouth,1985
6741,,01/27/1985,27,217810,1,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,01/27/1985,27,25000,1,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
4230,,01/27/1985,27,93943,1,8,0,WHOOPI GOLDBERG,Lyceum,1985
6327,,02/03/1985,3,201173,2,8,0,42ND STREET '80,Majestic,1985
4744,,02/03/1985,3,128259,2,8,0,A CHORUS LINE,Shubert,1985
4117,,02/03/1985,3,71882,2,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
11961,,02/03/1985,3,453483,2,8,0,CATS,Winter Garden,1985
4998,,02/03/1985,3,155565,2,8,0,DREAMGIRLS '81,Imperial,1985
3416,,02/03/1985,3,58141,2,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
3087,,02/03/1985,3,65009,2,4,4,HARRIGAN 'N HART,Longacre,1985
2820,,02/03/1985,3,75272,2,8,0,HURLYBURLY,Ethel Barrymore,1985
10963,,02/03/1985,3,366325,2,8,0,LA CAGE AUX FOLLES '83,Palace,1985
2346,,02/03/1985,3,49054,2,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
6096,,02/03/1985,3,158385,2,8,0,MY ONE AND ONLY,St. James,1985
3901,,02/03/1985,3,91375,2,8,0,NOISES OFF '83,Brooks Atkinson,1985
1829,,02/03/1985,3,26027,2,9,0,"OH, CALCUTTA!",Edison,1985
5026,,02/03/1985,3,163403,2,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13265,,02/03/1985,3,497195,2,8,0,THE KING AND I 85,Broadway,1985
4844,,02/03/1985,3,123409,2,8,0,THE REAL THING '84,Plymouth,1985
4995,,02/03/1985,3,148745,2,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,02/03/1985,3,25000,2,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
3804,,02/03/1985,3,84623,2,8,0,WHOOPI GOLDBERG,Lyceum,1985
6210,,02/10/1985,10,91835,2,8,0,42ND STREET '80,Majestic,1985
4295,,02/10/1985,10,128677,2,8,0,A CHORUS LINE,Shubert,1985
4732,,02/10/1985,10,77481,2,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
11894,,02/10/1985,10,444877,2,8,0,CATS,Winter Garden,1985
5453,,02/10/1985,10,169805,2,8,0,DREAMGIRLS '81,Imperial,1985
3133,,02/10/1985,10,58242,2,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
4129,,02/10/1985,10,86239,2,8,0,HURLYBURLY,Ethel Barrymore,1985
10519,,02/10/1985,10,347195,2,8,0,LA CAGE AUX FOLLES '83,Palace,1985
2499,,02/10/1985,10,53918,2,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
7554,,02/10/1985,10,199406,2,8,0,MY ONE AND ONLY,St. James,1985
3463,,02/10/1985,10,81454,2,8,0,NOISES OFF '83,Brooks Atkinson,1985
1929,,02/10/1985,10,27437,2,9,0,"OH, CALCUTTA!",Edison,1985
4174,,02/10/1985,10,62955,2,0,5,PACK OF LIES,Royale,1985
4718,,02/10/1985,10,157885,2,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13271,,02/10/1985,10,502898,2,8,0,THE KING AND I 85,Broadway,1985
4466,,02/10/1985,10,115269,2,8,0,THE REAL THING '84,Plymouth,1985
5484,,02/10/1985,10,161280,2,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,02/10/1985,10,25000,2,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
4334,,02/10/1985,10,99588,2,8,0,WHOOPI GOLDBERG,Lyceum,1985
8560,,02/17/1985,17,284542,2,8,0,42ND STREET '80,Majestic,1985
5849,,02/17/1985,17,187398,2,8,0,A CHORUS LINE,Shubert,1985
6613,,02/17/1985,17,131754,2,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
12022,,02/17/1985,17,459862,2,8,0,CATS,Winter Garden,1985
8001,,02/17/1985,17,254942,2,8,0,DREAMGIRLS '81,Imperial,1985
3073,,02/17/1985,17,82293,2,8,0,GLENGARRY GLEN ROSS '84,John Golden,1985
5491,,02/17/1985,17,119908,2,8,0,HURLYBURLY,Ethel Barrymore,1985
3796,,02/17/1985,17,80795,2,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
9994,,02/17/1985,17,293321,2,8,0,MY ONE AND ONLY,St. James,1985
4593,,02/17/1985,17,110042,2,8,0,NOISES OFF '83,Brooks Atkinson,1985
2899,,02/17/1985,17,41288,2,9,0,"OH, CALCUTTA!",Edison,1985
6887,,02/17/1985,17,126483,2,8,0,PACK OF LIES,Royale,1985
2555,,02/17/1985,17,90871,2,0,4,STRANGE INTERLUDE,Nederlander,1985
5193,,02/17/1985,17,186952,2,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13695,,02/17/1985,17,512277,2,8,0,THE KING AND I 85,Broadway,1985
6060,,02/17/1985,17,162206,2,8,0,THE REAL THING '84,Plymouth,1985
8430,,02/17/1985,17,256107,2,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,02/17/1985,17,25000,2,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
3926,,02/17/1985,17,91420,2,6,0,WHOOPI GOLDBERG,Lyceum,1985
11101,,02/17/1985,17,384449,2,8,0,LA CAGE AUX FOLLES '83,Palace,1985
9470,,02/24/1985,24,284153,2,8,0,42ND STREET '80,Majestic,1985
7880,,02/24/1985,24,223251,2,8,0,A CHORUS LINE,Shubert,1985
6158,,02/24/1985,24,112873,2,8,0,BRIGHTON BEACH MEMOIRS,Neil Simon,1985
12021,,02/24/1985,24,464685,2,8,0,CATS,Winter Garden,1985
9376,,02/24/1985,24,243693,2,8,0,DREAMGIRLS '81,Imperial,1985
4636,,02/24/1985,24,93709,2,8,0,HURLYBURLY,Ethel Barrymore,1985
13061,,02/24/1985,24,422325,2,8,0,LA CAGE AUX FOLLES '83,Palace,1985
4388,,02/24/1985,24,71003,2,0,5,LEADER OF THE PACK,Ambassador,1985
3872,,02/24/1985,24,76690,2,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
11352,,02/24/1985,24,326203,2,8,0,MY ONE AND ONLY,St. James,1985
5017,,02/24/1985,24,113609,2,8,0,NOISES OFF '83,Brooks Atkinson,1985
2175,,02/24/1985,24,30922,2,9,0,"OH, CALCUTTA!",Edison,1985
5711,,02/24/1985,24,97180,2,8,0,PACK OF LIES,Royale,1985
4008,,02/24/1985,24,125110,2,3,3,STRANGE INTERLUDE,Nederlander,1985
6123,,02/24/1985,24,199279,2,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
14120,,02/24/1985,24,520920,2,8,0,THE KING AND I 85,Broadway,1985
1764,,02/24/1985,24,28119,2,0,5,THE LOVES OF ANATOL,Circle In The Square,1985
5741,,02/24/1985,24,142006,2,8,0,THE REAL THING '84,Plymouth,1985
8783,,02/24/1985,24,257472,2,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,02/24/1985,24,25000,2,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
5498,,02/24/1985,24,127914,2,8,0,WHOOPI GOLDBERG,Lyceum,1985
7280,,03/03/1985,3,227101,3,8,0,42ND STREET '80,Majestic,1985
5511,,03/03/1985,3,160270,3,8,0,A CHORUS LINE,Shubert,1985
4492,,03/03/1985,3,86005,3,8,0,BRIGHTON BEACH MEMOIRS,46th Street,1985
11959,,03/03/1985,3,458926,3,8,0,CATS,Winter Garden,1985
9244,,03/03/1985,3,224967,3,8,0,DREAMGIRLS '81,Imperial,1985
3434,,03/03/1985,3,71494,3,8,0,HURLYBURLY,Ethel Barrymore,1985
11878,,03/03/1985,3,390766,3,8,0,LA CAGE AUX FOLLES '83,Palace,1985
5597,,03/03/1985,3,98186,3,0,8,LEADER OF THE PACK,Ambassador,1985
2609,,03/03/1985,3,54445,3,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
10392,,03/03/1985,3,294724,3,8,0,MY ONE AND ONLY,St. James,1985
3645,,03/03/1985,3,81356,3,8,0,NOISES OFF '83,Brooks Atkinson,1985
1968,,03/03/1985,3,28008,3,9,0,"OH, CALCUTTA!",Edison,1985
3782,,03/03/1985,3,84893,3,8,0,PACK OF LIES,Royale,1985
2255,,03/03/1985,3,31968,3,0,4,REQUIEM FOR A HEAVYWEIGHT,Martin Beck,1985
4527,,03/03/1985,3,180861,3,6,0,STRANGE INTERLUDE,Nederlander,1985
4988,,03/03/1985,3,158642,3,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
13273,,03/03/1985,3,505891,3,8,0,THE KING AND I 85,Broadway,1985
2965,,03/03/1985,3,47139,3,0,8,THE LOVES OF ANATOL,Circle In The Square,1985
2795,,03/03/1985,3,32933,3,0,8,THE OCTETTE BRIDGE CLUB,Music Box,1985
4657,,03/03/1985,3,116147,3,8,0,THE REAL THING '84,Plymouth,1985
6344,,03/03/1985,3,177665,3,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,03/03/1985,3,25000,3,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
5480,,03/03/1985,3,120674,3,8,0,WHOOPI GOLDBERG,Lyceum,1985
8607,,03/10/1985,10,263680,3,8,0,42ND STREET '80,Majestic,1985
6071,,03/10/1985,10,180457,3,8,0,A CHORUS LINE,Shubert,1985
5360,,03/10/1985,10,99910,3,8,0,BRIGHTON BEACH MEMOIRS,46th Street,1985
12026,,03/10/1985,10,461540,3,8,0,CATS,Winter Garden,1985
10374,,03/10/1985,10,248369,3,8,0,DREAMGIRLS '81,Imperial,1985
3948,,03/10/1985,10,82102,3,8,0,HURLYBURLY,Ethel Barrymore,1985
11442,,03/10/1985,10,402523,3,8,0,LA CAGE AUX FOLLES '83,Palace,1985
6517,,03/10/1985,10,130451,3,0,8,LEADER OF THE PACK,Ambassador,1985
2581,,03/10/1985,10,51801,3,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
4378,,03/10/1985,10,99432,3,8,0,NOISES OFF '83,Brooks Atkinson,1985
1941,,03/10/1985,10,27603,3,9,0,"OH, CALCUTTA!",Edison,1985
3782,,03/10/1985,10,82910,3,8,0,PACK OF LIES,Royale,1985
5100,,03/10/1985,10,83005,3,3,4,REQUIEM FOR A HEAVYWEIGHT,Martin Beck,1985
4430,,03/10/1985,10,177375,3,6,0,STRANGE INTERLUDE,Nederlander,1985
5278,,03/10/1985,10,176705,3,8,0,SUNDAY IN THE PARK WITH GEORGE,Booth,1985
12733,,03/10/1985,10,489777,3,8,0,THE KING AND I 85,Broadway,1985
2178,,03/10/1985,10,48108,3,6,2,THE LOVES OF ANATOL,Circle In The Square,1985
3465,,03/10/1985,10,37320,3,8,0,THE OCTETTE BRIDGE CLUB,Music Box,1985
5471,,03/10/1985,10,138994,3,8,0,THE REAL THING '84,Plymouth,1985
7159,,03/10/1985,10,200174,3,8,0,THE TAP DANCE KID,Minskoff,1985
2000,,03/10/1985,10,25000,3,8,0,TORCH SONG TRILOGY,Helen Hayes,1985
5462,,03/10/1985,10,130493,3,8,0,WHOOPI GOLDBERG,Lyceum,1985
10083,,03/17/1985,17,304387,3,8,0,42ND STREET '80,Majestic,1985
8602,,03/17/1985,17,236899,3,8,0,A CHORUS LINE,Shubert,1985
6352,,03/17/1985,17,115491,3,8,0,BRIGHTON BEACH MEMOIRS,46th Street,1985
12001,,03/17/1985,17,457899,3,8,0,CATS,Winter Garden,1985
10801,,03/17/1985,17,265312,3,8,0,DREAMGIRLS '81,Imperial,1985
3631,,03/17/1985,17,85543,3,8,0,HURLYBURLY,Ethel Barrymore,1985
12892,,03/17/1985,17,442472,3,8,0,LA CAGE AUX FOLLES '83,Palace,1985
5773,,03/17/1985,17,145126,3,0,8,LEADER OF THE PACK,Ambassador,1985
2849,,03/17/1985,17,56365,3,8,0,MA RAINEY'S BLACK BOTTOM '84,Cort,1985
4994,,03/17/1985,17,114269,3,8,0,NOISES OFF '83,Brooks Atkinson,1985
2512,,03/17/1985,17,35768,3,9,0,"OH, CALCUTTA!",Edison,1985
