AIDS Orphans,AIDS-Related Deaths.Adults,AIDS-Related Deaths.All Ages,AIDS-Related Deaths.Children,AIDS-Related Deaths.Female Adults,AIDS-Related Deaths.Male Adults,Country,HIV Prevalence.Adults,Incidence Rate Among Adults,New HIV Infections.Adults,New HIV Infections.All Ages,New HIV Infections.Children,New HIV Infections.Female Adults,New HIV Infections.Male Adults,People Living with HIV.Adults,People Living with HIV.Children,People Living with HIV.Female Adults,People Living with HIV.Male Adults,Total,Year,Young Men,Young Women
300,69,90,22,38,31,Iran (Islamic Republic of),0.0088,0.0016,419,487,68,235.0,183,2349,192,1374,975,2541,1990,0.002,0.0058
0,0,0,0,0,0,Italy,0.0,0.0,2,2,0,0.0,1,2,0,0,2,2,1990,0.0,0.0
267,125,154,29,44,81,Jamaica,0.9385,0.2901,3321,3383,63,1174.0,2147,11047,100,3800,7246,11147,1990,1.12,0.7453
7,3,3,0,0,3,Kazakhstan,0.0027,0.0008,71,71,0,5.0,66,248,0,8,240,249,1990,0.002,0.0001
40169,10808,17133,6326,4882,5926,Kenya,6.44491,1.9146,178437,199350,20914,94940.0,83497,657054,38354,341642,315411,695409,1990,4.60587,7.85167
1,1,1,0,0,0,Kyrgyzstan,0.002,0.0006,14,14,0,3.0,10,44,0,10,34,45,1990,0.0012,0.0006
8,8,8,1,2,6,Latvia,0.0666,0.0317,420,422,1,125.0,296,881,2,260,621,883,1990,0.0879,0.0548
1609,340,435,95,123,216,Lesotho,2.58,0.8956,6198,6524,326,3103.0,3095,18998,541,8688,10311,19540,1990,1.51,1.73
263,90,153,64,43,46,Liberia,0.6919,0.2409,2342,2574,232,1303.0,1039,6727,353,3669,3059,7081,1990,0.3342,0.8779
20,11,23,12,5,6,Madagascar,0.0318,0.0153,783,837,54,370.0,413,1689,70,809,879,1759,1990,0.0303,0.0372
44034,9402,13379,3978,5043,4359,Malawi,8.79,2.38,95434,108577,13143,55849.0,39586,392630,24488,227139,165491,417118,1990,2.6,6.72
33,27,27,0,0,27,Malaysia,0.0904,0.0765,7796,7798,2,76.0,7720,9506,2,89,9417,9508,1990,0.1209,0.0016
5988,1789,2532,744,917,872,Mali,1.83,0.3725,14073,16431,2358,7991.0,6082,73279,5002,40241,33038,78281,1990,0.7447,1.28
236,54,75,21,28,26,Mauritania,0.2508,0.0617,557,617,60,295.0,262,2373,127,1266,1106,2500,1990,0.1783,0.2806
303,207,255,48,30,177,Mexico,0.1108,0.0666,27438,27624,186,3893.0,23545,47304,211,6950,40354,47515,1990,0.1798,0.0411
0,0,0,0,0,0,Mongolia,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,1990,0.0,0.0
124,34,41,7,19,15,Morocco,0.0121,0.003,350,368,18,223.0,127,1488,40,909,578,1528,1990,0.007,0.0157
12809,2193,2852,659,753,1440,Mozambique,1.64749,0.429813,21432,23591,2161,10895.0,10538,88314,3964,39206,49106,92277,1990,0.8833,0.935336
19,28,35,6,3,26,Myanmar,0.0504,0.0375,7253,7289,36,594.0,6660,9994,38,836,9158,10032,1990,0.128,0.0146
403,125,183,58,66,59,Namibia,1.43,0.5974,3822,4028,207,2204.0,1617,9729,312,5513,4216,10041,1990,0.7172,1.22
0,0,0,0,0,0,Nepal,0.0001,0.0001,7,8,0,2.0,6,13,0,3,10,13,1990,0.0001,0.0001
1731,210,260,51,109,101,Nicaragua,0.2635,0.0391,703,808,105,361.0,342,5017,399,2656,2361,5416,1990,0.1531,0.2286
462,135,215,80,57,78,Niger,0.2397,0.076,2587,2869,282,1228.0,1359,8533,449,3967,4566,8982,1990,0.2076,0.2461
88914,19310,24242,4934,6903,12408,Nigeria,1.39713,0.308632,141046,155351,14303,78429.0,62621,676634,27729,309450,367183,704359,1990,0.601485,0.861799
316,65,73,9,12,53,Pakistan,0.0043,0.001,499,525,26,122.0,377,2319,55,531,1788,2374,1990,0.002,0.0013
143,51,60,9,13,37,Panama,0.277,0.0981,1224,1250,25,352.0,872,3595,47,1026,2569,3643,1990,0.3337,0.1908
31,13,20,6,5,9,Papua New Guinea,0.0609,0.0265,558,592,35,260.0,298,1335,49,578,757,1384,1990,0.0373,0.0438
292,68,77,9,16,52,Paraguay,0.1293,0.028,554,575,21,152.0,402,2675,47,701,1974,2722,1990,0.139,0.0732
10415,2341,2562,221,572,1768,Peru,0.4787,0.0533,5677,6161,484,1635.0,4043,54135,1512,14835,39301,55648,1990,0.4079,0.2265
7,2,3,1,2,1,Philippines,0.0004,0.0001,32,35,3,16.0,16,128,5,77,51,133,1990,0.0003,0.0005
6,4,4,0,1,3,Republic of Moldova,0.009494,0.003007,83,84,1,21.0,62,268,1,65,203,271,1990,0.005082,0.003413
22578,5236,6852,1615,2559,2677,Rwanda,5.17,0.8356,24672,29391,4720,13933.0,10739,160684,12189,85905,74779,172873,1990,1.89,3.23
1015,173,235,61,84,89,Senegal,0.1732,0.0366,1153,1324,171,626.0,527,5797,403,3076,2721,6200,1990,0.113,0.178
4,2,4,2,1,1,Sierra Leone,0.0164,0.0085,158,168,10,87.0,71,307,12,167,140,319,1990,0.0089,0.0223
70,26,43,17,10,16,Somalia,0.0787,0.0335,1010,1074,64,433.0,577,2386,86,1000,1386,2472,1990,0.0526,0.0525
4442,1943,3013,1070,881,1062,South Africa,0.9614,0.4446,90328,94491,4163,48218.0,42110,203329,5771,105680,97649,209099,1990,0.527,1.26
83,37,69,32,19,18,South Sudan,0.1497,0.0701,1949,2083,134,1121.0,828,4142,174,2352,1790,4317,1990,0.0769,0.1407
7955,3102,3162,60,742,2360,Spain,0.3806,0.0525,10545,10653,109,2381.0,8164,80680,369,19577,61104,81049,1990,0.3859,0.1825
3,1,1,0,0,1,Sri Lanka,0.0005,0.0001,8,8,0,2.0,6,47,1,11,36,48,1990,0.0006,0.0003
205,49,67,18,23,26,Sudan,0.0222,0.0055,485,538,53,272.0,212,2092,110,1066,1026,2201,1990,0.016,0.024
8,4,4,0,0,3,Suriname,0.1493,0.0489,102,103,1,24.0,78,321,2,53,268,323,1990,0.213,0.0622
109,45,96,51,20,25,Swaziland,2.2,1.24,4270,4490,220,2323.0,1947,7967,257,4190,3777,8224,1990,1.47,2.59
5,2,3,1,1,1,Tajikistan,0.0082,0.0032,77,80,3,36.0,40,203,6,98,106,209,1990,0.0036,0.0058
125,308,368,61,22,286,Thailand,0.4628,0.3639,110468,110815,346,10359.0,100109,143029,334,12662,130368,143363,1990,1.21,0.1581
1654,423,604,181,212,211,Togo,1.21,0.3641,6260,6924,664,3526.0,2733,21850,1188,11968,9883,23039,1990,0.5402,0.9252
391,76,79,3,7,69,Trinidad and Tobago,0.4076,0.0856,538,546,8,177.0,361,2655,15,604,2051,2669,1990,0.4279,0.2316
193692,34938,47213,12275,14730,20208,Uganda,13.05,1.89,119702,150566,30863,64591.0,55111,997749,73839,485778,511971,1071590,1990,5.16,7.55
693,436,453,17,86,351,Ukraine,0.0566,0.0097,2465,2499,34,501.0,1963,14897,87,3068,11829,14984,1990,0.0765,0.0257
77353,16033,21856,5824,8513,7520,United Republic of Tanzania,5.05,1.15,121270,138070,16800,69804.0,51465,585686,35520,331407,254280,621206,1990,1.96,3.64
130,42,47,5,22,20,Uruguay,0.107,0.0292,445,457,13,154.0,291,1690,32,720,970,1722,1990,0.1025,0.0959
1,0,1,0,0,0,Uzbekistan,0.0007,0.0004,40,41,1,7.0,33,74,1,13,61,75,1990,0.0005,0.0002
1,1,2,1,0,0,Venezuela (Bolivarian Republic of),0.0025,0.0017,173,177,4,67.0,106,251,4,104,147,255,1990,0.0027,0.0027
3,2,3,0,0,2,Viet Nam,0.0009,0.0005,175,176,1,18.0,157,310,2,32,278,312,1990,0.0021,0.0003
95,19,25,6,6,13,Yemen,0.0174,0.0039,185,201,16,45.0,140,890,36,246,644,926,1990,0.02,0.0095
67073,14393,19887,5494,7391,7003,Zambia,12.43,2.46,81654,96329,14675,46058.0,35596,488677,32951,268444,220233,521629,1990,4.85,8.59
68573,16785,22158,5373,7942,8843,Zimbabwe,15.0434,4.17826,176268,192028,15759,97709.0,78561,757089,31370,404136,352955,788461,1990,6.9862,11.4621
67,12,14,2,2,9,Afghanistan,0.0075,0.002,113,118,5,28.0,85,465,9,110,356,474,1991,0.0035,0.0023
253,27,30,2,6,22,Algeria,0.0056,0.001,123,129,5,38.0,85,733,15,195,538,748,1991,0.0051,0.003
7013,1022,1363,341,498,524,Angola,0.5417,0.1177,6394,7405,1011,3704.0,2690,31254,2225,17245,14010,33479,1991,0.2023,0.3592
1156,609,678,69,169,440,Argentina,0.1814,0.034,5446,5590,145,1604.0,3841,30349,273,9061,21288,30622,1991,0.1994,0.1264
2910,918,924,5,48,871,Australia,0.1402,0.0107,1009,1017,8,77.0,932,14051,22,880,13171,14072,1991,0.12,0.0141
4,2,2,0,0,1,Azerbaijan,0.002,0.0005,21,21,0,6.0,15,80,1,21,60,81,1991,0.0011,0.0007
263,74,79,4,18,57,Bahamas,1.8,0.3502,494,501,8,140.0,354,2666,14,720,1945,2680,1991,1.94,1.06
2,1,1,0,0,1,Bangladesh,0.0001,0.0,13,13,0,3.0,10,30,1,6,24,30,1991,0.0,0.0
0,0,0,0,0,0,Belarus,0.001,0.0005,29,30,0,9.0,21,53,1,16,38,54,1991,0.0006,0.0005
5,1,1,0,0,1,Belize,0.0601,0.0212,18,19,1,8.0,10,53,1,20,32,54,1991,0.0563,0.057
246,86,130,45,29,55,Benin,0.311531,0.126242,3051,3240,187,1418.0,1635,7878,256,3336,4541,8132,1991,0.202752,0.205705
584,149,173,24,33,116,Bolivia (Plurinational State of),0.1981,0.0449,1459,1531,72,394.0,1066,6718,149,1726,4992,6866,1991,0.2227,0.1124
2743,794,1151,357,387,407,Botswana,8.37,3.05,19523,20401,878,10787.0,8736,59591,1426,32335,27256,61017,1991,4.04,10.57
37619,10209,10983,774,2171,8038,Brazil,0.37,0.0384,30323,31932,1609,10949.0,19374,307497,4119,86204,221293,311617,1991,0.3478,0.217
25972,5306,7039,1733,2792,2514,Burkina Faso,3.59,0.5384,21024,25646,4622,12242.0,8781,153263,11464,86026,67236,164727,1991,1.24,2.2
2871,577,815,238,201,375,Burundi,1.13,0.3288,8445,9382,937,4155.0,4290,30094,1612,13303,16791,31706,1991,0.5975,0.7004
24483,7311,8898,1584,3374,3933,C?te d'Ivoire,3.45345,0.715771,45163,49546,4382,24250.0,20908,238607,9288,122693,115913,247894,1991,1.27864,2.32113
13708,3318,4585,1267,1633,1685,Cameroon,2.48,0.6441,35637,39299,3663,19940.0,15696,146709,7177,79204,67505,153887,1991,1.06,1.82
215,36,49,13,20,16,Cape Verde,0.8739,0.173,247,277,30,141.0,107,1327,79,763,564,1405,1991,0.5815,0.9141
6299,1847,2452,604,1012,835,Central African Republic,4.77,1.14,15759,17571,1813,9124.0,6634,72232,3772,41466,30766,76005,1991,1.85,3.53
5418,1146,1571,425,575,571,Chad,1.33,0.2783,7553,8807,1254,4316.0,3237,38272,2698,21011,17260,40969,1991,0.4841,0.8817
2964,594,703,109,240,354,Colombia,0.1182,0.0251,4551,4836,285,2240.0,2312,22264,652,11235,11029,22916,1991,0.0829,0.1293
418,66,71,5,17,49,Costa Rica,0.0877,0.0132,214,225,11,62.0,152,1506,35,427,1078,1541,1991,0.0764,0.0462
87,26,27,1,4,23,Cuba,0.0099,0.0019,122,125,2,30.0,92,655,6,125,530,661,1991,0.0039,0.0022
146741,17860,21413,3553,8045,9815,Democratic Republic of the Congo,1.67,0.1947,32264,40257,7994,18398.0,13865,301938,25764,155198,146740,327702,1991,0.4247,0.7649
15,7,11,4,2,5,Djibouti,0.3026,0.149,443,469,25,192.0,252,932,33,376,556,964,1991,0.2106,0.2095
673,329,483,154,191,139,Dominican Republic,0.7622,0.2472,8731,9155,424,4918.0,3812,27920,688,16510,11410,28607,1991,0.5393,1.06
2089,340,378,38,87,253,Ecuador,0.1984,0.0405,2093,2180,87,609.0,1484,10790,241,3110,7680,11031,1991,0.1909,0.1123
27,7,8,1,1,5,Egypt,0.0011,0.0002,64,67,3,16.0,48,289,5,69,221,295,1991,0.0012,0.0006
836,124,137,13,28,96,El Salvador,0.1538,0.0319,786,820,34,225.0,561,3963,87,1063,2899,4050,1991,0.1651,0.0812
230,64,81,16,32,32,Equatorial Guinea,0.7293,0.0971,205,251,46,113.0,92,1611,134,863,748,1745,1991,0.2238,0.4347
263,84,137,53,52,32,Eritrea,0.6276,0.1887,1573,1767,195,1045.0,527,5056,343,3313,1743,5399,1991,0.2206,0.5838
606,157,206,49,99,58,Gabon,1.17,0.3367,1696,1821,125,1174.0,521,6271,250,4243,2027,6521,1991,0.3515,1.09
199,37,48,11,17,20,Gambia,0.2423,0.0533,238,269,30,134.0,104,1135,68,607,528,1203,1991,0.0884,0.1546
132,26,26,1,1,24,Georgia,0.0202,0.004,114,116,2,53.0,61,609,2,149,460,611,1991,0.0068,0.0078
26374,4274,5306,1031,1849,2425,Ghana,1.69,0.3559,25650,28566,2916,14479.0,11171,130598,6483,69485,61113,137081,1991,0.6109,1.16
1279,369,374,5,65,304,Greece,0.1237,0.0123,626,633,8,110.0,516,6846,25,1251,5595,6871,1991,0.1186,0.0408
35,12,14,2,2,10,Guatemala,0.0279,0.0103,420,429,9,70.0,350,1184,13,185,999,1196,1991,0.0426,0.0103
1002,337,513,176,185,152,Guinea,0.6335,0.2206,6717,7382,665,4044.0,2673,20750,1060,12245,8505,21810,1991,0.2636,0.5473
24,6,9,2,3,3,Guyana,0.11,0.047,174,183,10,114.0,60,410,15,252,158,426,1991,0.0695,0.1534
6565,2066,2679,615,925,1142,Haiti,2.69632,0.672059,22075,23899,1822,11963.0,10115,94142,3439,48306,45837,97584,1991,1.1954,2.4174
6101,1281,1664,383,580,701,Honduras,1.89,0.2619,5723,6598,875,2874.0,2849,44023,2291,21382,22642,46315,1991,1.34,1.76
1,1,2,0,0,1,Indonesia,0.0002,0.0001,94,95,1,20.0,74,180,2,41,139,182,1991,0.0004,0.0001
420,88,112,24,49,39,Iran (Islamic Republic of),0.0098,0.0018,460,530,70,247.0,213,2691,221,1556,1135,2912,1991,0.0021,0.006
0,0,0,0,0,0,Italy,0.0,0.0,8,8,0,2.0,6,10,0,2,8,10,1991,0.0001,0.0
464,199,238,39,68,131,Jamaica,1.2,0.3157,3647,3728,81,1339.0,2308,14297,141,5011,9286,14437,1991,1.37,0.9526
13,6,6,0,0,6,Kazakhstan,0.0037,0.0011,99,99,1,9.0,90,334,1,16,317,334,1991,0.0024,0.0003
58889,15329,23648,8320,7127,8202,Kenya,7.98277,2.16042,205595,231716,26118,109829.0,95766,844225,50977,443020,401206,895201,1991,5.47173,9.53761
2,1,1,0,0,1,Kyrgyzstan,0.0027,0.0008,18,19,0,4.0,14,61,1,14,47,61,1991,0.0015,0.0008
15,14,16,1,4,10,Latvia,0.1192,0.0535,699,701,2,207.0,492,1547,3,460,1087,1550,1991,0.1561,0.0982
2198,484,624,140,190,294,Lesotho,3.57,1.24,8766,9241,475,4524.0,4241,26984,797,12902,14082,27782,1991,2.0,2.49
409,135,222,87,67,69,Liberia,0.9067,0.257,2457,2746,290,1380.0,1076,8724,478,4810,3913,9201,1991,0.4094,1.13
46,23,43,21,11,12,Madagascar,0.0527,0.0235,1243,1333,91,587.0,656,2898,124,1381,1516,3022,1991,0.0496,0.0608
59781,12158,17099,4941,6574,5584,Malawi,10.43,2.5,100935,116359,15424,58992.0,41943,468824,30644,272001,196823,499469,1991,2.99,7.78
181,146,147,2,1,144,Malaysia,0.2717,0.1951,20463,20471,8,258.0,20205,29478,8,346,29132,29486,1991,0.3505,0.006
8650,2375,3266,891,1236,1139,Mali,2.01,0.3523,13589,16217,2628,7786.0,5803,83178,6071,46151,37026,89249,1991,0.7541,1.34
311,70,96,26,36,34,Mauritania,0.3033,0.0728,676,750,74,358.0,319,2961,160,1579,1381,3121,1991,0.2127,0.3357
862,534,619,85,75,459,Mexico,0.1753,0.0726,30873,31154,281,4430.0,26443,77274,374,11268,66006,77648,1991,0.2765,0.0632
0,0,0,0,0,0,Mongolia,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,1991,0.0001,0.0
166,44,53,9,25,19,Morocco,0.0148,0.0035,428,450,22,278.0,149,1858,51,1155,703,1909,1991,0.0081,0.0193
16526,2936,3830,894,1065,1870,Mozambique,1.99811,0.505258,26017,28882,2867,13724.0,12291,112830,5387,52425,60403,118217,1991,1.01102,1.17496
70,104,120,17,9,95,Myanmar,0.1199,0.0748,14816,14907,91,1375.0,13441,24339,102,2195,22145,24441,1991,0.2956,0.0372
646,201,294,93,108,93,Namibia,2.18,0.8872,5901,6225,324,3430.0,2472,15442,498,8845,6597,15940,1991,1.06,1.86
1,0,0,0,0,0,Nepal,0.0005,0.0003,32,32,1,8.0,24,44,1,11,34,45,1991,0.0003,0.0002
1983,234,288,54,121,112,Nicaragua,0.279,0.0406,752,860,109,374.0,378,5478,428,2885,2593,5906,1991,0.1619,0.2374
712,199,311,112,84,114,Niger,0.3179,0.097,3407,3795,387,1628.0,1779,11707,634,5490,6217,12341,1991,0.266,0.3262
118025,24666,30885,6219,9336,15328,Nigeria,1.63626,0.357112,167193,184939,17744,93752.0,73442,814465,35369,391802,422663,849833,1991,0.650403,1.03512
446,85,95,10,16,68,Pakistan,0.005,0.001,531,561,30,132.0,399,2745,68,643,2102,2813,1991,0.0022,0.0015
217,77,90,13,20,57,Panama,0.3838,0.1255,1608,1643,35,465.0,1143,5118,68,1470,3648,5186,1991,0.4555,0.2639
59,24,35,11,9,15,Papua New Guinea,0.0941,0.0382,830,887,57,402.0,428,2131,85,968,1163,2216,1991,0.0546,0.0698
