PTRET	$MRKALL
PTRETYR	FOUR
PTSTU	$MRKALL
RACE	$RACE
RACETH	$ETHNIC
RACETHP	$ETHNCP
REFID	$REFID
REFYR	FOUR
RESPLCUS	$USNONUS
RESPLOC	$REGION
RURLIV	$YESNO
SALARP	NUMDOL
SALARY	NUMDOL
SLFTI	$YESNO
SLOCSPR	$PAYPER
SLOCSX	NUMDOLC
SPNAT	$YESNO
SPOT	$YESNO
SPOWK	$SPWORK
SPSOC	$YESNO
SUPDIR	SDIR
SUPIND	SIDIR
SUPWK	$YESNO
SURID	$SURID
TCADV	$YESNO
TCCAR	$YESNO
TCCHG	$YESNO
TCDG	$WRKDEG
TCED	$EDUC
TCEDNO	$NOFLD
TCEM	$YESNO
TCGRD	$YESNO
TCINT	$YESNO
TCLIC	$YESNO
TCOT	$YESNO
TCSKL	$YESNO
WAACC	$YESNO
WAAPRSH	$YESNO
WABRSH	$YESNO
WACOM	$YESNO
WADEV	$YESNO
WADSN	$YESNO
WAEMRL	$YESNO
WAMGMT	$YESNO
WAOT	$YESNO
WAPRI	$WRK3ACT
WAPROD	$YESNO
WAPRSM	$WRKSUM
WAQM	$YESNO
WASALE	$YESNO
WASCSM	$WRKSUM
WASEC	$WRK3ACT
WASVC	$YESNO
WATEA	$YESNO
WEIGHT	WGTFMT
WKTRNI	$YESNO
WRKG	$YESNO
WRKGP	$YESNO
WTAPRF	$YESNO
WTMGT	$YESNO
WTOT	$YESNO
WTRADV	$YESNO
WTRCHG	$YESNO
WTREM	$YESNO
WTRLIC	$YESNO
WTRNEW	$YESNO
WTROT	$YESNO
WTRSKL	$YESNO
WTRSN	$TRNREAS
WTSURVY	WGTFMT
WTTECH	$YESNO
