abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
False,False,False,False,False,Miami,1632,False,2018,US,163,proposed,False,False,60,False,224.89999389648,False,False,18030,False,True,True,25.782279968262,False,-80.191802978516,concrete,False,False,Paramount Miami Worldcenter,1,False,False,False,146,False,True,False,False,2016,False
False,False,False,False,False,Miami,1632,False,0,US,163,vision,False,False,65,False,224.33999633789,False,False,1195,False,False,False,0,False,0,concrete,False,False,Infinity II,2,False,True,False,147,False,True,False,False,0,False
False,False,False,False,False,Los Angeles,1611,False,1975,US,163,completed,False,False,55,False,224.0299987793,False,False,1200,False,True,False,34.053649902344,False,-118.25321960449,steel,False,False,Bank of America Plaza,1,False,True,False,148,False,False,False,False,0,False
False,False,False,False,False,Las Vegas,1610,False,0,US,163,on hold,False,False,63,False,224,False,True,1199,False,False,True,36.138069152832,False,-115.15952301025,concrete,False,False,Fontainebleau Resort Hotel,1,False,False,False,149,False,False,False,False,2007,False
False,False,False,False,False,Houston,1593,False,1984,US,163,completed,False,False,55,False,223.11999511719,False,False,1208,False,True,False,29.754400253296,False,-95.372703552246,steel,False,False,1600 Smith Street,1,False,True,False,150,False,False,False,False,0,False
False,False,False,False,False,Chicago,1539,False,2017,US,163,architecturally topped out,False,False,52,False,223,False,False,1381,False,True,True,41.886169433594,False,-87.639526367188,composite,False,False,River Point,1,False,True,False,151,False,False,False,False,2013,False
False,False,False,False,False,Chicago,1539,False,1986,US,163,completed,False,False,63,False,222.89999389648,False,False,1228,False,True,True,41.896411895752,False,-87.623153686523,concrete,False,False,Olympia Centre,2,False,True,False,152,False,True,False,False,1981,False
False,False,False,False,False,Philadelphia,1657,False,2017,US,163,under construction,False,False,49,False,222.5,False,False,15925,False,True,True,39.952091217041,False,-75.183563232422,composite,False,False,FMC Tower at Cira Centre South,2,False,True,False,153,False,True,False,False,2014,False
False,False,False,False,False,Detroit,1559,False,1977,US,163,completed,False,False,70,False,221.49000549316,False,True,1225,False,True,True,42.328990936279,False,-83.039688110352,concrete,False,False,Detroit Marriott at the Renaissance Center,1,False,False,False,154,False,False,False,False,1973,False
False,False,False,False,False,Chicago,1539,False,2009,US,163,completed,False,False,62,False,221.33999633789,False,False,1203,False,True,True,41.867141723633,False,-87.62133026123,concrete,False,False,One Museum Park,1,False,False,False,155,False,True,False,False,2005,False
False,False,False,False,False,New York City,1641,False,2004,US,163,completed,False,False,47,False,221.28999328613,False,False,1226,False,True,True,40.755588531494,False,-73.986923217773,steel,False,False,Times Square Tower,1,False,True,False,156,False,False,False,False,2001,False
False,False,False,False,False,Pittsburgh,1661,False,1983,US,163,completed,False,False,54,False,221,False,False,1231,False,True,False,40.439788818359,False,-79.996002197266,steel,False,False,One Mellon Center,1,False,True,False,157,False,False,False,False,0,False
False,False,False,False,False,Los Angeles,1611,False,1991,US,163,completed,False,False,53,False,221,False,False,1233,False,True,True,34.048500061035,False,-118.26139831543,steel,False,False,777 Tower,1,False,True,False,158,False,False,False,False,1988,False
False,False,False,False,False,Houston,1593,False,1982,US,163,completed,False,False,52,False,221,False,False,1234,False,True,False,29.7555103302,False,-95.361549377441,composite,False,False,Fulbright Tower,1,False,True,False,159,False,False,False,False,0,False
False,False,False,False,False,Atlanta,1509,False,1976,US,163,completed,False,False,73,False,220.36999511719,False,True,1241,False,True,False,33.75936126709,False,-84.388572692871,concrete,False,False,Westin Peachtree Plaza,1,False,False,False,160,False,False,False,False,0,False
False,False,False,False,False,Los Angeles,1611,False,1983,US,163,completed,False,False,54,False,220.36999511719,False,False,1242,False,True,True,34.052959442139,False,-118.25173187256,steel,False,False,Wells Fargo Tower,1,False,True,False,161,False,False,False,False,1982,False
False,False,False,False,False,Seattle,1680,False,1990,US,163,completed,False,False,57,False,220.07000732422,False,False,1248,False,True,True,47.605239868164,False,-122.32940673828,steel,False,False,Seattle Municipal Tower,1,False,True,False,162,False,False,False,False,1987,False
