attributes_bats,attributes_height,attributes_throws,attributes_weight,batting,birth_city,birth_country,birth_day,birth_month,birth_state,birth_year,fielding,name,pitching,salaries
R,70,R,185,"[{'runs': 3, 'hits': 5, 'at bats': 17, 'year': 1961}, {'runs': 96, 'hits': 186, 'at bats': 624, 'year': 1962}, {'runs': 75, 'hits': 163, 'at bats': 531, 'year': 1963}, {'runs': 87, 'hits': 161, 'at bats': 596, 'year': 1964}, {'runs': 59, 'hits': 117, 'at bats': 469, 'year': 1965}, {'runs': 30, 'hits': 66, 'at bats': 269, 'year': 1966}, {'runs': 31, 'hits': 83, 'at bats': 339, 'year': 1967}, {'runs': 14, 'hits': 49, 'at bats': 203, 'year': 1968}, {'runs': 15, 'hits': 42, 'at bats': 187, 'year': 1969}, {'runs': 9, 'hits': 15, 'at bats': 68, 'year': 1970}]",Mount Pleasant,USA,16,4,PA,1938,"[{'assists': 10, 'year': 1961, 'errors': 0, 'putouts': 5}, {'assists': 324, 'year': 1962, 'errors': 28, 'putouts': 137}, {'assists': 255, 'year': 1963, 'errors': 26, 'putouts': 122}, {'assists': 297, 'year': 1964, 'errors': 24, 'putouts': 134}, {'assists': 264, 'year': 1965, 'errors': 20, 'putouts': 144}, {'assists': 110, 'year': 1966, 'errors': 8, 'putouts': 58}, {'assists': 153, 'year': 1967, 'errors': 9, 'putouts': 83}, {'assists': 93, 'year': 1968, 'errors': 9, 'putouts': 28}, {'assists': 104, 'year': 1969, 'errors': 8, 'putouts': 42}, {'assists': 15, 'year': 1970, 'errors': 2, 'putouts': 3}]",Richard John Rollins,[],[]
R,69,R,175,"[{'runs': 8, 'hits': 12, 'at bats': 51, 'year': 1929}, {'runs': 50, 'hits': 112, 'at bats': 396, 'year': 1932}]",Donaldson,USA,5,12,AR,1901,"[{'assists': 29, 'year': 1929, 'errors': 1, 'putouts': 23}, {'assists': 215, 'year': 1932, 'errors': 28, 'putouts': 128}]",Carey Isom Selph,[],[]
L,74,L,180,"[{'runs': 0, 'hits': 0, 'at bats': 1, 'year': 1978}, {'runs': 1, 'hits': 1, 'at bats': 24, 'year': 1979}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1980}]",Bridgeport,USA,8,3,CT,1955,"[{'assists': 0, 'year': 1978, 'errors': 0, 'putouts': 1}, {'assists': 14, 'year': 1979, 'errors': 1, 'putouts': 6}, {'assists': 2, 'year': 1980, 'errors': 0, 'putouts': 1}]",Philip Nastu,"[{'wins': 0, 'hits': 8, 'losses': 1, 'games': 3, 'year': 1978}, {'wins': 3, 'hits': 105, 'losses': 4, 'games': 25, 'year': 1979}, {'wins': 0, 'hits': 10, 'losses': 0, 'games': 6, 'year': 1980}]",[]
L,76,R,200,"[{'runs': 5, 'hits': 16, 'at bats': 67, 'year': 1981}, {'runs': 82, 'hits': 160, 'at bats': 532, 'year': 1982}, {'runs': 75, 'hits': 153, 'at bats': 515, 'year': 1983}, {'runs': 80, 'hits': 174, 'at bats': 559, 'year': 1984}, {'runs': 78, 'hits': 165, 'at bats': 593, 'year': 1985}, {'runs': 85, 'hits': 147, 'at bats': 550, 'year': 1986}, {'runs': 85, 'hits': 136, 'at bats': 477, 'year': 1987}, {'runs': 75, 'hits': 159, 'at bats': 510, 'year': 1988}, {'runs': 59, 'hits': 102, 'at bats': 375, 'year': 1989}, {'runs': 61, 'hits': 141, 'at bats': 492, 'year': 1990}, {'runs': 72, 'hits': 131, 'at bats': 462, 'year': 1991}, {'runs': 52, 'hits': 96, 'at bats': 394, 'year': 1992}, {'runs': 60, 'hits': 95, 'at bats': 392, 'year': 1993}, {'runs': 34, 'hits': 74, 'at bats': 274, 'year': 1994}]",Minneapolis,USA,21,5,MN,1960,"[{'assists': 4, 'year': 1981, 'errors': 0, 'putouts': 124}, {'assists': 88, 'year': 1982, 'errors': 9, 'putouts': 1174}, {'assists': 89, 'year': 1983, 'errors': 13, 'putouts': 1151}, {'assists': 99, 'year': 1984, 'errors': 14, 'putouts': 1320}, {'assists': 114, 'year': 1985, 'errors': 8, 'putouts': 1339}, {'assists': 104, 'year': 1986, 'errors': 10, 'putouts': 1218}, {'assists': 68, 'year': 1987, 'errors': 5, 'putouts': 1179}, {'assists': 57, 'year': 1988, 'errors': 3, 'putouts': 842}, {'assists': 60, 'year': 1989, 'errors': 4, 'putouts': 723}, {'assists': 83, 'year': 1990, 'errors': 3, 'putouts': 1057}, {'assists': 95, 'year': 1991, 'errors': 8, 'putouts': 1138}, {'assists': 68, 'year': 1992, 'errors': 3, 'putouts': 954}, {'assists': 81, 'year': 1993, 'errors': 5, 'putouts': 940}, {'assists': 41, 'year': 1994, 'errors': 2, 'putouts': 566}]",Kent Allen Hrbek,[],"[{'salary': 19900000, 'year': 1985}]"
R,74,R,215,"[{'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1992}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1993}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1994}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1995}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1996}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1997}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1998}]",Chicago,USA,29,5,IL,1967,"[{'assists': 1, 'year': 1992, 'errors': 0, 'putouts': 0}, {'assists': 0, 'year': 1993, 'errors': 0, 'putouts': 1}, {'assists': 2, 'year': 1994, 'errors': 1, 'putouts': 5}, {'assists': 3, 'year': 1995, 'errors': 0, 'putouts': 2}, {'assists': 3, 'year': 1996, 'errors': 0, 'putouts': 1}, {'assists': 0, 'year': 1997, 'errors': 0, 'putouts': 0}, {'assists': 3, 'year': 1998, 'errors': 0, 'putouts': 2}]",William Charles Risley,"[{'wins': 1, 'hits': 4, 'losses': 0, 'games': 1, 'year': 1992}, {'wins': 0, 'hits': 2, 'losses': 0, 'games': 2, 'year': 1993}, {'wins': 9, 'hits': 31, 'losses': 6, 'games': 37, 'year': 1994}, {'wins': 2, 'hits': 55, 'losses': 1, 'games': 45, 'year': 1995}, {'wins': 0, 'hits': 33, 'losses': 1, 'games': 25, 'year': 1996}, {'wins': 0, 'hits': 3, 'losses': 1, 'games': 3, 'year': 1997}, {'wins': 3, 'hits': 52, 'losses': 4, 'games': 44, 'year': 1998}]","[{'salary': 1949500, 'year': 1993}]"
,0,,0,"[{'runs': 0, 'hits': 0, 'at bats': 5, 'year': 1874}]",,,0,0,,0,"[{'assists': 0, 'year': 1874, 'errors': 1, 'putouts': 0}]", Wood,[],[]
R,74,R,200,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1998}]",Seattle,USA,30,12,WA,1969,"[{'assists': 0, 'year': 1998, 'errors': 0, 'putouts': 0}]",Stephen Robert Gajkowski,"[{'wins': 0, 'hits': 14, 'losses': 0, 'games': 9, 'year': 1998}]",[]
R,72,R,170,"[{'runs': 12, 'hits': 8, 'at bats': 29, 'year': 1984}, {'runs': 54, 'hits': 105, 'at bats': 416, 'year': 1985}, {'runs': 32, 'hits': 57, 'at bats': 208, 'year': 1986}, {'runs': 24, 'hits': 46, 'at bats': 196, 'year': 1987}, {'runs': 22, 'hits': 69, 'at bats': 270, 'year': 1988}, {'runs': 25, 'hits': 57, 'at bats': 266, 'year': 1989}, {'runs': 19, 'hits': 42, 'at bats': 157, 'year': 1990}, {'runs': 1, 'hits': 2, 'at bats': 22, 'year': 1991}, {'runs': 0, 'hits': 0, 'at bats': 4, 'year': 1996}]",Philadelphia,USA,26,1,PA,1962,"[{'assists': 13, 'year': 1984, 'errors': 1, 'putouts': 7}, {'assists': 191, 'year': 1985, 'errors': 20, 'putouts': 86}, {'assists': 94, 'year': 1986, 'errors': 13, 'putouts': 42}, {'assists': 71, 'year': 1987, 'errors': 10, 'putouts': 193}, {'assists': 110, 'year': 1988, 'errors': 11, 'putouts': 94}, {'assists': 126, 'year': 1989, 'errors': 12, 'putouts': 59}, {'assists': 81, 'year': 1990, 'errors': 11, 'putouts': 104}, {'assists': 1, 'year': 1991, 'errors': 1, 'putouts': 15}, {'assists': 2, 'year': 1996, 'errors': 1, 'putouts': 0}]",Richard Spencer Schu,[],"[{'salary': 590000, 'year': 1986}]"
R,76,R,195,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2000}]",Syracuse,USA,22,12,NY,1971,"[{'assists': 0, 'year': 2000, 'errors': 0, 'putouts': 0}]",Jon Charles Ratliff,"[{'wins': 0, 'hits': 0, 'losses': 0, 'games': 1, 'year': 2000}]",[]
R,75,R,200,"[{'runs': 1, 'hits': 4, 'at bats': 7, 'year': 2014}]",Barquisimeto,Venezuela,20,5,Lara,1988,"[{'assists': 4, 'year': 2014, 'errors': 1, 'putouts': 1}]",Carlos Luis Rivero,[],[]
R,73,R,170,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1978}]",Lafayette,USA,10,8,LA,1949,"[{'assists': 2, 'year': 1978, 'errors': 0, 'putouts': 2}]",Thomas Dale Brown,"[{'wins': 0, 'hits': 14, 'losses': 0, 'games': 6, 'year': 1978}]",[]
L,73,L,190,"[{'runs': 0, 'hits': 1, 'at bats': 7, 'year': 1984}, {'runs': 4, 'hits': 17, 'at bats': 88, 'year': 1985}, {'runs': 9, 'hits': 14, 'at bats': 86, 'year': 1986}, {'runs': 2, 'hits': 8, 'at bats': 52, 'year': 1987}, {'runs': 7, 'hits': 12, 'at bats': 83, 'year': 1988}, {'runs': 2, 'hits': 7, 'at bats': 78, 'year': 1989}, {'runs': 6, 'hits': 7, 'at bats': 75, 'year': 1990}, {'runs': 3, 'hits': 12, 'at bats': 70, 'year': 1991}, {'runs': 4, 'hits': 7, 'at bats': 31, 'year': 1992}, {'runs': 4, 'hits': 8, 'at bats': 37, 'year': 1993}, {'runs': 1, 'hits': 2, 'at bats': 14, 'year': 1994}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1995}]",Casper,USA,28,4,WY,1960,"[{'assists': 3, 'year': 1984, 'errors': 0, 'putouts': 1}, {'assists': 34, 'year': 1985, 'errors': 2, 'putouts': 12}, {'assists': 26, 'year': 1986, 'errors': 3, 'putouts': 11}, {'assists': 23, 'year': 1987, 'errors': 3, 'putouts': 5}, {'assists': 30, 'year': 1988, 'errors': 3, 'putouts': 8}, {'assists': 35, 'year': 1989, 'errors': 0, 'putouts': 8}, {'assists': 27, 'year': 1990, 'errors': 3, 'putouts': 8}, {'assists': 24, 'year': 1991, 'errors': 5, 'putouts': 8}, {'assists': 14, 'year': 1992, 'errors': 1, 'putouts': 6}, {'assists': 21, 'year': 1993, 'errors': 0, 'putouts': 10}, {'assists': 6, 'year': 1994, 'errors': 0, 'putouts': 1}, {'assists': 2, 'year': 1995, 'errors': 0, 'putouts': 0}]",Thomas Leo Browning,"[{'wins': 1, 'hits': 27, 'losses': 0, 'games': 3, 'year': 1984}, {'wins': 20, 'hits': 242, 'losses': 9, 'games': 38, 'year': 1985}, {'wins': 14, 'hits': 225, 'losses': 13, 'games': 39, 'year': 1986}, {'wins': 10, 'hits': 201, 'losses': 13, 'games': 32, 'year': 1987}, {'wins': 18, 'hits': 205, 'losses': 5, 'games': 36, 'year': 1988}, {'wins': 15, 'hits': 241, 'losses': 12, 'games': 37, 'year': 1989}, {'wins': 15, 'hits': 235, 'losses': 9, 'games': 35, 'year': 1990}, {'wins': 14, 'hits': 241, 'losses': 14, 'games': 36, 'year': 1991}, {'wins': 6, 'hits': 108, 'losses': 5, 'games': 16, 'year': 1992}, {'wins': 7, 'hits': 159, 'losses': 7, 'games': 21, 'year': 1993}, {'wins': 3, 'hits': 34, 'losses': 1, 'games': 7, 'year': 1994}, {'wins': 0, 'hits': 13, 'losses': 2, 'games': 2, 'year': 1995}]","[{'salary': 16713333, 'year': 1985}]"
R,73,R,170,"[{'runs': 17, 'hits': 24, 'at bats': 146, 'year': 1944}, {'runs': 13, 'hits': 48, 'at bats': 196, 'year': 1945}, {'runs': 3, 'hits': 8, 'at bats': 34, 'year': 1947}, {'runs': 18, 'hits': 35, 'at bats': 145, 'year': 1948}, {'runs': 14, 'hits': 27, 'at bats': 89, 'year': 1949}, {'runs': 15, 'hits': 25, 'at bats': 86, 'year': 1950}, {'runs': 26, 'hits': 47, 'at bats': 221, 'year': 1951}, {'runs': 26, 'hits': 68, 'at bats': 225, 'year': 1952}, {'runs': 19, 'hits': 27, 'at bats': 138, 'year': 1953}]",Brooklyn,USA,6,12,NY,1927,"[{'assists': 109, 'year': 1944, 'errors': 16, 'putouts': 89}, {'assists': 164, 'year': 1945, 'errors': 23, 'putouts': 93}, {'assists': 15, 'year': 1947, 'errors': 2, 'putouts': 12}, {'assists': 60, 'year': 1948, 'errors': 7, 'putouts': 44}, {'assists': 1, 'year': 1949, 'errors': 4, 'putouts': 53}, {'assists': 2, 'year': 1950, 'errors': 3, 'putouts': 31}, {'assists': 37, 'year': 1951, 'errors': 9, 'putouts': 183}, {'assists': 112, 'year': 1952, 'errors': 17, 'putouts': 144}, {'assists': 70, 'year': 1953, 'errors': 13, 'putouts': 48}]",Thomas Michael Brown,[],[]
B,73,L,190,"[{'runs': 8, 'hits': 17, 'at bats': 116, 'year': 1963}]",Laureldale,USA,12,12,PA,1940,"[{'assists': 7, 'year': 1963, 'errors': 0, 'putouts': 142}]",Thomas William Brown,[],[]
R,70,R,143,"[{'runs': 7, 'hits': 15, 'at bats': 46, 'year': 1910}]",Chicago,USA,4,6,IL,1882,"[{'assists': 33, 'year': 1910, 'errors': 8, 'putouts': 16}]",Joseph Peter Burg,[],[]
L,70,R,168,"[{'runs': 30, 'hits': 55, 'at bats': 181, 'year': 1882}, {'runs': 69, 'hits': 115, 'at bats': 420, 'year': 1883}, {'runs': 93, 'hits': 123, 'at bats': 451, 'year': 1884}, {'runs': 81, 'hits': 134, 'at bats': 437, 'year': 1885}, {'runs': 106, 'hits': 131, 'at bats': 460, 'year': 1886}, {'runs': 50, 'hits': 72, 'at bats': 332, 'year': 1887}, {'runs': 62, 'hits': 104, 'at bats': 420, 'year': 1888}, {'runs': 93, 'hits': 84, 'at bats': 362, 'year': 1889}, {'runs': 146, 'hits': 149, 'at bats': 543, 'year': 1890}, {'runs': 177, 'hits': 189, 'at bats': 589, 'year': 1891}, {'runs': 105, 'hits': 150, 'at bats': 660, 'year': 1892}, {'runs': 104, 'hits': 127, 'at bats': 529, 'year': 1893}, {'runs': 122, 'hits': 136, 'at bats': 536, 'year': 1894}, {'runs': 97, 'hits': 108, 'at bats': 484, 'year': 1895}, {'runs': 87, 'hits': 128, 'at bats': 435, 'year': 1896}, {'runs': 91, 'hits': 137, 'at bats': 469, 'year': 1897}, {'runs': 8, 'hits': 9, 'at bats': 55, 'year': 1898}]",Liverpool,United Kingdom,21,9,Merseyside,1860,"[{'assists': 16, 'year': 1882, 'errors': 28, 'putouts': 59}, {'assists': 22, 'year': 1883, 'errors': 44, 'putouts': 153}, {'assists': 18, 'year': 1884, 'errors': 35, 'putouts': 165}, {'assists': 21, 'year': 1885, 'errors': 44, 'putouts': 186}, {'assists': 32, 'year': 1886, 'errors': 42, 'putouts': 185}, {'assists': 17, 'year': 1887, 'errors': 36, 'putouts': 188}, {'assists': 18, 'year': 1888, 'errors': 22, 'putouts': 172}, {'assists': 13, 'year': 1889, 'errors': 20, 'putouts': 169}, {'assists': 32, 'year': 1890, 'errors': 30, 'putouts': 276}, {'assists': 23, 'year': 1891, 'errors': 35, 'putouts': 228}, {'assists': 37, 'year': 1892, 'errors': 34, 'putouts': 351}, {'assists': 39, 'year': 1893, 'errors': 29, 'putouts': 339}, {'assists': 21, 'year': 1894, 'errors': 34, 'putouts': 331}, {'assists': 16, 'year': 1895, 'errors': 18, 'putouts': 274}, {'assists': 7, 'year': 1896, 'errors': 21, 'putouts': 262}, {'assists': 17, 'year': 1897, 'errors': 21, 'putouts': 252}, {'assists': 1, 'year': 1898, 'errors': 3, 'putouts': 36}]",Thomas Tarlton Brown,"[{'wins': 0, 'hits': 13, 'losses': 0, 'games': 2, 'year': 1882}, {'wins': 0, 'hits': 14, 'losses': 1, 'games': 3, 'year': 1883}, {'wins': 2, 'hits': 27, 'losses': 1, 'games': 4, 'year': 1884}, {'wins': 0, 'hits': 0, 'losses': 0, 'games': 2, 'year': 1885}, {'wins': 0, 'hits': 2, 'losses': 0, 'games': 1, 'year': 1886}]",[]
R,74,R,190,"[{'runs': 6, 'hits': 20, 'at bats': 89, 'year': 1987}, {'runs': 9, 'hits': 19, 'at bats': 96, 'year': 1988}, {'runs': 1, 'hits': 3, 'at bats': 11, 'year': 1989}, {'runs': 0, 'hits': 0, 'at bats': 9, 'year': 1990}, {'runs': 0, 'hits': 0, 'at bats': 7, 'year': 1993}, {'runs': 10, 'hits': 25, 'at bats': 114, 'year': 1994}]",Fort Pierce,USA,23,9,FL,1963,"[{'assists': 14, 'year': 1987, 'errors': 3, 'putouts': 160}, {'assists': 14, 'year': 1988, 'errors': 2, 'putouts': 177}, {'assists': 3, 'year': 1989, 'errors': 2, 'putouts': 23}, {'assists': 2, 'year': 1990, 'errors': 1, 'putouts': 13}, {'assists': 0, 'year': 1993, 'errors': 0, 'putouts': 12}, {'assists': 23, 'year': 1994, 'errors': 2, 'putouts': 207}]",Terence Roy McGriff,[],"[{'salary': 341500, 'year': 1987}]"
L,73,L,190,"[{'runs': 4, 'hits': 9, 'at bats': 48, 'year': 1977}, {'runs': 2, 'hits': 5, 'at bats': 31, 'year': 1978}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1979}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1980}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1981}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1982}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1983}, {'runs': 0, 'hits': 0, 'at bats': 1, 'year': 1984}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1985}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1986}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1987}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1988}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1989}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1991}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1992}]",Pierre,USA,10,6,SD,1955,"[{'assists': 14, 'year': 1977, 'errors': 0, 'putouts': 6}, {'assists': 6, 'year': 1978, 'errors': 0, 'putouts': 1}, {'assists': 15, 'year': 1979, 'errors': 0, 'putouts': 10}, {'assists': 26, 'year': 1980, 'errors': 1, 'putouts': 12}, {'assists': 15, 'year': 1981, 'errors': 0, 'putouts': 6}, {'assists': 30, 'year': 1982, 'errors': 2, 'putouts': 8}, {'assists': 23, 'year': 1983, 'errors': 2, 'putouts': 8}, {'assists': 23, 'year': 1984, 'errors': 1, 'putouts': 3}, {'assists': 22, 'year': 1985, 'errors': 1, 'putouts': 4}, {'assists': 22, 'year': 1986, 'errors': 1, 'putouts': 3}, {'assists': 22, 'year': 1987, 'errors': 1, 'putouts': 10}, {'assists': 25, 'year': 1988, 'errors': 1, 'putouts': 8}, {'assists': 15, 'year': 1989, 'errors': 0, 'putouts': 3}, {'assists': 1, 'year': 1991, 'errors': 0, 'putouts': 0}, {'assists': 5, 'year': 1992, 'errors': 0, 'putouts': 4}]",Floyd Franklin Bannister,"[{'wins': 8, 'hits': 138, 'losses': 9, 'games': 24, 'year': 1977}, {'wins': 3, 'hits': 120, 'losses': 9, 'games': 28, 'year': 1978}, {'wins': 10, 'hits': 185, 'losses': 15, 'games': 30, 'year': 1979}, {'wins': 9, 'hits': 200, 'losses': 13, 'games': 32, 'year': 1980}, {'wins': 9, 'hits': 128, 'losses': 9, 'games': 21, 'year': 1981}, {'wins': 12, 'hits': 225, 'losses': 13, 'games': 35, 'year': 1982}, {'wins': 16, 'hits': 191, 'losses': 10, 'games': 34, 'year': 1983}, {'wins': 14, 'hits': 211, 'losses': 11, 'games': 34, 'year': 1984}, {'wins': 10, 'hits': 211, 'losses': 14, 'games': 34, 'year': 1985}, {'wins': 10, 'hits': 162, 'losses': 14, 'games': 28, 'year': 1986}, {'wins': 16, 'hits': 216, 'losses': 11, 'games': 34, 'year': 1987}, {'wins': 12, 'hits': 182, 'losses': 13, 'games': 31, 'year': 1988}, {'wins': 4, 'hits': 87, 'losses': 1, 'games': 14, 'year': 1989}, {'wins': 0, 'hits': 25, 'losses': 0, 'games': 16, 'year': 1991}, {'wins': 1, 'hits': 39, 'losses': 1, 'games': 36, 'year': 1992}]","[{'salary': 4946250, 'year': 1985}]"
R,75,R,220,"[{'runs': 8, 'hits': 19, 'at bats': 62, 'year': 1997}, {'runs': 31, 'hits': 64, 'at bats': 211, 'year': 1998}, {'runs': 49, 'hits': 87, 'at bats': 383, 'year': 1999}, {'runs': 118, 'hits': 175, 'at bats': 558, 'year': 2000}, {'runs': 70, 'hits': 141, 'at bats': 512, 'year': 2001}, {'runs': 54, 'hits': 91, 'at bats': 388, 'year': 2002}, {'runs': 91, 'hits': 159, 'at bats': 514, 'year': 2003}, {'runs': 67, 'hits': 125, 'at bats': 523, 'year': 2004}, {'runs': 43, 'hits': 68, 'at bats': 308, 'year': 2005}]",Caracas,Venezuela,28,6,Distrito Federal,1975,"[{'assists': 0, 'year': 1997, 'errors': 0, 'putouts': 56}, {'assists': 6, 'year': 1998, 'errors': 6, 'putouts': 262}, {'assists': 30, 'year': 1999, 'errors': 4, 'putouts': 426}, {'assists': 7, 'year': 2000, 'errors': 7, 'putouts': 425}, {'assists': 11, 'year': 2001, 'errors': 3, 'putouts': 332}, {'assists': 6, 'year': 2002, 'errors': 1, 'putouts': 210}, {'assists': 22, 'year': 2003, 'errors': 4, 'putouts': 277}, {'assists': 14, 'year': 2004, 'errors': 6, 'putouts': 266}, {'assists': 3, 'year': 2005, 'errors': 2, 'putouts': 179}]",Richard Jose Hidalgo,[],"[{'salary': 35910000, 'year': 1997}]"
R,73,L,182,"[{'runs': 0, 'hits': 4, 'at bats': 33, 'year': 1962}, {'runs': 5, 'hits': 14, 'at bats': 74, 'year': 1963}, {'runs': 2, 'hits': 9, 'at bats': 67, 'year': 1964}, {'runs': 3, 'hits': 4, 'at bats': 45, 'year': 1965}, {'runs': 5, 'hits': 7, 'at bats': 59, 'year': 1966}, {'runs': 2, 'hits': 7, 'at bats': 67, 'year': 1967}, {'runs': 2, 'hits': 2, 'at bats': 65, 'year': 1968}, {'runs': 3, 'hits': 15, 'at bats': 88, 'year': 1969}, {'runs': 3, 'hits': 8, 'at bats': 45, 'year': 1970}, {'runs': 0, 'hits': 1, 'at bats': 6, 'year': 1971}, {'runs': 0, 'hits': 1, 'at bats': 3, 'year': 1972}]",Corona,USA,25,2,CA,1939,"[{'assists': 7, 'year': 1962, 'errors': 3, 'putouts': 3}, {'assists': 26, 'year': 1963, 'errors': 2, 'putouts': 12}, {'assists': 35, 'year': 1964, 'errors': 0, 'putouts': 11}, {'assists': 23, 'year': 1965, 'errors': 3, 'putouts': 10}, {'assists': 18, 'year': 1966, 'errors': 0, 'putouts': 7}, {'assists': 35, 'year': 1967, 'errors': 0, 'putouts': 7}, {'assists': 27, 'year': 1968, 'errors': 4, 'putouts': 7}, {'assists': 33, 'year': 1969, 'errors': 0, 'putouts': 12}, {'assists': 17, 'year': 1970, 'errors': 1, 'putouts': 8}, {'assists': 10, 'year': 1971, 'errors': 0, 'putouts': 1}, {'assists': 1, 'year': 1972, 'errors': 0, 'putouts': 0}]",Denver Clayton Lemaster,"[{'wins': 3, 'hits': 75, 'losses': 4, 'games': 17, 'year': 1962}, {'wins': 11, 'hits': 199, 'losses': 14, 'games': 46, 'year': 1963}, {'wins': 17, 'hits': 216, 'losses': 11, 'games': 39, 'year': 1964}, {'wins': 7, 'hits': 140, 'losses': 13, 'games': 32, 'year': 1965}, {'wins': 11, 'hits': 170, 'losses': 8, 'games': 27, 'year': 1966}, {'wins': 9, 'hits': 184, 'losses': 9, 'games': 31, 'year': 1967}, {'wins': 10, 'hits': 231, 'losses': 15, 'games': 33, 'year': 1968}, {'wins': 13, 'hits': 232, 'losses': 17, 'games': 38, 'year': 1969}, {'wins': 7, 'hits': 169, 'losses': 12, 'games': 39, 'year': 1970}, {'wins': 0, 'hits': 59, 'losses': 2, 'games': 42, 'year': 1971}, {'wins': 2, 'hits': 28, 'losses': 0, 'games': 13, 'year': 1972}]",[]
,70,,150,"[{'runs': 0, 'hits': 1, 'at bats': 3, 'year': 1894}]",Louisville,USA,30,6,KY,1873,"[{'assists': 5, 'year': 1894, 'errors': 0, 'putouts': 0}]",George Irvin Stultz,"[{'wins': 1, 'hits': 4, 'losses': 0, 'games': 1, 'year': 1894}]",[]
L,71,R,175,"[{'runs': 0, 'hits': 0, 'at bats': 10, 'year': 1972}, {'runs': 0, 'hits': 1, 'at bats': 4, 'year': 1975}, {'runs': 13, 'hits': 23, 'at bats': 82, 'year': 1977}, {'runs': 22, 'hits': 49, 'at bats': 213, 'year': 1978}, {'runs': 28, 'hits': 57, 'at bats': 230, 'year': 1979}, {'runs': 16, 'hits': 54, 'at bats': 176, 'year': 1980}, {'runs': 25, 'hits': 73, 'at bats': 236, 'year': 1981}, {'runs': 24, 'hits': 51, 'at bats': 219, 'year': 1982}, {'runs': 25, 'hits': 51, 'at bats': 184, 'year': 1983}, {'runs': 2, 'hits': 18, 'at bats': 62, 'year': 1984}, {'runs': 1, 'hits': 5, 'at bats': 38, 'year': 1985}]",St. Louis,USA,12,5,MO,1951,"[{'assists': 3, 'year': 1972, 'errors': 1, 'putouts': 12}, {'assists': 0, 'year': 1975, 'errors': 0, 'putouts': 2}, {'assists': 7, 'year': 1977, 'errors': 0, 'putouts': 80}, {'assists': 24, 'year': 1978, 'errors': 7, 'putouts': 295}, {'assists': 27, 'year': 1979, 'errors': 6, 'putouts': 328}, {'assists': 26, 'year': 1980, 'errors': 5, 'putouts': 271}, {'assists': 18, 'year': 1981, 'errors': 2, 'putouts': 393}, {'assists': 22, 'year': 1982, 'errors': 7, 'putouts': 292}, {'assists': 16, 'year': 1983, 'errors': 5, 'putouts': 223}, {'assists': 3, 'year': 1984, 'errors': 1, 'putouts': 22}, {'assists': 2, 'year': 1985, 'errors': 0, 'putouts': 22}]",Joseph William Nolan,[],"[{'salary': 341667, 'year': 1985}]"
R,70,R,150,"[{'runs': 1, 'hits': 0, 'at bats': 0, 'year': 1928}]",Vanleer,USA,9,5,TN,1904,[],James Paul Hinson,[],[]
L,72,R,185,"[{'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1913}]",Brooklyn,USA,1,4,NY,1890,[],George Joseph Young,[],[]
