attributes_bats,attributes_height,attributes_throws,attributes_weight,batting,birth_city,birth_country,birth_day,birth_month,birth_state,birth_year,fielding,name,pitching,salaries
R,75,R,240,"[{'runs': 0, 'hits': 0, 'at bats': 4, 'year': 2009}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2010}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2012}, {'runs': 0, 'hits': 0, 'at bats': 1, 'year': 2013}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2014}]",Maracay,Venezuela,31,12,Aragua,1982,"[{'assists': 8, 'year': 2009, 'errors': 1, 'putouts': 3}, {'assists': 9, 'year': 2010, 'errors': 0, 'putouts': 4}, {'assists': 14, 'year': 2012, 'errors': 1, 'putouts': 4}, {'assists': 15, 'year': 2013, 'errors': 2, 'putouts': 6}, {'assists': 9, 'year': 2014, 'errors': 0, 'putouts': 2}]",Ronald J. Belisario,"[{'wins': 4, 'hits': 52, 'losses': 3, 'games': 69, 'year': 2009}, {'wins': 3, 'hits': 52, 'losses': 1, 'games': 59, 'year': 2010}, {'wins': 8, 'hits': 47, 'losses': 1, 'games': 68, 'year': 2012}, {'wins': 5, 'hits': 72, 'losses': 7, 'games': 77, 'year': 2013}, {'wins': 4, 'hits': 78, 'losses': 8, 'games': 62, 'year': 2014}]","[{'salary': 5342500, 'year': 2010}]"
R,71,R,175,"[{'runs': 76, 'hits': 94, 'at bats': 355, 'year': 1880}, {'runs': 57, 'hits': 92, 'at bats': 341, 'year': 1881}, {'runs': 90, 'hits': 104, 'at bats': 360, 'year': 1882}, {'runs': 110, 'hits': 128, 'at bats': 421, 'year': 1883}, {'runs': 124, 'hits': 146, 'at bats': 448, 'year': 1884}, {'runs': 130, 'hits': 153, 'at bats': 486, 'year': 1885}, {'runs': 115, 'hits': 144, 'at bats': 489, 'year': 1886}, {'runs': 125, 'hits': 142, 'at bats': 497, 'year': 1887}, {'runs': 127, 'hits': 152, 'at bats': 530, 'year': 1888}, {'runs': 152, 'hits': 171, 'at bats': 556, 'year': 1889}, {'runs': 142, 'hits': 144, 'at bats': 481, 'year': 1890}, {'runs': 118, 'hits': 152, 'at bats': 544, 'year': 1891}, {'runs': 79, 'hits': 101, 'at bats': 429, 'year': 1892}, {'runs': 47, 'hits': 48, 'at bats': 201, 'year': 1893}]",Philadelphia,USA,20,12,PA,1856,"[{'assists': 18, 'year': 1880, 'errors': 35, 'putouts': 516}, {'assists': 17, 'year': 1881, 'errors': 32, 'putouts': 608}, {'assists': 25, 'year': 1882, 'errors': 45, 'putouts': 557}, {'assists': 23, 'year': 1883, 'errors': 39, 'putouts': 985}, {'assists': 32, 'year': 1884, 'errors': 45, 'putouts': 1061}, {'assists': 36, 'year': 1885, 'errors': 44, 'putouts': 927}, {'assists': 25, 'year': 1886, 'errors': 56, 'putouts': 798}, {'assists': 35, 'year': 1887, 'errors': 36, 'putouts': 613}, {'assists': 16, 'year': 1888, 'errors': 14, 'putouts': 329}, {'assists': 38, 'year': 1889, 'errors': 37, 'putouts': 287}, {'assists': 24, 'year': 1890, 'errors': 19, 'putouts': 189}, {'assists': 22, 'year': 1891, 'errors': 25, 'putouts': 233}, {'assists': 14, 'year': 1892, 'errors': 27, 'putouts': 285}, {'assists': 4, 'year': 1893, 'errors': 16, 'putouts': 133}]",Harry Duffield Stovey,"[{'wins': 0, 'hits': 8, 'losses': 0, 'games': 2, 'year': 1880}, {'wins': 0, 'hits': 5, 'losses': 0, 'games': 1, 'year': 1883}, {'wins': 0, 'hits': 2, 'losses': 0, 'games': 1, 'year': 1886}]",[]
L,75,R,190,"[{'runs': 2, 'hits': 7, 'at bats': 43, 'year': 1936}, {'runs': 3, 'hits': 10, 'at bats': 78, 'year': 1937}, {'runs': 5, 'hits': 15, 'at bats': 61, 'year': 1938}, {'runs': 0, 'hits': 1, 'at bats': 3, 'year': 1939}]",Glen Rose,USA,31,5,TX,1905,"[{'assists': 26, 'year': 1936, 'errors': 3, 'putouts': 14}, {'assists': 31, 'year': 1937, 'errors': 5, 'putouts': 21}, {'assists': 23, 'year': 1938, 'errors': 1, 'putouts': 1}, {'assists': 8, 'year': 1939, 'errors': 0, 'putouts': 2}]",Roy Thomas Davis,"[{'wins': 8, 'hits': 139, 'losses': 8, 'games': 26, 'year': 1936}, {'wins': 11, 'hits': 252, 'losses': 13, 'games': 42, 'year': 1937}, {'wins': 7, 'hits': 193, 'losses': 12, 'games': 29, 'year': 1938}, {'wins': 1, 'hits': 43, 'losses': 0, 'games': 20, 'year': 1939}]",[]
R,79,R,250,"[{'runs': 0, 'hits': 0, 'at bats': 9, 'year': 2006}, {'runs': 1, 'hits': 2, 'at bats': 21, 'year': 2007}, {'runs': 4, 'hits': 5, 'at bats': 59, 'year': 2008}, {'runs': 4, 'hits': 5, 'at bats': 52, 'year': 2009}, {'runs': 2, 'hits': 7, 'at bats': 62, 'year': 2010}, {'runs': 1, 'hits': 6, 'at bats': 55, 'year': 2011}, {'runs': 1, 'hits': 1, 'at bats': 6, 'year': 2012}, {'runs': 0, 'hits': 0, 'at bats': 1, 'year': 2013}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2014}]",Wright Patterson AFB,USA,14,1,OH,1984,"[{'assists': 3, 'year': 2006, 'errors': 0, 'putouts': 1}, {'assists': 7, 'year': 2007, 'errors': 0, 'putouts': 1}, {'assists': 33, 'year': 2008, 'errors': 0, 'putouts': 14}, {'assists': 25, 'year': 2009, 'errors': 2, 'putouts': 12}, {'assists': 35, 'year': 2010, 'errors': 2, 'putouts': 11}, {'assists': 25, 'year': 2011, 'errors': 1, 'putouts': 15}, {'assists': 4, 'year': 2012, 'errors': 1, 'putouts': 3}, {'assists': 14, 'year': 2013, 'errors': 2, 'putouts': 11}, {'assists': 3, 'year': 2014, 'errors': 0, 'putouts': 0}]",Michael Alan Pelfrey,"[{'wins': 2, 'hits': 25, 'losses': 1, 'games': 4, 'year': 2006}, {'wins': 3, 'hits': 85, 'losses': 8, 'games': 15, 'year': 2007}, {'wins': 13, 'hits': 209, 'losses': 11, 'games': 32, 'year': 2008}, {'wins': 10, 'hits': 213, 'losses': 12, 'games': 31, 'year': 2009}, {'wins': 15, 'hits': 213, 'losses': 9, 'games': 34, 'year': 2010}, {'wins': 7, 'hits': 220, 'losses': 13, 'games': 34, 'year': 2011}, {'wins': 0, 'hits': 24, 'losses': 0, 'games': 3, 'year': 2012}, {'wins': 5, 'hits': 184, 'losses': 13, 'games': 29, 'year': 2013}, {'wins': 0, 'hits': 29, 'losses': 3, 'games': 5, 'year': 2014}]","[{'salary': 18337500, 'year': 2008}]"
R,73,R,185,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1988}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1991}]",West Bend,USA,11,11,WI,1961,"[{'assists': 0, 'year': 1988, 'errors': 0, 'putouts': 1}, {'assists': 0, 'year': 1991, 'errors': 0, 'putouts': 0}]",Scott Francis May,"[{'wins': 0, 'hits': 8, 'losses': 0, 'games': 3, 'year': 1988}, {'wins': 0, 'hits': 6, 'losses': 0, 'games': 2, 'year': 1991}]",[]
L,68,R,190,"[{'runs': 90, 'hits': 154, 'at bats': 437, 'year': 1899}, {'runs': 105, 'hits': 158, 'at bats': 567, 'year': 1900}, {'runs': 120, 'hits': 185, 'at bats': 558, 'year': 1901}, {'runs': 100, 'hits': 193, 'at bats': 541, 'year': 1902}, {'runs': 137, 'hits': 209, 'at bats': 613, 'year': 1903}, {'runs': 97, 'hits': 185, 'at bats': 615, 'year': 1904}, {'runs': 60, 'hits': 126, 'at bats': 384, 'year': 1905}, {'runs': 48, 'hits': 82, 'at bats': 310, 'year': 1906}, {'runs': 67, 'hits': 187, 'at bats': 580, 'year': 1907}, {'runs': 66, 'hits': 127, 'at bats': 476, 'year': 1908}, {'runs': 35, 'hits': 107, 'at bats': 407, 'year': 1909}, {'runs': 30, 'hits': 46, 'at bats': 172, 'year': 1910}]",Rochester,USA,23,7,WI,1876,"[{'assists': 21, 'year': 1899, 'errors': 23, 'putouts': 250}, {'assists': 10, 'year': 1900, 'errors': 17, 'putouts': 274}, {'assists': 8, 'year': 1901, 'errors': 18, 'putouts': 289}, {'assists': 15, 'year': 1902, 'errors': 7, 'putouts': 260}, {'assists': 15, 'year': 1903, 'errors': 15, 'putouts': 258}, {'assists': 14, 'year': 1904, 'errors': 10, 'putouts': 287}, {'assists': 12, 'year': 1905, 'errors': 6, 'putouts': 200}, {'assists': 6, 'year': 1906, 'errors': 9, 'putouts': 148}, {'assists': 30, 'year': 1907, 'errors': 13, 'putouts': 296}, {'assists': 17, 'year': 1908, 'errors': 10, 'putouts': 257}, {'assists': 15, 'year': 1909, 'errors': 8, 'putouts': 234}, {'assists': 5, 'year': 1910, 'errors': 5, 'putouts': 107}]",Clarence Howeth Beaumont,[],[]
L,63,R,125,"[{'runs': 64, 'hits': 76, 'at bats': 280, 'year': 1894}, {'runs': 35, 'hits': 37, 'at bats': 184, 'year': 1895}, {'runs': 1, 'hits': 0, 'at bats': 8, 'year': 1897}]",Southborough,USA,11,10,MA,1869,"[{'assists': 157, 'year': 1894, 'errors': 35, 'putouts': 150}, {'assists': 39, 'year': 1895, 'errors': 18, 'putouts': 82}, {'assists': 3, 'year': 1897, 'errors': 1, 'putouts': 3}]",William Henry Murphy,[],[]
L,68,L,159,"[{'runs': 0, 'hits': 0, 'at bats': 3, 'year': 1922}, {'runs': 4, 'hits': 15, 'at bats': 74, 'year': 1923}, {'runs': 2, 'hits': 6, 'at bats': 30, 'year': 1924}, {'runs': 6, 'hits': 5, 'at bats': 33, 'year': 1925}, {'runs': 2, 'hits': 3, 'at bats': 19, 'year': 1927}, {'runs': 5, 'hits': 6, 'at bats': 15, 'year': 1929}]",Pana,USA,1,12,IL,1900,"[{'assists': 2, 'year': 1922, 'errors': 0, 'putouts': 1}, {'assists': 53, 'year': 1923, 'errors': 2, 'putouts': 9}, {'assists': 26, 'year': 1924, 'errors': 1, 'putouts': 2}, {'assists': 27, 'year': 1925, 'errors': 3, 'putouts': 2}, {'assists': 16, 'year': 1927, 'errors': 0, 'putouts': 3}, {'assists': 14, 'year': 1929, 'errors': 0, 'putouts': 2}]",Michael John Cvengros,"[{'wins': 0, 'hits': 6, 'losses': 1, 'games': 1, 'year': 1922}, {'wins': 12, 'hits': 216, 'losses': 13, 'games': 40, 'year': 1923}, {'wins': 3, 'hits': 119, 'losses': 12, 'games': 26, 'year': 1924}, {'wins': 3, 'hits': 109, 'losses': 9, 'games': 22, 'year': 1925}, {'wins': 2, 'hits': 55, 'losses': 1, 'games': 23, 'year': 1927}, {'wins': 5, 'hits': 82, 'losses': 4, 'games': 32, 'year': 1929}]",[]
L,75,R,201,"[{'runs': 1, 'hits': 2, 'at bats': 16, 'year': 1950}, {'runs': 1, 'hits': 2, 'at bats': 12, 'year': 1951}, {'runs': 3, 'hits': 5, 'at bats': 19, 'year': 1952}]",Zanesville,USA,3,12,OH,1924,"[{'assists': 3, 'year': 1950, 'errors': 1, 'putouts': 27}, {'assists': 1, 'year': 1951, 'errors': 1, 'putouts': 24}, {'assists': 6, 'year': 1952, 'errors': 0, 'putouts': 34}]",Frederick Rankin Taylor,[],[]
R,71,R,195,"[{'runs': 1, 'hits': 1, 'at bats': 5, 'year': 1990}, {'runs': 2, 'hits': 4, 'at bats': 11, 'year': 1991}, {'runs': 7, 'hits': 14, 'at bats': 77, 'year': 1992}, {'runs': 2, 'hits': 2, 'at bats': 21, 'year': 1993}, {'runs': 0, 'hits': 0, 'at bats': 3, 'year': 1996}]",Minneapolis,USA,21,3,MN,1965,"[{'assists': 1, 'year': 1990, 'errors': 1, 'putouts': 6}, {'assists': 0, 'year': 1991, 'errors': 0, 'putouts': 1}, {'assists': 10, 'year': 1992, 'errors': 1, 'putouts': 135}, {'assists': 1, 'year': 1993, 'errors': 0, 'putouts': 11}, {'assists': 1, 'year': 1996, 'errors': 0, 'putouts': 6}]",Timothy Allen McIntosh,[],"[{'salary': 329000, 'year': 1990}]"
